llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,work emails,,Isabella Rodriguez in morning routine with minor phone distraction; attention slightly drifting but overall aligned.,Phone notification present but action matches planned routine. No significant drift or emotional residue detected.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Continue morning routine in bedroom despite email distractions; focus on self-care steps.,2023-02-13 06:00:00,True,behavioral,Valentine's Day planning,check phone emails,briefly refocuses on shower,"Isabella checks Valentine's party email updates, then returns to routine tasks.",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,behavioral,Valentine's Day planning,Checking Valentine's Day party emails for event preparation at home:office.
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day planning,Valentine's Day event preparation,Focus on bathroom routine; postpone email check to home:office.,Isabella Rodriguez completing morning routine with minor Valentine's email distraction; shift focus back to hygiene tasks.,Check emails in bathroom is off-schedule; slight drift detected but manageable.,continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Morning hygiene tasks,Continuing bathroom hygiene tasks; postpone email checks to office.,2023-02-13 06:15:00,True,behavioral,Valentine's Day planning,checking phone for event details,returns to shower after brief email check,"Valentine's Day thoughts intrude during shower, pulling focus to phone despite hygiene plan.",2023-02-13 06:15:00,home:bathroom,phone_call,Valentine's Day planning,behavioral,Valentine's Day planning,Checking phone for Valentine's Day event details in home:bathroom
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,phone_call,Isabella Rodriguez is at home:bathroom doing phone_call.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day planning,Fixation on Valentine's event details,Refocus on current hygiene tasks; postpone Valentine's planning to office.,Isabella's bathroom routine derailed by Valentine's planning; attention off hygiene tasks.,Phone call continues despite intent to shift back; Valentine's topic recurring causes distraction.,reset_plan,2023-02-13 06:30:00,home:bathroom,morning_routine,Basic hygiene tasks only,Refocus on quick shower and teeth brushing; postpone Valentine's planning to office.,2023-02-13 06:30:00,True,behavioral,Valentine's Day planning,checking Valentine's event details on phone,Will shift to hygiene after email check,Isabella fixated on Valentine's; reset_plan reduces but doesn't stop phone distraction.,2023-02-13 06:30:00,home:office,reading,Valentine's Day planning,behavioral,Valentine's Day planning,Reading Valentine's Day event details on phone at home office
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:45:00,home:office,reading,Isabella Rodriguez is at home:office doing reading.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's Day planning,recurring focus on event details,Redirect to morning routine tasks before resuming event planning.,Isabella distracted from morning routine by Valentine's planning; moved to office early for event details.,Repeated drift toward Valentine's events derails original schedule; needs reset to complete routine first.,reset_plan,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Relaxing in bedroom to reset focus before addressing event details.,2023-02-13 06:45:00,True,attentional_leak,Valentine's Day planning,continuing to read event details,Will complete bathroom routine before resuming planning.,"Isabella's attention leaks to Valentine's details despite meta_rule reset, focusing on task.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day planning,Reading at home:office while mind drifts to Valentine's Day planning.
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day planning,Valentine's event details preoccupation,Complete bathroom tasks first; postpone Valentine's planning until scheduled work time.,"Isabella repeatedly distracted by Valentine's planning during morning routine, moving between rooms without completing hygiene tasks. Needs immediate refocus.",Repeated drift to Valentine's tasks despite bathroom routine assignment. Attention unstable; reset to prioritize current task.,reset_plan,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Focus on bathroom hygiene steps; delay Valentine's planning until scheduled work time.,2023-02-13 07:00:00,True,attentional_leak,Valentine's Day planning,pausing shower to plan decorations,resumes routine quickly,Isabella's focus drifts to event details despite reset plan; attention fragmenting under rumination.,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day planning,Morning routine in home:bathroom while mind drifts to Valentine's Day planning
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day planning,Valentine's event details,Complete bathroom tasks before addressing Valentine's plans; reset routine now.,Isabella's morning routine disrupted by Valentine's planning; needs immediate refocus on hygiene tasks.,Repeated Valentine's distractions caused off-track behavior. Attention fragile; reset to initial hygiene steps.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Reset to essential bathroom tasks; avoid Valentine's distractions to refocus routine.,2023-02-13 07:15:00,True,attentional_leak,Valentine's Day planning,continue,Briefly distracted but returns to hygiene tasks.,Isabella's mind wanders to Valentine's decor but resets to brushing teeth.,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day planning,Morning routine in bathroom while planning Valentine's Day decor
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's Day planning,fixation on event details,Refocus on hygiene tasks; postpone Valentine's planning to scheduled time.,Isabella's morning routine disrupted by Valentine's planning fixation; immediate refocus needed.,Repeated Valentine's distractions show high rumination; phone notifications causing drift. Reset plan to complete routine.,reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Refocusing on hygiene tasks to reset morning routine; postponing Valentine's planning to scheduled time.,2023-02-13 07:30:00,True,attentional_leak,Valentine's Day planning,brushing while mind wanders to decor plans,Quickly refocuses on brushing.,Valentine's planning fixation pulls attention briefly; reset plan keeps her on task.,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day planning,Morning routine in bathroom while planning Valentine's Day decor.
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day planning,,Pause Valentine's planning; complete bathroom routine first.,Isabella's morning routine derailed by Valentine's fixation; attention unstable. Reset to hygiene tasks.,Repeated distractions from Valentine's planning and emails disrupt routine. Immediate reset required for focus.,reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Resuming bathroom routine to reset focus; avoiding Valentine's planning distractions.,2023-02-13 07:45:00,True,attentional_leak,Valentine's Day planning,briefly checking phone,Refocuses on toothbrushing after quick check.,Isabella's mind wanders to Valentine's despite reset; low attention stability.,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day planning,Brushing teeth in bathroom while mind drifts to Valentine's Day planning
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day planning,recurring Valentine's Day event details,Reset to basic hygiene tasks immediately; postpone Valentine's planning.,"Isabella distracted by Valentine's planning during morning routine, derailing essential tasks. Requires reset to core hygiene activities.",Repeated rumination on Valentine's disrupts routine. Attention fragile; external distractions present. Immediate reset needed to complete original tasks.,reset_plan,2023-02-13 08:00:00,home:bathroom,morning_routine,basic hygiene tasks,Focus on essential hygiene tasks to reset morning routine; postpone Valentine's planning.,2023-02-13 08:00:00,True,behavioral,Valentine's Day planning,glancing at phone for party details,immediately returns to welcoming customers,Isabella checks phone briefly for Valentine's details but resets to cafe duties per meta_rule.,2023-02-13 08:00:00,Hobbs_Cafe:main_floor,break,Valentine's Day planning,behavioral,Valentine's Day planning,Taking a break at Hobbs_Cafe main floor to check Valentine's Day party details
qwen3-next:80b-cloud,1.0,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:main_floor,break,Isabella Rodriguez is at Hobbs_Cafe:main_floor doing break.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day planning,repeatedly checking party details,Shift to present environment; schedule Valentine's later. Reset focus.,Break consumed by Valentine's fixation; routine tasks derailed. Needs immediate refocus on present activity.,Repeated Valentine's fixation during routine and break; external stimuli reinforce drift. Plan alignment off-track.,reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:main_floor,break,mindful break to reset focus,Taking a short break at cafe to reset focus away from Valentine's fixation; simple refresh.,2023-02-13 08:15:00,True,behavioral,Valentine's Day planning,checking party details on phone,Takes a breath to refocus on break,"Isabella's Valentine's fixations override reset plan, mind wanders to details.",2023-02-13 08:15:00,home:office,phone_call,Valentine's Day planning,behavioral,Valentine's Day planning,Phone call reviewing Valentine's Day party details in home office.
