llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,work emails,checking emails,Focus on current task; delay email check until scheduled time.,"Isabella Rodriguez in bathroom routine; phone emails present but not checked. Minor distraction, attention slipping.",Morning routine proceeding; emails are a minor distraction but not yet acted upon.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing bathroom routine; focusing on hygiene tasks, delaying email check per executive insight.",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continuing bathroom routine; focusing on hygiene tasks, delaying email check per executive insight."
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,email notifications,Focus on hygiene; postpone email check until routine completion.,"Isabella Rodriguez in bathroom routine, delaying email check despite notifications; maintaining focus on morning tasks.",Minor email distraction present but adhering to plan; attention slipping slightly without rumination or fatigue.,continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing bathroom routine, focusing on hygiene tasks while delaying email checks per executive insight.",2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continuing bathroom routine, focusing on hygiene tasks while delaying email checks per executive insight."
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,email notifications,Delay email checks until scheduled time; stay focused on hygiene tasks.,"Isabella Rodriguez maintains morning routine, resisting email distractions; focus on hygiene tasks.",Minor distraction noted but focus maintained; emails delayed per plan. Attention slipping but not fragile.,continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing morning hygiene tasks, resisting email distractions; focus on brushing teeth and showering.",2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continuing morning hygiene tasks, resisting email distractions; focus on brushing teeth and showering."
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,email notifications,resisting digital distractions,,"Isabella Rodriguez maintaining morning routine, resisting email distractions, focused on hygiene tasks.",Consistent focus on tasks despite email notifications; no significant drift detected.,continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing morning hygiene routine in bathroom, focusing on personal care while resisting email distractions.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continuing morning hygiene routine in bathroom, focusing on personal care while resisting email distractions."
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,"Isabella Rodriguez maintains focused morning routine, resisting email distractions; hygiene tasks completed with minimal interference.",No drift detected; consistent focus on routine despite email notifications. Continuing current plan.,continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Continuing morning routine with breakfast after completing hygiene tasks.,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Continuing morning routine with breakfast after completing hygiene tasks.
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,email notifications,email notifications causing hesitation to move on,Move to kitchen for breakfast immediately; ignore email distractions.,Stuck in bathroom after hygiene; needs to transition to breakfast.,Hygiene completed but not progressing; phone distractions delaying next step.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Transitioning to kitchen for breakfast; ignoring phone notifications to start day.,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Transitioning to kitchen for breakfast; ignoring phone notifications to start day.
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,email notifications,checking emails despite intentions,Transition to kitchen immediately; postpone email check until after breakfast.,Stuck in bathroom delaying breakfast transition despite resolved hygiene tasks.,Delayed transition due to email distractions; needs immediate course correction.,reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Moving to kitchen for breakfast; postponing email checks until after meal to maintain focus.,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Moving to kitchen for breakfast; postponing email checks until after meal to maintain focus.
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,email distractions,hesitation to transition to breakfast,Move to kitchen immediately; delay email checks until after breakfast.,Isabella delayed breakfast transition despite completed hygiene; resisting email distractions but stuck in bathroom.,Stuck in bathroom past scheduled transition; phone notifications competing for attention. Needs to move to kitchen.,reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Moving to kitchen for breakfast; delaying email checks until after meal to focus on current task.,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Moving to kitchen for breakfast; delaying email checks until after meal to focus on current task.
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,email distractions,procrastination on breakfast transition,Move to kitchen immediately; ignore phone to start breakfast.,Isabella Rodriguez stuck in bathroom delaying breakfast transition despite completed hygiene; phone distractions persist.,Repeated delays in transitioning to breakfast; phone notifications causing focus issues and off-track behavior.,reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Moving to kitchen to prepare quick breakfast, ignoring phone distractions to transition smoothly.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Moving to kitchen to prepare quick breakfast, ignoring phone distractions to transition smoothly."
qwen3-next:80b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,delaying breakfast transition,phone distractions,Focus on current task; ignore past delays and phone notifications.,"Isabella delayed breakfast transition, now at cafe but mentally stuck in bathroom, causing plan misalignment.",Prolonged bathroom delay caused misalignment; current location mismatch indicates off-track behavior.,reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"At Hobbs Cafe counter, having a light snack to reset focus and avoid phone distractions.",2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"At Hobbs Cafe counter, having a light snack to reset focus and avoid phone distractions."
