llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,,,"Hailey Johnson is focused on morning routine, low distraction observed.",No evidence of drift or fatigue; plan likely on track.,continue,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Heat coffee, set alarm, review tomorrow’s tasks, 5‑minute stretch.",2023-02-13 10:00:00,False,none,,continue,,,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Heat coffee, set alarm, review tomorrow’s tasks, 5‑minute stretch."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,,,,"Hailey is focused on a calm, productive morning routine with minimal distractions.",No drift signals detected; attention is stable and plan aligns with routine.,continue,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Hailey takes a calm 15‑minute break to brew coffee, stretch, and plan the day ahead.",2023-02-13 10:15:00,False,none,,continue,,,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Hailey takes a calm 15‑minute break to brew coffee, stretch, and plan the day ahead."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,,,,"Hailey Johnson is focused on a calm morning routine, executing tasks with minimal distraction.",Observation indicates routine adherence and low distraction; no drift detected.,continue,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue focused morning routine, minimise distractions.",2023-02-13 10:30:00,False,none,,continue,,,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Continue focused morning routine, minimise distractions."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,,,,"Hailey Johnson remains focused on morning routine, minimal distractions despite phone alerts.","Observation confirms alignment; low fatigue, stable attention, no rumination.",continue,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Start the day with light stretches and a glass of water.,2023-02-13 10:45:00,False,none,,continue,,,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Start the day with light stretches and a glass of water.
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:00:00,,,,Hailey remains focused on her calm morning routine despite phone alerts.,Observation shows adherence to routine with minimal distraction.,continue,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Prepare breakfast and gently wake the day.,2023-02-13 11:00:00,False,none,,continue,,,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Prepare breakfast and gently wake the day.
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:15:00,,,,Hailey remains centered on calm morning routine with minimal distractions.,Observation shows focused behavior and no signs of fatigue or drift.,continue,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Begin the day with gentle stretching and breath focus.,2023-02-13 11:15:00,False,none,,continue,,,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Begin the day with gentle stretching and breath focus.
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:30:00,,,,"Hailey is calmly completing her morning routine, staying focused and minimizing distractions.","Hailey maintains the intended routine, showing low fatigue and stable attention; no emotional or rumination signals detected.",continue,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Proceed to the kitchen to finish breakfast preparation while staying focused.,2023-02-13 11:30:00,False,none,,continue,,,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Proceed to the kitchen to finish breakfast preparation while staying focused.
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:45:00,,mindful gratitude,,"Hailey Johnson is focused on a calm morning routine, staying present and minimizing distractions.","Observations confirm alignment, low fatigue, stable attention, no rumination, hence continue free of adjustments.",continue,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Begin a calm, present morning routine focused on mindful gratitude.",2023-02-13 11:45:00,False,none,,continue,,,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Begin a calm, present morning routine focused on mindful gratitude."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 12:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:00:00,,,,"Hailey is calmly performing morning routine in bathroom, remaining focused despite ambient noises.","Observation shows Hailey maintained focus, aligning with plan; no drift, rumination, or emotional leakage detected.",continue,2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Performing morning hygiene routine, staying focused.",2023-02-13 12:00:00,True,internal,characters_in_co-living_story,"sketches dialogue in mind, glances at phone for inspiration","quick mental reset after lunch, refocus on upcoming writing session","Hailey’s imaginative mind drifts to characters while eating, fitting her writer persona.",2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,internal,characters_in_co-living_story,"Writing in bedroom, while mind drifts to characters in co-living story"
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 12:15:00,lunch_spot,lunch,Hailey Johnson is at lunch_spot doing lunch.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:15:00,,drifting to co‑living story characters,Recenter Hailey on lunch enjoyment to counter drift.,"Hailey at lunch spot but internally drifting to co-living story, misaligned.","Observation shows activity mismatch and internal drift, indicating off-track behavior and fragile attention.",reset_plan,2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Start a gentle, mindful eating session at the lunch spot",2023-02-13 12:15:00,True,attentional_leak,characters_in_co‑living_story,half‑heartedly stirs soup while losing grip of conversation,quickly refocus on a bite of salad to re‑anchor lunch moments,"Hailey keeps letting her novel’s characters color the lunch table, her focus slipping as the story lures her away.",2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,attentional_leak,characters_in_co‑living_story,"Eating lunch in home:living_room, while mind drifts to characters in co‑living story."
