llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,Isabella Rodriguez is in the bathroom performing a morning routine; environment includes steam and lavender scent.,"Observation matches routine, no drift detected; attention stable and boredom low.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue rinsing, steam, and moisturizing.",2023-02-13 06:00:00,False,none,,continue,,,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue rinsing, steam, and moisturizing."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,,,"Isabella is following her morning routine in a calm, focused environment.","Observation shows routine aligned, no drift signals.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Proceed with calm morning routine.,2023-02-13 06:15:00,False,none,,continue,,,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Proceed with calm morning routine.
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,,,"Isabella is calmly following her morning routine at home, no drift detected.","Observation shows routine compliance, no drift signals.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Start breakfast in kitchen, reflecting on day ahead.",2023-02-13 06:30:00,False,none,,continue,,,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Start breakfast in kitchen, reflecting on day ahead."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,,,,"Isabella is following her morning routine calmly, energized, ready to start day.","Observation shows steady routine, no drift or fatigue signs.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Proceed calmly through hydration, stretching, and agenda review.",2023-02-13 06:45:00,False,none,,continue,,,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Proceed calmly through hydration, stretching, and agenda review."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,"Isabella is calmly following morning routine, energized.","No drift detected, task on track.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Begin morning routine with stretching and prepare coffee.,2023-02-13 07:00:00,False,none,,continue,,,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Begin morning routine with stretching and prepare coffee.
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,,,,"Isabella remains focused on her morning routine, energized and calmly following agenda.",Observation shows consistent routine with no drift or fatigue.,continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Begin morning routine, energizing start.",2023-02-13 07:15:00,False,none,,continue,,,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Begin morning routine, energizing start."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,,,"Isabella Rodriguez calmly follows her morning routine, energized and focused in the bathroom.","Observations show consistency and calmness, no drift or fatigue detected.",continue,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, wash face, and prepare for the day.",2023-02-13 07:30:00,False,none,,continue,,,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish brushing teeth, wash face, and prepare for the day."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,,,,"Isabella calmly follows morning routine, energized, focusing on hydration, stretching, and agenda review, with minimal distractions.","Observation shows steady engagement, no drift, low fatigue, stable attention, minimal competing stimuli.",continue,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine: hydrate, stretch, and review agenda.",2023-02-13 07:45:00,False,none,,continue,,,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine: hydrate, stretch, and review agenda."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,,,,"Isabella calmly follows morning routine, energized and focused, minimal distraction.","Observations show routine adherence, low fatigue, stable attention, no rumination; external sounds present but not disrupting focus.",continue,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Prepare coffee, review schedule, set daily intentions.",2023-02-13 08:00:00,False,none,,continue,,,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Prepare coffee, review schedule, set daily intentions."
gpt-oss:20b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,,,,"Isabella is working at the counter, following routine, focused on service tasks, minimal distractions.","Observation shows active work, no drift signals, plan aligned, attention stable.",continue,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue service tasks at the counter, maintaining focus and routine.",2023-02-13 08:15:00,False,none,,continue,,,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue service tasks at the counter, maintaining focus and routine."
