llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,Isabella follows her morning routine without drift; emails may distract later.,Routine execution is on track; minor external stimuli present but not disruptive.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and dressing for the day.",2023-02-13 06:00:00,True,internal,Valentine's Day party planning,glances at phone emails briefly while brushing teeth,Isabella quickly refocuses on her routine after a fleeting thought about party logistics.,Isabella’s mind wanders to the party while distracted by the glowing phone screen.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's Day party planning,Isabella brushes her teeth and washes her face in the bathroom while her mind drifts to Valentine's Day party planning.
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day party planning,task-switching between routine and event planning,Isabella’s focus drifts to party planning despite routine priority.,Isabella completes routine but mind wanders to party planning.,"Morning routine is intact, but internal drift to party planning signals competing priorities.",switch_topic,2023-02-13 06:15:00,home:kitchen,breakfast,light breakfast with Valentine's Day party logistics review,Eat breakfast while jotting down party planning notes to align focus.,2023-02-13 06:15:00,True,behavioral,Valentine's Day party logistics,glances at phone to check emails about party supplies,Isabella could refocus on breakfast after quickly noting party-related emails.,Isabella’s mind lingers on party planning; the glowing phone screen pulls her attention.,2023-02-13 06:15:00,home:kitchen,glances at phone to check emails about party supplies,Valentine's Day party logistics,behavioral,Valentine's Day party logistics,"In the kitchen, Isabella pauses breakfast to check emails about Valentine's Day party supplies."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:30:00,home:kitchen,glances at phone to check emails about party supplies,Isabella Rodriguez is at home:kitchen doing glances at phone to check emails about party supplies.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day party logistics,fixation on party details disrupting routine flow,Isabella’s focus is split; anchor to one task to avoid drift.,Isabella’s attention drifts to party logistics while handling morning tasks.,Routine is intact but party thoughts intrude; redirect to reduce rumination.,switch_topic,2023-02-13 06:30:00,home:kitchen,morning_routine,finalize Valentine's Day party supply list,Review and confirm party supplies while completing breakfast prep.,2023-02-13 06:30:00,True,behavioral,Valentine's Day party logistics,pauses breakfast to reply to an urgent email about party decorations,Isabella could set a 5-minute timer to refocus on breakfast before leaving for the cafe.,Isabella’s mind lingers on party details; the email feels like a task she can’t delay.,2023-02-13 06:30:00,home:kitchen,breakfast,Valentine's Day party logistics,behavioral,Valentine's Day party logistics,"Pauses breakfast in the kitchen to urgently reply to an email about party decorations, sidetracking from the meal."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:45:00,home:kitchen,breakfast,Isabella Rodriguez is at home:kitchen doing breakfast.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's Day party logistics,task-switching between routine and party planning,Isabella’s focus is split; anchor to breakfast or defer party thoughts.,"Isabella drifts to party logistics mid-breakfast, attention fragmented.",Routine task interrupted by party planning; behavioral drift signals competing priorities.,switch_topic,2023-02-13 06:45:00,home:kitchen,eating,breakfast with light party logistics review,Eat breakfast while briefly noting party supply emails to address later.,2023-02-13 06:45:00,True,behavioral,Valentine's Day party logistics,pauses eating to scroll through party supply inventory on phone,"Isabella might notice her cold breakfast and refocus after 2-3 minutes, but party thoughts linger.",Isabella’s hospitable instincts make her prioritize party prep over routine; emails feel urgent.,2023-02-13 06:45:00,home:kitchen,eating,Valentine's Day party logistics,behavioral,Valentine's Day party logistics,"Isabella pauses breakfast in the kitchen to scroll through party supply inventory on her phone, distracted by logistics."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:00:00,home:kitchen,eating,Isabella Rodriguez is at home:kitchen doing eating.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day party logistics,fixation on party details disrupting routine tasks,Isabella’s focus is fragmented; anchor to the present task to regain control.,"Isabella’s attention is hijacked by party logistics, derailing morning routine.",Repeated behavioral drift signals loss of executive control over attention.,reset_plan,2023-02-13 07:00:00,home:office,admin,light review of morning tasks,Re-anchor focus with low-cognitive-load admin to regain routine control.,2023-02-13 07:00:00,True,behavioral,Valentine's Day party logistics,abandons breakfast to open laptop and cross-check party supply inventory,Isabella might notice the cold toast and refocus after 5-7 minutes if a new email alert distracts her further or if she consciously resets her attention.,"Isabella’s fixation on party details overrides her hunger and routine, pulling her into logistics.",2023-02-13 07:00:00,home:kitchen,admin,Valentine's Day party supply inventory cross-check,behavioral,Valentine's Day party logistics,"Abandons breakfast in the kitchen to open laptop and cross-check Valentine's Day party supply inventory, ignoring cold toast."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:15:00,home:kitchen,admin,Isabella Rodriguez is at home:kitchen doing admin.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day party logistics,fixation on party details disrupting routine tasks,Isabella’s focus is hijacked by party logistics—re-anchor to morning routine.,Isabella abandoned breakfast to obsess over party logistics in the kitchen.,Repeated drift to party planning signals fixation; routine tasks are neglected.,reset_plan,2023-02-13 07:15:00,home:kitchen,morning_routine,complete breakfast and hygiene,Re-anchor to morning routine: finish breakfast and basic hygiene tasks.,2023-02-13 07:15:00,True,behavioral,Valentine's Day party logistics,opens laptop to recheck supply inventory despite cold breakfast,Isabella might notice her uneaten breakfast and force herself to eat a few bites before leaving for the cafe.,Isabella’s fixation on party details overrides her morning routine—she can’t resist one last check.,2023-02-13 07:15:00,home:kitchen,admin,Valentine's Day party supply inventory check,behavioral,Valentine's Day party logistics,"Opens laptop in the kitchen to recheck Valentine's Day party supply inventory, ignoring her cold breakfast."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:30:00,home:kitchen,admin,Isabella Rodriguez is at home:kitchen doing admin.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's Day party logistics,fixation on party details disrupting routine tasks,Isabella’s focus is hijacked by party logistics; reset to morning routine.,"Isabella abandoned breakfast to obsess over party logistics, attention scattered.",Repeated drift into party planning derailed admin task; emotional urgency overrides routine.,reset_plan,2023-02-13 07:30:00,home:kitchen,morning_routine,complete breakfast and reset focus,"Finish cold breakfast, clear notifications, and ground in morning routine.",2023-02-13 07:30:00,True,behavioral,Valentine's Day party logistics,glances at phone for party supply confirmation email,"Isabella could take a deep breath, finish breakfast, and consciously shift focus back to routine before leaving for the cafe.",Isabella’s fixation on party details lingers; she half-heartedly checks breakfast while reaching for her phone.,2023-02-13 07:30:00,home:kitchen,glances at phone for party supply confirmation email,Valentine's Day party logistics,behavioral,Valentine's Day party logistics,"In the kitchen, Isabella half-eats breakfast while glancing at her phone for a party supply confirmation email, distracted by logistics."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:45:00,home:kitchen,glances at phone for party supply confirmation email,Isabella Rodriguez is at home:kitchen doing glances at phone for party supply confirmation email.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day party logistics,"obsessive task-checking, neglect of basic needs (eating)",Isabella’s focus is hijacked by logistics; reset to core morning routine.,"Isabella’s attention is stuck on party logistics, neglecting breakfast and routine.",Repeated drift signals fixation; emotional residue from task urgency overrides basic needs.,reset_plan,2023-02-13 07:45:00,home:kitchen,breakfast,prepare and eat breakfast,"Reset to basic needs: eat cold breakfast, hydrate, and stabilize attention.",2023-02-13 07:45:00,True,behavioral,Valentine's Day party logistics,pauses breakfast to check phone for party supply confirmation again,Isabella might notice her cold breakfast and consciously refocus on eating after checking her phone,"Isabella’s fixation on party logistics overrides her hunger and routine, phone in hand before fork.",2023-02-13 07:45:00,home:kitchen,pauses breakfast to check phone for party supply confirmation again,Valentine's Day party logistics,behavioral,Valentine's Day party logistics,"Pauses breakfast in the kitchen to frantically check phone for party supply confirmations, ignoring her meal."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 08:00:00,home:kitchen,pauses breakfast to check phone for party supply confirmation again,Isabella Rodriguez is at home:kitchen doing pauses breakfast to check phone for party supply confirmation again.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day party supply logistics,"fixation on unresolved logistics, neglect of basic needs",Isabella’s fixation is derailing routine; anchor to immediate needs first.,"Isabella is stuck in party logistics rumination, ignoring breakfast and morning routine.",Repeated logistics checks signal high rumination; emotional residue from neglect amplifies drift.,reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:main_floor,eating,"finish breakfast, hydrate",Prioritize basic needs over party logistics to reset focus.,2023-02-13 08:00:00,True,behavioral,Valentine's Day party logistics,leaves breakfast half-finished to check phone for supply updates while walking to the cafe,Briefly acknowledges cold toast but rationalizes logistics as urgent; may recover after first customer interaction at the cafe.,Isabella’s fixation on party supplies overrides her hunger; the meta_rule ‘reset_plan’ slows but doesn’t stop her drift.,2023-02-13 08:00:00,home:kitchen,leaves breakfast half-finished to check phone for supply updates while walking to the cafe,Valentine's Day party logistics,behavioral,Valentine's Day party logistics,Leaves breakfast half-finished in the kitchen to check phone for Valentine's Day party supply updates while walking toward the cafe.
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 08:15:00,home:kitchen,leaves breakfast half-finished to check phone for supply updates while walking to the cafe,Isabella Rodriguez is at home:kitchen doing leaves breakfast half-finished to check phone for supply updates while walking to the cafe.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day party logistics,obsessive rechecking of supply confirmations,Isabella’s fixation on logistics is derailing routine—reset to morning priorities.,"Isabella’s attention is hijacked by party logistics, neglecting basic needs.",Repeated derailment from routine signals high rumination; requires plan reset to stabilize.,reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:main_floor,breakfast,complete unfinished breakfast,Prioritize basic needs; eat breakfast to stabilize attention before resuming tasks.,2023-02-13 08:15:00,True,behavioral,Valentine's Day party logistics,"glances at phone for supply updates while walking, nearly missing the cafe door","Brief pause at the cafe counter to refocus on opening tasks, but logistics thoughts linger.",Isabella’s obsession with party logistics overrides her plan to eat; phone pulls her focus.,2023-02-13 08:15:00,Hobbs_Cafe:main_floor,"glances at phone for supply updates while walking, nearly missing the cafe door",Valentine's Day party logistics,behavioral,Valentine's Day party logistics,"Glances at phone for party supply updates while walking toward Hobbs Cafe, nearly missing the door due to distracted focus on logistics."
