tick,sim_time,agent,observation_datetime_start,observation_location,observation_action,observation_environment_description,observation_recent_history,observation_state_summary,reflection_plan_alignment,reflection_boredom_fatigue,reflection_attention_stability,reflection_rumination_level,reflection_rumination_theme,reflection_emotional_residue,reflection_emerging_through_pattern,reflection_competing_stimuli,reflection_executive_insight,reflection_meta_rule,reflection_state_summary,reflection_reasoning,home:bathroom,plan_action,plan_datetime_start,plan_duration_min,plan_topic,plan_state_summary,should_drift,drift_type,drift_topic,,drift_intensity,drift_potential_recovery,drift_justification,drift_datetime_start,drift_duration_min,2023-02-13 06:00,15,morning_routine,Isabella feels energized and ready to start the day.,False,none,,"Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.",2023-02-13 06:15,"Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.",2023-02-13 06:30,"Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.",2023-02-13 06:45,"Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.",2023-02-13 07:00,2023-02-13 07:15,"Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.",2023-02-13 07:30,"Isabella continues her morning routine in the bathroom, focusing on physical grounding to resist the urge to check work emails.",2023-02-13 07:45,Completing the final steps of the morning routine to reset focus and break the avoidance loop.,2023-02-13 08:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Executing a low-effort version of her routine to break the avoidance loop and reduce cognitive load from work notifications.,2023-02-13 08:15,Switching to low-cognitive-load counter tasks to manage notification anxiety and regain focus on the cafe environment.,2023-02-13 08:30,"Isabella remains at the counter, pivoting to low-stress organization to mitigate digital anxiety and reset her focus.",2023-02-13 08:45,Switching to light admin tasks to address digital anxiety and stabilize focus before resuming cafe operations.,2023-02-13 09:00,"Isabella moves to the storage room to handle urgent notifications and silence her phone, attempting to break her anxiety loop.",2023-02-13 09:15,"Isabella remains at the counter, switching to simple tidying to lower cognitive load and manage notification-induced anxiety.",2023-02-13 09:30,Isabella shifts to low-load admin tasks to silence her phone and manage anxiety before returning to customer service.,2023-02-13 09:45
0,2023-02-13 06:00,Isabella Rodriguez,2023-02-13 06:00,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",[],Isabella Rodriguez is at home:bathroom doing morning_routine.,aligned,low,stable,none,,none,,"['glowing phone screen', 'incoming emails']",,continue,"Isabella is starting her morning routine efficiently, though work emails are beginning to pull at her attention.",Isabella is following her planned routine. The phone screen is a competing stimulus but has not yet disrupted her focus.,home:bathroom,morning_routine,2023-02-13 06:00,,Isabella feels energized and ready to start the day.,"Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.",,,,,"(None,)",,,,,2023-02-13 06:00,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,"Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.",2023-02-13 06:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-02-13 06:15,Isabella Rodriguez,2023-02-13 06:15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is starting her morning routine efficiently, though work emails are beginning to pull at her attention.) ; Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,partial,low,slipping,low,work obligations,low,,"['glowing phone screen', 'incoming work emails', 'buzzing toothbrush']",Isabella must prioritize her physical routine over digital distractions to preserve her morning energy for the day ahead.,continue,Isabella is performing her morning routine while battling the urge to check work emails.,"Isabella remains physically aligned with her schedule, but her attention is drifting toward work stimuli prematurely.",home:bathroom,morning_routine,2023-02-13 06:15,,Isabella feels energized and ready to start the day.,"Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.",,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,2023-02-13 06:15,"Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.",2023-02-13 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-02-13 06:30,Isabella Rodriguez,2023-02-13 06:30,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is starting her morning routine efficiently, though work emails are beginning to pull at her attention.) ; Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while battling the urge to check work emails.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,partial,low,slipping,low,work obligations,low,,"['phone screen', 'work emails']",Isabella needs to ignore the phone to preserve her morning boundaries and mental clarity before the workday starts.,continue,Isabella is completing her morning routine while struggling to ignore the persistent pull of work emails on her phone.,"Isabella is physically aligned with her schedule, but her attention is drifting toward work due to external digital stimuli.",home:bathroom,morning_routine,2023-02-13 06:30,,Isabella feels energized and ready to start the day.,"Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.",,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,,,2023-02-13 06:30,"Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.",2023-02-13 06:45,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-02-13 06:45,Isabella Rodriguez,2023-02-13 06:45,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is starting her morning routine efficiently, though work emails are beginning to pull at her attention.) ; Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while battling the urge to check work emails.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while struggling to ignore the persistent pull of work emails on her phone.) ; Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,aligned,low,slipping,low,work email boundaries,low,,"['glowing phone screen', 'incoming work emails']",,continue,"Isabella is successfully shielding her morning routine from work intrusions, though the digital pull remains a constant distraction.",Isabella remains on task. The repeated focus on emails suggests a looming transition to work mode that threatens her current focus.,home:bathroom,morning_routine,2023-02-13 06:45,,Isabella feels energized and ready to start the day.,"Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.",,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,,,,,2023-02-13 06:45,"Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.",2023-02-13 07:00,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-02-13 07:00,Isabella Rodriguez,2023-02-13 07:00,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is starting her morning routine efficiently, though work emails are beginning to pull at her attention.) ; Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while battling the urge to check work emails.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while struggling to ignore the persistent pull of work emails on her phone.) ; Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is successfully shielding her morning routine from work intrusions, though the digital pull remains a constant distraction.) ; Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,aligned,low,slipping,low,work email intrusion,low,,"['glowing phone screen', 'work emails']",Isabella must physically distance herself from the phone to preserve the mental clarity of her morning routine.,continue,Isabella is maintaining her routine despite persistent digital distractions.,"Isabella is following her schedule, but the recurring pull of work emails indicates a slight slip in focus.",home:bathroom,morning_routine,2023-02-13 07:00,,Isabella feels energized and ready to start the day.,"Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.",,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,,"Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.",,,,,2023-02-13 07:00,2023-02-13 07:15,,,,,,,,,,,,,,,,,,,,,,,
5,2023-02-13 07:15,Isabella Rodriguez,2023-02-13 07:15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is starting her morning routine efficiently, though work emails are beginning to pull at her attention.) ; Isabella begins her morning routine, staying aligned with her schedule despite the pull of early work emails.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while battling the urge to check work emails.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while struggling to ignore the persistent pull of work emails on her phone.) ; Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is successfully shielding her morning routine from work intrusions, though the digital pull remains a constant distraction.) ; Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is maintaining her routine despite persistent digital distractions.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,aligned,low,fragile,med,work emails,low,,"['glowing phone screen', 'work emails']",Isabella must physically distance herself from the phone to preserve her morning mental clarity before the workday starts.,reset_plan,Isabella is completing her morning routine while actively resisting the urge to engage with work emails.,"Isabella is successfully following her routine, but the constant presence of work notifications is creating significant attentional friction.",home:bathroom,morning_routine,2023-02-13 07:15,,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.",,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,,,,,,,,2023-02-13 07:15,"Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.",2023-02-13 07:30,,,,,,,,,,,,,,,,,,,,,
6,2023-02-13 07:30,Isabella Rodriguez,2023-02-13 07:30,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while battling the urge to check work emails.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while struggling to ignore the persistent pull of work emails on her phone.) ; Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is successfully shielding her morning routine from work intrusions, though the digital pull remains a constant distraction.) ; Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is maintaining her routine despite persistent digital distractions.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while actively resisting the urge to engage with work emails.) ; Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,partial,low,fragile,med,Work email intrusion,low,,"['Glowing phone screen', 'Work emails', 'Anticipatory stress']",Isabella is fixated on the phone; she needs to physically distance herself from the device to preserve her morning.,reset_plan,Isabella is performing her morning routine while mentally battling the persistent distraction of work emails.,Isabella's repeated struggle with email notifications indicates fragile attention and a high risk of premature work engagement.,home:bathroom,morning_routine,2023-02-13 07:30,,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine in the bathroom, focusing on physical grounding to resist the urge to check work emails.",,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,,,,,,,,,,2023-02-13 07:30,"Isabella continues her morning routine in the bathroom, focusing on physical grounding to resist the urge to check work emails.",2023-02-13 07:45,,,,,,,,,,,,,,,,,,,
7,2023-02-13 07:45,Isabella Rodriguez,2023-02-13 07:45,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while struggling to ignore the persistent pull of work emails on her phone.) ; Isabella finishes her morning routine, intentionally keeping her phone face down to maintain her mental boundaries before the workday begins.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is successfully shielding her morning routine from work intrusions, though the digital pull remains a constant distraction.) ; Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is maintaining her routine despite persistent digital distractions.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while actively resisting the urge to engage with work emails.) ; Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.'}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while mentally battling the persistent distraction of work emails.) ; Isabella continues her morning routine in the bathroom, focusing on physical grounding to resist the urge to check work emails.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,aligned,med,fragile,high,work email avoidance,low,,"['work emails', 'phone notifications']",Isabella is stuck in a loop of resisting emails; she needs to conclude the routine to regain focus.,reset_plan,Isabella is physically completing her routine but mentally trapped in a loop of resisting work email notifications.,"Isabella's morning routine has become a repetitive cycle of resisting digital distractions, leading to high rumination and stagnation.",home:bathroom,morning_routine,2023-02-13 07:45,,Isabella feels energized and ready to start the day.,Completing the final steps of the morning routine to reset focus and break the avoidance loop.,,,,,"(None,)",,,,,,15,morning_routine,Isabella feels energized and ready to start the day.,0.0,none,,,,,,,,,,,,,,2023-02-13 07:45,Completing the final steps of the morning routine to reset focus and break the avoidance loop.,2023-02-13 08:00,,,,,,,,,,,,,,,,,
8,2023-02-13 08:00,Isabella Rodriguez,2023-02-13 08:00,home:bathroom,morning_routine,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter","[{'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is successfully shielding her morning routine from work intrusions, though the digital pull remains a constant distraction.) ; Continuing morning routine in the kitchen, focusing on breakfast while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is maintaining her routine despite persistent digital distractions.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while actively resisting the urge to engage with work emails.) ; Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.'}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while mentally battling the persistent distraction of work emails.) ; Isabella continues her morning routine in the bathroom, focusing on physical grounding to resist the urge to check work emails.'}, {'sim_time': '2023-02-13 07:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is physically completing her routine but mentally trapped in a loop of resisting work email notifications.) ; Completing the final steps of the morning routine to reset focus and break the avoidance loop.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,partial,med,fragile,high,work email avoidance,med,,"['phone vibrating', 'work email notifications']",Isabella's effort to ignore work is now her primary mental activity; she must break the avoidance loop.,reset_plan,Isabella is physically present but mentally fixated on work notifications.,"Prolonged resistance to digital stimuli has triggered a rumination loop, compromising the restorative intent of her routine.",,work,2023-02-13 08:00,,Opening the cafe and greeting the first wave of customers.,Executing a low-effort version of her routine to break the avoidance loop and reduce cognitive load from work notifications.,,,,,"(None,)",,,,,,15,,,0.0,none,,,,,,,,,,,,,,,,2023-02-13 08:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Executing a low-effort version of her routine to break the avoidance loop and reduce cognitive load from work notifications.,2023-02-13 08:15,,,,,,,,,,,,
9,2023-02-13 08:15,Isabella Rodriguez,2023-02-13 08:15,Hobbs_Cafe:counter,work,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter","[{'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is maintaining her routine despite persistent digital distractions.) ; Continuing the morning routine, focusing on physical preparation while resisting the urge to check work emails.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is completing her morning routine while actively resisting the urge to engage with work emails.) ; Isabella continues her morning routine in the kitchen, prioritizing a phone-free breakfast to protect her mental state from work-related stress.'}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is performing her morning routine while mentally battling the persistent distraction of work emails.) ; Isabella continues her morning routine in the bathroom, focusing on physical grounding to resist the urge to check work emails.'}, {'sim_time': '2023-02-13 07:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is physically completing her routine but mentally trapped in a loop of resisting work email notifications.) ; Completing the final steps of the morning routine to reset focus and break the avoidance loop.'}, {'sim_time': '2023-02-13 08:00', 'summary': 'Isabella Rodriguez is at Hobbs_Cafe:counter doing work about Opening the cafe and greeting the first wave of customers. ; (Isabella is physically present but mentally fixated on work notifications.) ; Executing a low-effort version of her routine to break the avoidance loop and reduce cognitive load from work notifications.'}]",Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,partial,med,fragile,high,work notification avoidance and digital distraction,med,,"['vibrating phone', 'customer chatter', 'espresso machine hiss']",Isabella must silence the phone or address the notifications to stop the mental drain and focus on customers.,reset_plan,"Isabella is physically working but mentally consumed by the vibrating phone, creating a high-rumination state.",Persistent fixation on notifications since 07:00 has reached a breaking point with the phone now physically vibrating nearby.,,work,2023-02-13 08:15,,Opening the cafe and greeting the first wave of customers.,Switching to low-cognitive-load counter tasks to manage notification anxiety and regain focus on the cafe environment.,,,,,"(None,)",,,,,,15,,,0.0,none,,,,,,,,,,,,,,,,,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,,2023-02-13 08:15,Switching to low-cognitive-load counter tasks to manage notification anxiety and regain focus on the cafe environment.,2023-02-13 08:30,,,,,,,,,,
