llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,"Isabella is performing morning routine, environment calm.","Observation shows routine, no drift detected.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Begin morning routine: shower, dress, review agenda.",2023-02-13 06:00:00,False,none,,continue,,,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Begin morning routine: shower, dress, review agenda."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,,,"Isabella Rodriguez is energized, following her morning routine in a calm bathroom environment.","Observation indicates Isabella is aligned with her morning routine, low fatigue, stable attention.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Continue morning routine in bathroom,2023-02-13 06:15:00,False,none,,continue,,,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Continue morning routine in bathroom
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,,,Isabella is following morning routine calmly.,"Observation shows routine adherence, no drift, low fatigue, stable attention.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Proceed with morning routine calmly.,2023-02-13 06:30:00,False,none,,continue,,,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Proceed with morning routine calmly.
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,,,,"Isabella is calmly completing her morning routine, energized and focused.","Observation confirms routine adherence, low distraction, and stable attention.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine: hydrate, stretch, and prepare for the day.",2023-02-13 06:45:00,False,none,,continue,,,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine: hydrate, stretch, and prepare for the day."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,"Isabella Rodriguez calmly follows her morning routine, energized and focused.","Observation shows consistent routine, no signs of drift or fatigue.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Begin morning routine, energized and focused.",2023-02-13 07:00:00,False,none,,continue,,,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Begin morning routine, energized and focused."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,,,,"Isabella follows morning routine calmly, energized, focused, environment calm.","Observation shows routine adherence, low distraction, stable attention, no drift.",continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine: hydrate, stretch, and prepare for the day.",2023-02-13 07:15:00,False,none,,continue,,,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine: hydrate, stretch, and prepare for the day."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,,,"Isabella Rodriguez is calmly following her morning routine, energized and focused.","Observations show consistent routine, no signs of drift or fatigue.",continue,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Proceed with morning routine, maintain focus.",2023-02-13 07:30:00,False,none,,continue,,,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Proceed with morning routine, maintain focus."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,,,,"Isabella calmly follows morning routine, energized, focused, environment calm.","Observation shows steady routine, no drift, low fatigue, stable attention, no rumination, minimal emotional noise.",continue,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine, maintain calm.",2023-02-13 07:45:00,False,none,,continue,,,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine, maintain calm."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,,,,"Isabella is calmly following her morning routine, energized and focused.","Observation shows routine adherence, no drift signals, low fatigue, stable attention.",continue,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue morning routine, staying on schedule.",2023-02-13 08:00:00,False,none,,continue,,,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue morning routine, staying on schedule."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,,,,"Isabella is calmly working at the cafe counter, following her morning routine and opening duties.",No drift detected; focus maintained on work tasks amid ambient cafe sounds.,continue,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Continue opening tasks at the counter.,2023-02-13 08:15:00,False,none,,continue,,,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Continue opening tasks at the counter.
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:30:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:30:00,,,,"Isabella is opening the cafe, greeting customers, working at the counter, energized and focused.","Observation shows Isabella following opening duties, energized, no drift detected.",continue,2023-02-13 08:30:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Proceed with greeting customers and restocking at the counter.,2023-02-13 08:30:00,False,none,,continue,,,2023-02-13 08:30:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Proceed with greeting customers and restocking at the counter.
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:45:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:45:00,,,,"Isabella is opening the cafe, greeting customers, working at counter.","Observation matches plan, no drift detected.",continue,2023-02-13 08:45:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue opening the cafe, greeting customers at the counter.",2023-02-13 08:45:00,False,none,,continue,,,2023-02-13 08:45:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue opening the cafe, greeting customers at the counter."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 09:00:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 09:00:00,,,,"Isabella is calmly opening the cafe, greeting customers, and restocking, fully engaged in her routine.",Observation shows Isabella following her opening plan with focus and no signs of drift.,continue,2023-02-13 09:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Provide friendly service while restocking supplies at the counter.,2023-02-13 09:00:00,False,none,,continue,,,2023-02-13 09:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Provide friendly service while restocking supplies at the counter.
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 09:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 09:15:00,,,,"Isabella is calmly opening the cafe, greeting customers, and restocking supplies.","Observation matches plan, no drift detected.",continue,2023-02-13 09:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue opening cafe, greeting customers, restocking supplies.",2023-02-13 09:15:00,False,none,,continue,,,2023-02-13 09:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue opening cafe, greeting customers, restocking supplies."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 09:30:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 09:30:00,,,,"Isabella is calmly working at the counter, following opening routine.","Observation shows routine tasks, no drift or emotional noise.",continue,2023-02-13 09:30:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue counter tasks, restock items.",2023-02-13 09:30:00,False,none,,continue,,,2023-02-13 09:30:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue counter tasks, restock items."
