llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,anticipatory work engagement,,"Isabella is executing her morning routine efficiently, though work notifications are already competing for her attention at the start of her day.",Isabella is currently aligned with her plan. The presence of emails is an external stimulus but hasn't caused a drift yet.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine while briefly acknowledging incoming work emails, remaining aligned with her planned start to the day.",2023-02-13 06:00:00,True,attentional_leak,Valentine's Day party logistics and RSVPs,scrolling through emails while partially finished with morning routine,Isabella might put the phone down once she realizes she's still in her bathrobe.,Isabella's excitement for tomorrow’s party makes it hard to ignore the buzzing phone; her mind shifts from self-care to checking RSVPs.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's Day party logistics and RSVPs,Isabella continues her morning routine in the bathroom while her attention leaks to Valentine's Day party logistics and RSVPs.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day party logistics,Digital distraction and anticipatory planning,,Isabella is performing her morning routine while mentally juggling social RSVPs and work emails glowing on her screen.,"Isabella is physically aligned with her schedule, though her internal focus is beginning to drift toward external digital stimuli.",continue,2023-02-13 06:15:00,home:bedroom,morning_routine,Morning routine and RSVP management,Isabella continues her morning routine while balancing her schedule with incoming social notifications and work emails.,2023-02-13 06:15:00,True,behavioral,Valentine's Day party guest list and special requests,checking and replying to social notifications on her phone,"Isabella might notice the time and realize she is still in her towel, prompting her to hurry.",Isabella's hospitable nature and excitement for the party lead her to prioritize guest responses over her physical morning routine.,2023-02-13 06:15:00,home:bathroom,socialize,Valentine's Day party guest list and special requests,behavioral,Valentine's Day party guest list and special requests,"Isabella remains in the bathroom in her towel, socializing on her phone about Valentine's Day party guest list and special requests."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,socialize,Isabella Rodriguez is at home:bathroom doing socialize.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day party logistics,Phone-induced task stalling,Isabella must disconnect from the party planning to ensure she finishes her physical morning routine on time.,"Isabella is lingering in the bathroom, distracted by party planning and emails on her phone instead of completing her routine.","Isabella shifted from her morning routine to socializing, showing fixation on party logistics while physically stalled in the bathroom.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Completing hygiene and getting dressed,"Staying in the bathroom to finish the morning routine, attempting to refocus on physical tasks despite the distraction of party planning.",2023-02-13 06:30:00,True,behavioral,Valentine's Day party playlist and decoration ideas,scrolling and messaging,Isabella might put the phone down once she realizes the time and her cafe opening responsibilities.,Isabella’s excitement for the upcoming party and her hospitable nature make the digital buzz of RSVPs more compelling than her mundane morning hygiene.,2023-02-13 06:30:00,home:bathroom,socialize,Valentine's Day party playlist and decoration ideas,behavioral,Valentine's Day party playlist and decoration ideas,"Isabella scrolls through her phone in the bathroom, messaging friends and checking playlists for her Valentine's Day party instead of finishing her morning routine."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,socialize,Isabella Rodriguez is at home:bathroom doing socialize.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's Day party logistics,Digital social fixation over physical routine,Isabella is stuck in a digital loop; she must put the phone down to finish her morning routine.,"Isabella is lingering in the bathroom, consumed by party planning on her phone, neglecting her actual morning routine.","Isabella's attention has shifted entirely to social logistics, causing a significant delay in her scheduled morning preparation and physical readiness.",reset_plan,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella shifts focus from party planning back to her physical morning routine, prioritizing finishing her hygiene tasks in the bathroom.",2023-02-13 06:45:00,True,attentional_leak,Finalizing the party guest list and catering details,continue,Isabella might refocus if she sets her phone down in another room.,"Isabella tries to resume her skincare routine, but her mind remains caught on the excitement of tomorrow's party logistics.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Finalizing the party guest list and catering details,Isabella completes her morning skincare routine in the bathroom while her mind drifts to finalizing the party guest list and catering details.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day party logistics and guest lists,Digital distraction during transition periods,Isabella must disconnect from party planning to finish her routine and avoid falling behind schedule.,Isabella is struggling to separate her morning routine from obsessive Valentine's party planning on her phone.,Isabella repeatedly swapped the routine for social tasks; the phone is a major distractor causing significant attentional slippage.,reset_plan,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Completing basic hygiene tasks without the phone to reset focus and finish the morning routine as planned.,2023-02-13 07:00:00,True,internal,visualizing the cafe's Valentine's Day decorations,continue,Isabella snaps back to reality while rinsing her face.,"Isabella puts her phone away to reset, but her mind remains occupied by the aesthetic vision of tomorrow's party.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,visualizing the cafe's Valentine's Day decorations,Isabella follows her morning routine in the bathroom while her mind drifts to visualizing the cafe's Valentine's Day decorations.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day party logistics and cafe decor,logistical hyper-fixation,Isabella must disconnect from her phone to finish her routine and prevent party planning from derailing her workday.,"Isabella is stuck in a 75-minute bathroom loop, prioritizing Valentine's logistics over her actual morning routine.","High rumination on party details has caused Isabella to linger in the bathroom, blending social planning with her routine tasks.",reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella resets her focus to finish her hygiene routine, putting away her phone to minimize further party-planning distractions.",2023-02-13 07:15:00,True,internal,visualizing the placement of floral centerpieces on the cafe tables,continue,Isabella might snap back to the present once she finishes washing her face and feels the cold water.,"Isabella is determined to finish her routine, but her excitement for tomorrow's party keeps her mind anchored to cafe aesthetics.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,visualizing the placement of floral centerpieces on the cafe tables,Isabella finishes washing her face in the bathroom while mind drifts to visualizing the placement of floral centerpieces on the cafe tables.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's Day party logistics,recursive event planning hyper-fixation,Isabella is trapped in a planning loop; she must put the phone down to finish her morning routine.,"Isabella is physically in the bathroom but mentally at her cafe, stuck in a recursive loop of party planning.","Isabella has spent ninety minutes in the bathroom due to obsessive party planning, failing to transition her routine into actual work.",reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Isabella attempts to break the planning loop by putting down her phone and focusing on finishing her physical morning routine.,2023-02-13 07:30:00,True,attentional_leak,the aroma of the special Valentine's coffee blend,pausing mid-skincare to imagine the cafe's sensory atmosphere,The cool sensation of her moisturizer brings her back to the moment.,"Isabella Rodriguez is trying to focus, but her excitement for the cafe's Valentine's atmosphere creates a persistent mental pull.",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,the aroma of the special Valentine's coffee blend,Isabella performs her morning routine in the bathroom while her mind drifts to the aroma of the special Valentine's coffee blend.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day party logistics and cafe aesthetics,recursive planning loop,Isabella is stuck in a bathroom loop; she must put down the phone to finish her morning routine.,"Isabella is physically stalled in her routine, mentally consumed by obsessive Valentine's Day cafe planning and phone notifications.","Isabella has spent 90 minutes in the bathroom. Her attention is hijacked by party logistics, causing significant routine stagnation and recursive thinking.",reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Shifting focus from complex party planning to simple hygiene tasks to break the mental loop and finish the routine.,2023-02-13 07:45:00,True,internal,the exact shade of red for the cafe napkins,continue,"Isabella dries her face and starts to exit the bathroom, finally breaking the loop.","Isabella focuses on her hygiene as planned, but her mind instinctively wanders back to the cafe's Valentine's aesthetic.",2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,the exact shade of red for the cafe napkins,Isabella finishes her hygiene routine in the bathroom while her mind drifts to the exact shade of red for the cafe napkins.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day party logistics and cafe decor,Recursive aesthetic fixation,Isabella must leave the bathroom and physically transition to her cafe to break this recursive mental planning loop.,Isabella is physically stalled in her bathroom while mentally consumed by obsessive cafe party planning and logistical details.,"Isabella has spent over 75 minutes in the bathroom; her focus is entirely lost to repetitive, obsessive planning loops.",reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Isabella exits the bathroom and begins her commute to Hobbs Cafe, using physical movement to break her recursive mental planning loop.",2023-02-13 08:00:00,True,attentional_leak,the specific playlist for the Valentine's party,moving slowly while mentally organizing music tracks,The cool morning air as she steps outside helps Isabella refocus on her commute.,"Isabella is finally moving, but her mind is still swirling with the festive atmosphere she wants to create at the cafe.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,attentional_leak,the specific playlist for the Valentine's party,Isabella begins her commute while her mind drifts to the specific playlist for the Valentine's party.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day party logistics,sensory hyper-fixation on event aesthetics,Isabella is physically present but mentally tethered to party logistics; she must ground herself in immediate cafe service.,Isabella is at the cafe counter but struggling to disengage from obsessive party planning.,"Isabella's morning was dominated by a rumination loop. While at the counter, her attention remains split between tasks and party details.",reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Focusing on simple service tasks to ground attention and reduce cognitive load from party-related rumination.,2023-02-13 08:15:00,True,attentional_leak,personally inviting every customer to the Valentine's party,chatting about party details instead of finalizing the transaction,The hiss of the steam wand or a customer's gentle prompt reminds her to finish making the drink.,"Isabella's excitement for the party overrides her grounding exercise, leading her to prioritize invitations over efficient service.",2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,attentional_leak,personally inviting every customer to the Valentine's party,Isabella handles customer service at the counter while her mind drifts to personally inviting every customer to the Valentine's party.
