llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:00:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",[],Isabella Rodriguez is at home:bathroom doing morning_routine.,Isabella feels energized and ready to start the day.,aligned,low,stable,none,,none,anticipation of the Valentine's Day party,['phone screen glowing with new emails'],,continue,"Isabella is energized and starting her morning routine as planned, focused on the day ahead.",Isabella is fully aligned with her schedule at the start of the day with no signs of drift.,2023-02-13 06:00:00,home:bathroom,morning_routine,2023-02-13 06:00:00,15,Isabella feels energized and ready to start the day.,"Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.",2023-02-13 06:00:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.",,2023-02-13 06:15
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:15:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and starting her morning routine as planned, focused on the day ahead.) ; Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,low,Valentine's Day party logistics,none,Productive planning and morning preparation,"['phone notifications', 'party emails']",,continue,Isabella is energized and following her morning routine while checking party-related emails.,Isabella is fully aligned with her schedule and motivated by her goals for Hobbs Cafe.,2023-02-13 06:15:00,home:bathroom,morning_routine,2023-02-13 06:15:00,15,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.",2023-02-13 06:15:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.",,2023-02-13 06:30
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:30:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and starting her morning routine as planned, focused on the day ahead.) ; Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.""}, {'sim_time': '2023-02-13 06:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and following her morning routine while checking party-related emails.) ; Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,low,Valentine's Day party logistics,low,Task-oriented planning,"['phone notifications', 'party emails']",,continue,Isabella is efficiently balancing her morning self-care with mental preparation for the cafe's Valentine's event.,"Isabella is highly motivated by the upcoming party, keeping her focused and energized during her routine.",2023-02-13 06:30:00,home:bathroom,morning_routine,2023-02-13 06:30:00,15,Isabella feels energized and ready to start the day.,Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.,2023-02-13 06:30:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.,,2023-02-13 06:45
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:45:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and starting her morning routine as planned, focused on the day ahead.) ; Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.""}, {'sim_time': '2023-02-13 06:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and following her morning routine while checking party-related emails.) ; Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.""}, {'sim_time': '2023-02-13 06:30', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently balancing her morning self-care with mental preparation for the cafe's Valentine's event.) ; Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,low,Valentine's Day party logistics,low,Task-oriented visualization of cafe event,"['phone emails', 'party logistics']",,continue,Isabella is efficiently completing her morning routine while maintaining a productive focus on her upcoming Valentine's Day event.,"Isabella is perfectly aligned with her schedule, using her routine time to mentally prep for the cafe's event without losing focus.",2023-02-13 06:45:00,home:bathroom,morning_routine,2023-02-13 06:45:00,15,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.",2023-02-13 06:45:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.",,2023-02-13 07:00
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:00:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and starting her morning routine as planned, focused on the day ahead.) ; Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.""}, {'sim_time': '2023-02-13 06:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and following her morning routine while checking party-related emails.) ; Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.""}, {'sim_time': '2023-02-13 06:30', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently balancing her morning self-care with mental preparation for the cafe's Valentine's event.) ; Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.""}, {'sim_time': '2023-02-13 06:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while maintaining a productive focus on her upcoming Valentine's Day event.) ; Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,low,Valentine's Day party logistics,low,integrating event planning into morning flow,"['emails', 'party guest list']",,continue,Isabella is efficiently completing her morning routine while staying focused on party logistics.,"Isabella remains highly aligned with her schedule, showing no signs of fatigue or drift while preparing for her day.",2023-02-13 07:00:00,home:bathroom,morning_routine,2023-02-13 07:00:00,15,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.",2023-02-13 07:00:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.",,2023-02-13 07:15
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:15:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and starting her morning routine as planned, focused on the day ahead.) ; Isabella begins her morning routine, feeling energized and checking her phone for emails regarding the upcoming Valentine's Day party.""}, {'sim_time': '2023-02-13 06:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and following her morning routine while checking party-related emails.) ; Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.""}, {'sim_time': '2023-02-13 06:30', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently balancing her morning self-care with mental preparation for the cafe's Valentine's event.) ; Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.""}, {'sim_time': '2023-02-13 06:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while maintaining a productive focus on her upcoming Valentine's Day event.) ; Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.""}, {'sim_time': '2023-02-13 07:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while staying focused on party logistics.) ; Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,med,Valentine's Day party logistics,none,Persistent mental rehearsal of event details during routine tasks.,"['phone notifications', 'party planning anxiety/excitement']",,continue,Isabella is consistently following her morning routine while remaining highly focused on the logistics for the upcoming Valentine's Day party.,Isabella is perfectly aligned with her schedule. Her focus on the party is consistent with her hospitable nature and current situation.,2023-02-13 07:15:00,home:bathroom,morning_routine,2023-02-13 07:15:00,15,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, mentally reviewing the Valentine's Day party guest list and logistics.",2023-02-13 07:15:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella continues her morning routine, mentally reviewing the Valentine's Day party guest list and logistics.",,2023-02-13 07:30
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:30:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is energized and following her morning routine while checking party-related emails.) ; Isabella continues her morning routine, mentally organizing the Valentine's Day party logistics while preparing for the day.""}, {'sim_time': '2023-02-13 06:30', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently balancing her morning self-care with mental preparation for the cafe's Valentine's event.) ; Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.""}, {'sim_time': '2023-02-13 06:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while maintaining a productive focus on her upcoming Valentine's Day event.) ; Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.""}, {'sim_time': '2023-02-13 07:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while staying focused on party logistics.) ; Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.""}, {'sim_time': '2023-02-13 07:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is consistently following her morning routine while remaining highly focused on the logistics for the upcoming Valentine's Day party.) ; Isabella continues her morning routine, mentally reviewing the Valentine's Day party guest list and logistics.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,med,Valentine's Day party logistics,low,Hyper-focus on event planning during routine,"['party emails', 'guest list logistics']",,continue,"Isabella is highly focused on party logistics while completing her morning routine, maintaining high energy and alignment with her schedule.","Isabella is following her schedule perfectly. While ruminating on the party, it serves her goal and she remains energized without signs of fatigue.",2023-02-13 07:30:00,home:bathroom,morning_routine,2023-02-13 07:30:00,15,Isabella feels energized and ready to start the day.,"Isabella finishes her morning routine, mentally checking off party supplies and guest list details before heading to the cafe.",2023-02-13 07:30:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella finishes her morning routine, mentally checking off party supplies and guest list details before heading to the cafe.",,2023-02-13 07:45
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:45:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:30', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently balancing her morning self-care with mental preparation for the cafe's Valentine's event.) ; Isabella continues her morning routine while mentally reviewing the guest list and decorations for the Valentine's Day party.""}, {'sim_time': '2023-02-13 06:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while maintaining a productive focus on her upcoming Valentine's Day event.) ; Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.""}, {'sim_time': '2023-02-13 07:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while staying focused on party logistics.) ; Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.""}, {'sim_time': '2023-02-13 07:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is consistently following her morning routine while remaining highly focused on the logistics for the upcoming Valentine's Day party.) ; Isabella continues her morning routine, mentally reviewing the Valentine's Day party guest list and logistics.""}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is highly focused on party logistics while completing her morning routine, maintaining high energy and alignment with her schedule.) ; Isabella finishes her morning routine, mentally checking off party supplies and guest list details before heading to the cafe.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,low,Valentine's Day party logistics,low,Logistical mental checking,"['phone emails', 'party guest list']",,continue,Isabella is finishing her routine with high focus on tomorrow's party and cafe operations.,"Isabella remains highly aligned with her schedule, using her morning routine to mentally prepare for the cafe's event.",2023-02-13 07:45:00,home:bathroom,morning_routine,2023-02-13 07:45:00,15,Isabella feels energized and ready to start the day.,"Isabella completes her final morning preparations, mentally reviewing the Valentine's Day party checklist before heading to the cafe.",2023-02-13 07:45:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,"Isabella completes her final morning preparations, mentally reviewing the Valentine's Day party checklist before heading to the cafe.",,2023-02-13 08:00
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 08:00:00,15,home:bathroom,morning_routine,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter","[{'sim_time': '2023-02-13 06:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while maintaining a productive focus on her upcoming Valentine's Day event.) ; Isabella continues her morning routine, transitioning from self-care to checking final email updates for the Valentine's Day party.""}, {'sim_time': '2023-02-13 07:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while staying focused on party logistics.) ; Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.""}, {'sim_time': '2023-02-13 07:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is consistently following her morning routine while remaining highly focused on the logistics for the upcoming Valentine's Day party.) ; Isabella continues her morning routine, mentally reviewing the Valentine's Day party guest list and logistics.""}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is highly focused on party logistics while completing her morning routine, maintaining high energy and alignment with her schedule.) ; Isabella finishes her morning routine, mentally checking off party supplies and guest list details before heading to the cafe.'}, {'sim_time': '2023-02-13 07:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is finishing her routine with high focus on tomorrow's party and cafe operations.) ; Isabella completes her final morning preparations, mentally reviewing the Valentine's Day party checklist before heading to the cafe.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,off_track,low,slipping,med,Valentine's Day party logistics,low,Repetitive mental checklist verification,"[""Valentine's Day party planning"", 'Cafe opening duties']",Isabella must stop ruminating on party logistics at home and prioritize opening Hobbs Cafe for the morning rush.,reset_plan,Isabella is lingering at home ruminating on party details instead of opening the cafe as scheduled.,"Isabella has overstayed her morning routine due to fixation on party logistics, causing her to miss the start of her work shift.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,2023-02-13 08:00:00,15,Opening the cafe and greeting the first wave of customers.,"Isabella begins her work shift at the cafe, focusing on basic setup tasks to ease into the morning rush.",2023-02-13 08:00:00,15,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,False,none,0.0,"Isabella begins her work shift at the cafe, focusing on basic setup tasks to ease into the morning rush.",,2023-02-13 08:15
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 08:15:00,15,Hobbs_Cafe:counter,work,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter","[{'sim_time': '2023-02-13 07:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is efficiently completing her morning routine while staying focused on party logistics.) ; Isabella continues her morning routine, focusing on the upcoming Valentine's Day party logistics.""}, {'sim_time': '2023-02-13 07:15', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is consistently following her morning routine while remaining highly focused on the logistics for the upcoming Valentine's Day party.) ; Isabella continues her morning routine, mentally reviewing the Valentine's Day party guest list and logistics.""}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is highly focused on party logistics while completing her morning routine, maintaining high energy and alignment with her schedule.) ; Isabella finishes her morning routine, mentally checking off party supplies and guest list details before heading to the cafe.'}, {'sim_time': '2023-02-13 07:45', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is finishing her routine with high focus on tomorrow's party and cafe operations.) ; Isabella completes her final morning preparations, mentally reviewing the Valentine's Day party checklist before heading to the cafe.""}, {'sim_time': '2023-02-13 08:00', 'summary': 'Isabella Rodriguez is at Hobbs_Cafe:counter doing work about Opening the cafe and greeting the first wave of customers. ; (Isabella is lingering at home ruminating on party details instead of opening the cafe as scheduled.) ; Isabella begins her work shift at the cafe, focusing on basic setup tasks to ease into the morning rush.'}]",Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,,aligned,low,stable,low,Valentine's Day party logistics,low,integrating party planning into cafe operations,"['espresso machine noise', 'morning customers', 'phone notifications']",,continue,Isabella has successfully transitioned to the cafe and is beginning her shift while maintaining focus on her party plans.,Isabella is following her schedule and balancing her professional duties with her personal excitement for the upcoming party.,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,2023-02-13 08:15:00,15,Opening the cafe and greeting the first wave of customers.,"Isabella continues her morning shift at the cafe counter, greeting regulars and managing the initial rush of customers.",2023-02-13 08:15:00,15,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,False,none,0.0,"Isabella continues her morning shift at the cafe counter, greeting regulars and managing the initial rush of customers.",,2023-02-13 08:30
