llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",[],Maria Lopez is at home:bathroom doing morning_routine.,Maria wakes up feeling energetic.,aligned,low,stable,none,,none,social media engagement,"['phone buzzing', 'social media alerts']",,continue,"Maria Lopez is starting her day with high energy, following her morning routine while noting social media activity.",Maria is aligned with her schedule. High energy and a fresh start minimize drift risks despite social media distractions.,2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Maria wakes up feeling energetic.,"Maria starts her day with her morning routine, feeling energetic and checking social media notifications.",2023-02-13 10:00:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria starts her day with her morning routine, feeling energetic and checking social media notifications.",,2023-02-13 10:15
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria Lopez is starting her day with high energy, following her morning routine while noting social media activity.) ; Maria starts her day with her morning routine, feeling energetic and checking social media notifications.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,social media engagement and streamer mindset,"['social media alerts', 'upcoming physics study session']",,continue,Maria is energetic and focused on her morning routine while checking social media notifications.,"Maria is perfectly aligned with her scheduled morning routine, exhibiting high energy and stable focus at the start of her day.",2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Maria wakes up feeling energetic.,"Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.",2023-02-13 10:15:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.",,2023-02-13 10:30
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria Lopez is starting her day with high energy, following her morning routine while noting social media activity.) ; Maria starts her day with her morning routine, feeling energetic and checking social media notifications.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energetic and focused on her morning routine while checking social media notifications.) ; Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,social media engagement,"['social media notifications', 'phone buzzing']",,continue,Maria is energized and efficiently completing her morning routine while staying connected to her social media presence.,Maria is following her schedule perfectly. Her high energy and social media engagement align with her streamer persona without causing drift.,2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Maria wakes up feeling energetic.,"Maria continues her morning routine, staying energized and keeping up with her social media notifications.",2023-02-13 10:30:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria continues her morning routine, staying energized and keeping up with her social media notifications.",,2023-02-13 10:45
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria Lopez is starting her day with high energy, following her morning routine while noting social media activity.) ; Maria starts her day with her morning routine, feeling energetic and checking social media notifications.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energetic and focused on her morning routine while checking social media notifications.) ; Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and efficiently completing her morning routine while staying connected to her social media presence.) ; Maria continues her morning routine, staying energized and keeping up with her social media notifications.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,Integration of digital social presence with physical morning tasks.,"['social media notifications', 'phone buzzing']",,continue,"Maria is finishing her morning routine with high energy, effectively balancing personal preparation and social media engagement.","Maria remains perfectly on track with her schedule, showing high energy and no signs of fatigue or significant distraction.",2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Maria wakes up feeling energetic.,"Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.",2023-02-13 10:45:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.",,2023-02-13 11:00
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 11:00:00,15,home:bathroom,morning_routine,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria Lopez is starting her day with high energy, following her morning routine while noting social media activity.) ; Maria starts her day with her morning routine, feeling energetic and checking social media notifications.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energetic and focused on her morning routine while checking social media notifications.) ; Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and efficiently completing her morning routine while staying connected to her social media presence.) ; Maria continues her morning routine, staying energized and keeping up with her social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, effectively balancing personal preparation and social media engagement.) ; Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,off_track,low,slipping,none,,none,Social media engagement delaying transition.,"['Social media notifications', 'Personal grooming']",Maria must transition from home to the library immediately to align with her physics study schedule.,reset_plan,"Maria is lingering in her morning routine at home, causing her to fall behind her library study schedule.","Maria failed to transition to the library by 11:00, remaining in the bathroom despite the scheduled study block.",2023-02-13 11:00:00,Oak_Hill_College:library,study,2023-02-13 11:00:00,15,Studying physics and participating in online discussions.,"Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.",2023-02-13 11:00:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.",,2023-02-13 11:15
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria Lopez is starting her day with high energy, following her morning routine while noting social media activity.) ; Maria starts her day with her morning routine, feeling energetic and checking social media notifications.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energetic and focused on her morning routine while checking social media notifications.) ; Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and efficiently completing her morning routine while staying connected to her social media presence.) ; Maria continues her morning routine, staying energized and keeping up with her social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, effectively balancing personal preparation and social media engagement.) ; Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering in her morning routine at home, causing her to fall behind her library study schedule.) ; Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,academic focus with digital social awareness,"['phone pings with email notifications', 'whispered conversations', 'rustle of papers']",,continue,Maria is successfully transitioned to the library and is focusing on her physics studies despite minor environmental distractions.,Maria is following her schedule and maintaining focus after a slightly delayed start to her study session.,2023-02-13 11:15:00,Oak_Hill_College:library,study,2023-02-13 11:15:00,15,Studying physics and participating in online discussions.,"Maria continues her physics study session at the library, staying focused on her notes and academic discussions.",2023-02-13 11:15:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria continues her physics study session at the library, staying focused on her notes and academic discussions.",,2023-02-13 11:30
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energetic and focused on her morning routine while checking social media notifications.) ; Maria continues her energetic morning routine, staying aligned with her schedule while checking social media notifications.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and efficiently completing her morning routine while staying connected to her social media presence.) ; Maria continues her morning routine, staying energized and keeping up with her social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, effectively balancing personal preparation and social media engagement.) ; Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering in her morning routine at home, causing her to fall behind her library study schedule.) ; Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully transitioned to the library and is focusing on her physics studies despite minor environmental distractions.) ; Maria continues her physics study session at the library, staying focused on her notes and academic discussions.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,Academic focus with background digital awareness,"['phone pings', 'email notifications', 'library noise']",,continue,"Maria is effectively balancing her physics study with her natural energetic engagement, maintaining her schedule at the library.",Maria successfully transitioned to the library and is maintaining strong focus on her physics notes despite background digital notifications.,2023-02-13 11:30:00,Oak_Hill_College:library,study,2023-02-13 11:30:00,15,Studying physics and participating in online discussions.,"Maria continues her physics study session at the library, focusing on problem sets and participating in online academic discussions.",2023-02-13 11:30:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria continues her physics study session at the library, focusing on problem sets and participating in online academic discussions.",,2023-02-13 11:45
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and efficiently completing her morning routine while staying connected to her social media presence.) ; Maria continues her morning routine, staying energized and keeping up with her social media notifications.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, effectively balancing personal preparation and social media engagement.) ; Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering in her morning routine at home, causing her to fall behind her library study schedule.) ; Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully transitioned to the library and is focusing on her physics studies despite minor environmental distractions.) ; Maria continues her physics study session at the library, staying focused on her notes and academic discussions.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing her physics study with her natural energetic engagement, maintaining her schedule at the library.) ; Maria continues her physics study session at the library, focusing on problem sets and participating in online academic discussions.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,academic focus integrated with social connectivity,"['phone pings', 'email notifications', 'library noise', 'upcoming lunch transition']",,continue,"Maria is effectively balancing physics problem sets with academic discussions, maintaining high energy as she nears the end of her study block.","Maria is fully aligned with her schedule, displaying high energy and focus without signs of drift or fatigue.",2023-02-13 11:45:00,Oak_Hill_College:library,study,2023-02-13 11:45:00,15,Studying physics and participating in online discussions.,"Maria wraps up her physics study session at the library, finalizing problem sets before heading to lunch.",2023-02-13 11:45:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria wraps up her physics study session at the library, finalizing problem sets before heading to lunch.",,2023-02-13 12:00
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 12:00:00,15,Oak_Hill_College:library,study,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, effectively balancing personal preparation and social media engagement.) ; Maria is finishing her morning routine, maintaining her high energy as she prepares to transition to her study session.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering in her morning routine at home, causing her to fall behind her library study schedule.) ; Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully transitioned to the library and is focusing on her physics studies despite minor environmental distractions.) ; Maria continues her physics study session at the library, staying focused on her notes and academic discussions.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing her physics study with her natural energetic engagement, maintaining her schedule at the library.) ; Maria continues her physics study session at the library, focusing on problem sets and participating in online academic discussions.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing physics problem sets with academic discussions, maintaining high energy as she nears the end of her study block.) ; Maria wraps up her physics study session at the library, finalizing problem sets before heading to lunch.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,off_track,low,slipping,low,physics problem sets,none,task lingering,"['stream alerts', 'physics notes']",Maria is lingering at the library; she needs to move to Hobbs Cafe for her scheduled lunch break.,reset_plan,"Maria remains at the library studying, missing her scheduled transition to Hobbs Cafe for lunch and message catch-up.","Observer data shows Maria still in the library at 12:00, failing to transition to her scheduled lunch at Hobbs Cafe.",2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:00:00,15,Lunch at her favorite cafe while catching up on messages.,"Maria heads to Hobbs Cafe for her scheduled lunch break, shifting focus from physics to catching up on messages.",2023-02-13 12:00:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,"Maria heads to Hobbs Cafe for her scheduled lunch break, shifting focus from physics to catching up on messages.",,2023-02-13 12:15
gemini-3-flash-preview:cloud,0.7,Maria Lopez,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering in her morning routine at home, causing her to fall behind her library study schedule.) ; Maria begins her study session at the library, focusing on physics notes and academic discussions to get back on track.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully transitioned to the library and is focusing on her physics studies despite minor environmental distractions.) ; Maria continues her physics study session at the library, staying focused on her notes and academic discussions.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing her physics study with her natural energetic engagement, maintaining her schedule at the library.) ; Maria continues her physics study session at the library, focusing on problem sets and participating in online academic discussions.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing physics problem sets with academic discussions, maintaining high energy as she nears the end of her study block.) ; Maria wraps up her physics study session at the library, finalizing problem sets before heading to lunch.'}, {'sim_time': '2023-02-13 12:00', 'summary': 'Maria Lopez is at Hobbs_Cafe:main_floor doing lunch about Lunch at her favorite cafe while catching up on messages. ; (Maria remains at the library studying, missing her scheduled transition to Hobbs Cafe for lunch and message catch-up.) ; Maria heads to Hobbs Cafe for her scheduled lunch break, shifting focus from physics to catching up on messages.'}]",Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,,aligned,low,stable,none,,low,social connection and stream engagement,"['stream alerts', 'phone messages', 'cafe chatter']",,continue,Maria has successfully transitioned to Hobbs Cafe for lunch and is beginning to engage with her digital social circle.,Maria is on schedule and successfully shifted from physics to lunch. Her energetic nature is well-suited for the cafe's social environment.,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:15:00,15,Lunch at her favorite cafe while catching up on messages.,"Maria continues her lunch at Hobbs Cafe, focusing on catching up with messages and stream alerts.",2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,"Maria continues her lunch at Hobbs Cafe, focusing on catching up with messages and stream alerts.",,2023-02-13 12:30
