llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:00:00,,,,"Morning routine observed in bathroom, no action taken yet.","Only observation available; plan alignment unclear, minimal fatigue or drift detected.",continue,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Proceed with shower, brushing, and tidying the bathroom.",2023-02-13 05:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Proceed with shower, brushing, and tidying the bathroom."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:15:00,,,,"Sam is in the bathroom, following the morning routine steadily.","Observation confirms routine adherence, no drift signals detected.",continue,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Wash up, rinse, and shower before moving to the next daily task.",2023-02-13 05:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Wash up, rinse, and shower before moving to the next daily task."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:30:00,,,,Sam follows his morning routine calmly with minimal distractions.,"Observation shows adherence to routine, no emotional or rumination signals detected, low boredom.",continue,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Quickly sit up, floss, brush teeth, head to kitchen for breakfast prep.",2023-02-13 05:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Quickly sit up, floss, brush teeth, head to kitchen for breakfast prep."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:45:00,,,,"Sam follows routine calmly, no distraction.",Routine proceeds without drift.,continue,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Sam begins the scheduled work block.,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Sam begins the scheduled work block.
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:00:00,,,,"Sam follows routine peacefully in bathroom, minimal distractions, phone buzzing.","Observation shows disciplined routine, no deviations; attention stable, no drift signals.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Sam completes morning routine in bathroom, phone buzzes, but stays focused.",2023-02-13 06:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Sam completes morning routine in bathroom, phone buzzes, but stays focused."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:15:00,,,,Sam follows the morning routine calmly with minimal distractions.,"Observation indicates routine adherence and low distraction, maintaining alignment and attention.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Sam showers, rinses, applies moisturizer, and gets ready for the day.",2023-02-13 06:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Sam showers, rinses, applies moisturizer, and gets ready for the day."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:30:00,,,,"Sam maintains disciplined morning routine, focused, phone buzz is tolerated minimally.","Aligned routine, low fatigue, stable attention, no rumination or emotional drain.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Sam continues calm, focused start to the day.",2023-02-13 06:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Sam continues calm, focused start to the day."
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:45:00,,,,"Sam maintains disciplined morning routine, remains calm and focused despite phone buzz.","Observations show continuous compliance with routine, minimal distraction, low emotional noise.",continue,2023-02-13 06:45:00,,,,,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Sam Moore is at home:bathroom doing morning_routine.
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 07:00:00,,,,"Sam remains focused on his disciplined morning routine, minimal distractions observed.","Observation confirms calm, focused routine with no drift; no emotional or cognitive instability detected.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Sam checks fridge for ingredients and plans breakfast.,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Sam checks fridge for ingredients and plans breakfast.
gpt-oss:20b-cloud,1.0,Sam Moore,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 07:15:00,,,,"Sam Moore follows a disciplined morning routine, stays focused, and tolerates the occasional phone buzz.","Observation shows Sam maintains focus on routine, minimal distractions, no emotional wavering, indicating stable attention.",continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Check phone, stretch, make coffee.",2023-02-13 07:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Check phone, stretch, make coffee."
