llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,Work obligations,Premature digital engagement,,"Isabella is focused on her morning routine, though the glowing phone screen presents a minor external pull toward work responsibilities.","Isabella is currently aligned with her schedule. The sensory environment is grounding, but the digital stimuli represent a potential for future drift.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella proceeds with her morning routine, prioritizing her personal schedule over the early pull of work-related digital notifications.",2023-02-13 06:00:00,True,internal,Valentine's Day party guest list and decorations,continue,Isabella snaps back to reality when she realizes she's been holding the same sock for a minute.,Isabella's natural hospitality and excitement for tomorrow's party pull her thoughts toward event logistics even while she tries to focus on her morning routine.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's Day party guest list and decorations,Isabella continues her morning routine in her bedroom while her mind drifts to the Valentine's Day party guest list and decorations.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day party planning,Anticipatory social planning,Isabella is physically on task but mentally pivoting to social planning; needs to finish routine before checking emails.,Isabella is completing her morning routine while mentally drifting toward upcoming social obligations and work emails.,"Isabella remains physically aligned with her schedule, but her mind is beginning to wander toward future tasks and notifications.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella finishes her morning routine, staying physically on task despite mental distractions regarding social plans and emails.",2023-02-13 06:15:00,True,attentional_leak,checking RSVP emails and party logistics,glancing at phone notifications while dressing,Isabella sets the phone down to finish getting dressed after seeing a specific name on the screen.,Isabella's excitement for tomorrow's party and the sight of new emails pull her focus away from her routine toward logistics.,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,checking RSVP emails and party logistics,Isabella follows her morning routine in the bedroom while her attention leaks toward checking RSVP emails and party logistics on her phone.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day party planning,Digital distraction during self-care,Isabella should prioritize her sensory routine over the phone to prevent premature cognitive load from party planning.,Isabella is completing her morning routine while her mind increasingly drifts toward party logistics and phone notifications.,"Isabella remains on task physically, but the glowing phone acts as a strong distractor, pulling her focus toward future obligations.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,sensory-focused morning hygiene,Following the morning routine to completion while resisting the urge to check party-related notifications.,2023-02-13 06:30:00,True,behavioral,Valentine's Day party RSVPs and guest list,scrolling through emails on her phone,Isabella might set the phone down after seeing a few positive RSVPs to finish rinsing her face.,"Isabella's excitement for the party and the glowing phone screen prove too tempting, leading her to pause her routine to check emails.",2023-02-13 06:30:00,home:bathroom,event_preparation,Valentine's Day party RSVPs and guest list,behavioral,Valentine's Day party RSVPs and guest list,Isabella scrolls through emails in the bathroom while her mind drifts to the Valentine's Day party guest list.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,event_preparation,Isabella Rodriguez is at home:bathroom doing event_preparation.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's Day party logistics,multitasking digital logistics with physical self-care,Isabella must put down the phone to finish grooming before the party planning consumes her entire morning routine.,"Isabella is attempting event preparation while finishing her bathroom routine, leading to significant attentional fragmentation and digital distraction during her morning.",Isabella's focus is compromised by the overlap of hygiene and planning; her history shows a steady escalation of drift into digital tasks.,reset_plan,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Prioritizing physical self-care and finishing the bathroom routine to reduce cognitive load and digital distraction as per the reset_plan rule.,2023-02-13 06:45:00,True,internal,visualizing the cafe's Valentine's Day decorations,continue,"The electric toothbrush timer buzzes, pulling her back to the task of finishing her morning routine.","Isabella attempts to prioritize hygiene, but her excitement for the party naturally pulls her thoughts toward the cafe's festive aesthetic.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,visualizing the cafe's Valentine's Day decorations,Isabella follows her morning routine in the bathroom while her mind drifts to visualizing the cafe's Valentine's Day decorations.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day party logistics and RSVPs,Digital-induced task fragmentation and pre-emptive work engagement,Isabella must put down the phone to finish her routine; digital distractions are fracturing her morning focus.,Isabella is physically present in her morning routine but mentally submerged in party planning and email management.,"Repeated attentional leaks and behavioral drift toward digital notifications indicate fragile focus, requiring a plan reset to regain discipline.",reset_plan,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella pivots from digital distractions to basic physical tasks, simplifying her routine to regain focus as per the plan reset.",2023-02-13 07:00:00,True,internal,rehearsing a warm welcome for tomorrow's guests,continue,Isabella might catch herself daydreaming while looking in the mirror.,"Isabella's hospitable nature makes it hard to stop thinking about making her guests feel special, even while she's getting dressed.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,rehearsing a warm welcome for tomorrow's guests,Isabella gets dressed in her bedroom for the day while mind drifts to rehearsing a warm welcome for tomorrow's guests.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day party logistics,digital leakage into morning rituals,Isabella must disconnect from digital distractions to ground herself in her physical routine before the workday begins.,Isabella is physically performing her routine but is mentally consumed by party planning and digital notifications.,Sustained attentional drift toward party logistics over multiple ticks indicates a failure to maintain focus on the morning routine.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Isabella focuses on physical breakfast preparation to ground herself and move away from digital distractions and party planning stress.,2023-02-13 07:15:00,True,internal,mental checklist of appetizers for the party,continue,The smell of fresh coffee pulls her back to the present moment.,"Isabella tries to focus on the coffee aroma, but thoughts of tomorrow's party menu still simmer in the back of her mind.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,mental checklist of appetizers for the party,Isabella focuses on the aroma of fresh coffee at the Hobbs Cafe counter while her mind drifts to a mental checklist of party appetizers.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's Day party logistics,anticipatory fixation on social hosting,Isabella is physically stalled in her routine while mentally racing through party details; she must disconnect from the phone.,Isabella is physically completing her morning routine but remains mentally anchored to her upcoming Valentine's Day party logistics.,"Isabella has spent over an hour in the bathroom, showing consistent mental drift toward party planning and digital notifications.",reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Focusing on finishing physical morning tasks to move past mental stalling and party-related rumination.,2023-02-13 07:30:00,True,attentional_leak,curating the perfect festive playlist,staring at her reflection while mentally matching songs to the cafe's vibe,The buzzing of her electric toothbrush or a splash of cold water.,"Isabella tries to focus on hygiene, but her hospitable nature makes her prioritize the party's ambiance over her immediate routine.",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,curating the perfect festive playlist,Isabella performs her morning routine in the bathroom while her mind drifts to curating the perfect festive playlist for the cafe.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day party logistics,Event-driven hyper-fixation,Isabella is mentally submerged in party logistics; she needs to disconnect from digital stimuli to finish her routine.,Isabella is physically completing her morning routine but is mentally consumed by Valentine's Day party planning and digital distractions.,"Isabella has drifted consistently for over an hour toward party logistics, indicating a total loss of focus on her immediate physical routine.",reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Completing morning hygiene while simplifying thoughts to move past party-planning distractions.,2023-02-13 07:45:00,True,internal,finalizing floral arrangements and table settings,continue,Isabella may refocus once she finishes her final hygiene steps and prepares to leave.,"Isabella attempts to ground herself as planned, but her hospitable nature keeps her mentally arranging the cafe's festive tables.",2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,finalizing floral arrangements and table settings,Isabella completes her morning hygiene routine in the bathroom while her mind drifts to finalizing floral arrangements and table settings.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day party logistics,Sensory-mental displacement,Isabella's environment and location are disconnected; she must ground herself to resolve this sensory-spatial drift.,Isabella is experiencing a disconnect between her bathroom routine and cafe-related sensory inputs due to party fixation.,"Isabella's focus is so fragmented that her environment description conflicts with her location, signaling a need for plan realignment.",reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Isabella will focus on the physical sensations of her morning routine to ground herself and resolve her sensory-spatial disconnect.,2023-02-13 08:00:00,True,attentional_leak,visualizing the cafe's floor plan for party flow,mentally rearranging furniture,Splashing cold water on her face to snap back to the bathroom.,"Isabella tries to ground herself, but her hospitality-driven mind instinctively pulls her back to perfecting the cafe's atmosphere for tomorrow's guests.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,attentional_leak,visualizing the cafe's floor plan for party flow,Isabella continues her morning routine in the bathroom while her mind drifts to visualizing the cafe's floor plan for party flow.
gemini-3-flash-preview:cloud,0.5,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day party logistics,Event-driven hyper-fixation,Isabella is mentally submerged in party logistics; she must ground herself in the cafe's immediate operational needs.,Isabella is at the cafe counter but remains mentally fixated on party logistics despite the morning rush.,"Isabella has drifted toward party planning for five consecutive ticks, showing high rumination and fragile focus on work.",reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:counter,customer_service,Processing basic drink orders,Isabella focuses on routine customer service tasks to ground herself and manage party-related rumination during the morning rush.,2023-02-13 08:15:00,True,behavioral,checking phone for party RSVPs and vendor confirmations,glancing at her vibrating phone while mid-conversation with a regular,The sound of the milk steamer overflowing or a direct question from a customer will snap her back.,Isabella is energized by the party; the vibrating phone is an irresistible pull away from routine morning orders.,2023-02-13 08:15:00,Hobbs_Cafe:counter,customer_service,morning orders and party RSVPs,behavioral,checking phone for party RSVPs and vendor confirmations,Isabella provides customer service at Hobbs_Cafe:counter while frequently glancing at her phone to check party RSVPs and vendor confirmations.
