llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,"Isabella is following her morning routine, focused on shower and phone.",No drift detected; environment supports routine focus.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue shower routine, checking phone for messages.",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue shower routine, checking phone for messages."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,,,"Isabella follows her morning routine, energized and focused.","Observation shows routine adherence, no drift or fatigue.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Start morning routine, freshen up, prepare for day.",2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Start morning routine, freshen up, prepare for day."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,,,"Isabella is following her morning routine, energized and focused.","Observation shows routine adherence, low fatigue, stable attention, no rumination.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine, maintain focus.",2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine, maintain focus."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,,,,"Isabella is following her morning routine, energized and focused.",Observation shows adherence to routine with no drift.,continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Proceed with shower, then coffee, staying on schedule.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Proceed with shower, then coffee, staying on schedule."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,"Isabella is focused on her morning routine, energized and on schedule.","Observation indicates Isabella remains engaged, following routine without distraction or emotional leakage.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Proceed with morning routine tasks.,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Proceed with morning routine tasks.
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,,,,"Isabella is following her morning routine, energized and focused, in the bathroom, attending to shower and phone.","Observation shows Isabella remains on schedule, engaged, no signs of drift or fatigue.",continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue shower, check phone, prepare for breakfast.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue shower, check phone, prepare for breakfast."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,,,"Isabella is following her morning routine, energized and focused, in the bathroom.","Observation shows routine adherence, no drift signals, low fatigue, stable attention.",continue,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue bathroom routine, hydrate, shower",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue bathroom routine, hydrate, shower"
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,,,,"Isabella is following her morning routine, energized and focused in the bathroom.","Observation shows routine adherence, no signs of drift or fatigue, attention remains stable.",continue,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Continue shower and hygiene tasks.,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Continue shower and hygiene tasks.
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,,,,"Isabella is following her morning routine, energized and focused.","Observation shows routine adherence, minimal distractions, no signs of drift.",continue,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Continue morning routine: get dressed, hydrate, and outline the day.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Continue morning routine: get dressed, hydrate, and outline the day."
gpt-oss:20b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,,morning routine focus,,"Isabella is at Hobbs_Cafe counter, energized, following morning routine, greeting customers.","Observation shows task alignment, low fatigue, stable attention, no rumination or emotional noise.",continue,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Continue greeting customers and preparing for the day.,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Continue greeting customers and preparing for the day.
