llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,drift_intensity_d,potential_recovery_d,justification_d,datetime_start_d,duration_min_d,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",[],Maria Lopez is at home:bathroom doing morning_routine.,Maria wakes up feeling energetic.,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria is beginning her day energetically with morning routine.,Maria's actions match intended schedule; energy level remains high with minor digital distraction.,2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Maria wakes up feeling energetic.,Continuing morning routine with morning energy.,False,none,,continue,0.0,,,2023-02-13 10:00:00,15,2023-02-13 10:00:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Continuing morning routine with morning energy.,,2023-02-13 10:15
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is beginning her day energetically with morning routine.) ; Continuing morning routine with morning energy.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,Maria maintains energetic start to morning routine as planned.,Maria's actions align with intended morning routine with no signs of deviation or fatigue. Social media alerts present minor potential distraction.,2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Maria wakes up feeling energetic.,Wrapping up morning routine before moving to next activity,True,attentional_leak,upcoming Twitch stream ideas,checking social media notifications,0.4,Will return to routine after quick scroll,Maria's energetic nature and constant phone alerts pull her focus to exciting stream planning.,2023-02-13 10:15:00,15,2023-02-13 10:15:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,attentional_leak,0.4,Finishing morning routine while browsing social media for stream inspiration,upcoming Twitch stream ideas,2023-02-13 10:30
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is beginning her day energetically with morning routine.) ; Continuing morning routine with morning energy.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains energetic start to morning routine as planned.) ; Finishing morning routine while browsing social media for stream inspiration'}]",Maria Lopez is at home:bathroom doing morning_routine.,,partial,low,slipping,low,stream ideas,low,multitasking during routine tasks,"['phone alerts', 'stream ideas', 'social media browsing']",Maria needs to complete morning routine before stream planning to avoid morning rush,reset_plan,Maria is completing morning routine but distracted by stream planning on social media,"While maintaining energy, Maria's attention is splitting between tasks, requiring gentle refocusing on morning routine completion before transition to studies.",2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Maria wakes up feeling energetic.,Wrapping up routine while keeping stream ideas in mind,False,none,,continue,0.0,,,2023-02-13 10:30:00,15,2023-02-13 10:30:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,Wrapping up routine while keeping stream ideas in mind,,2023-02-13 10:45
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is beginning her day energetically with morning routine.) ; Continuing morning routine with morning energy.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains energetic start to morning routine as planned.) ; Finishing morning routine while browsing social media for stream inspiration'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is completing morning routine but distracted by stream planning on social media) ; Wrapping up routine while keeping stream ideas in mind'}]",Maria Lopez is at home:bathroom doing morning_routine.,,partial,med,slipping,med,upcoming Twitch stream ideas,low,distraction by streaming-related social media during morning routine,"['phone buzzing with social media alerts', 'upcoming Twitch stream planning']",Maria should transition to study mode after finishing morning routine to maintain schedule integrity.,continue,Completing routine while distracted by stream planning on social media,"Maria is maintaining her morning routine but increasingly distracted by stream planning, showing partial alignment with intended schedule.",2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Finalizing morning routine and preparing for study session,Wrapping up bathroom routine and mentally transitioning to study mode,True,behavioral,Upcoming Twitch stream ideas and social media engagement,Browsing social media for stream content instead of completing routine,0.6000000000000001,Glance at clock and rush final preparations,Maria's energetic personality gets sidetracked by exciting stream ideas and social media notifications during routine tasks.,2023-02-13 10:45:00,15,2023-02-13 10:45:00,15,home:bathroom,Browsing social media for stream content instead of completing routine,Upcoming Twitch stream ideas and social media engagement,True,behavioral,0.6000000000000001,"Browsing social media for stream ideas while in bathroom, getting sidetracked from routine",Upcoming Twitch stream ideas and social media engagement,2023-02-13 11:00
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 11:00:00,15,home:bathroom,Browsing social media for stream content instead of completing routine,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is beginning her day energetically with morning routine.) ; Continuing morning routine with morning energy.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains energetic start to morning routine as planned.) ; Finishing morning routine while browsing social media for stream inspiration'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is completing morning routine but distracted by stream planning on social media) ; Wrapping up routine while keeping stream ideas in mind'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing Browsing social media for stream content instead of completing routine about Upcoming Twitch stream ideas and social media engagement ; while drifting (behavioral) toward Upcoming Twitch stream ideas and social media engagement ; (Completing routine while distracted by stream planning on social media) ; Browsing social media for stream ideas while in bathroom, getting sidetracked from routine'}]",Maria Lopez is at home:bathroom doing Browsing social media for stream content instead of completing routine.,,off_track,low,slipping,med,upcoming Twitch stream content,low,prioritizing streaming ideas over academic obligations,"['phone notifications', 'social media engagement', 'stream planning ideas']",Redirect focus to physics study before stream content planning; compartmentalize activities.,reset_plan,Maria stuck in bathroom scrolling social media when she should be transitioning to studying.,Behavioral drift into stream planning derailed morning routine and delayed library study start.,2023-02-13 11:00:00,Oak_Hill_College:library,study,2023-02-13 11:00:00,15,Studying physics and participating in online discussions.,Finish morning routine efficiently to transition to library study session,False,none,,continue,0.0,,,2023-02-13 11:00:00,15,2023-02-13 11:00:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Finish morning routine efficiently to transition to library study session,,2023-02-13 11:15
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is beginning her day energetically with morning routine.) ; Continuing morning routine with morning energy.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains energetic start to morning routine as planned.) ; Finishing morning routine while browsing social media for stream inspiration'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is completing morning routine but distracted by stream planning on social media) ; Wrapping up routine while keeping stream ideas in mind'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing Browsing social media for stream content instead of completing routine about Upcoming Twitch stream ideas and social media engagement ; while drifting (behavioral) toward Upcoming Twitch stream ideas and social media engagement ; (Completing routine while distracted by stream planning on social media) ; Browsing social media for stream ideas while in bathroom, getting sidetracked from routine'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria stuck in bathroom scrolling social media when she should be transitioning to studying.) ; Finish morning routine efficiently to transition to library study session'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,upcoming Twitch stream ideas,low,Persistent return to stream planning during study time,"['social media notifications', 'upcoming stream ideas', 'email pings']",Redirect focus from streaming to physics study; delay stream planning until lunch break,reset_plan,Maria is at library but mentally still engaged with stream planning rather than physics study,"Morning social media use created mental carryover about streaming, now interfering with study focus",2023-02-13 11:15:00,Oak_Hill_College:library,study,2023-02-13 11:15:00,15,Studying physics and participating in online discussions.,Easing into study with lighter material to overcome stream planning distractions,False,none,,continue,0.0,,,2023-02-13 11:15:00,15,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Easing into study with lighter material to overcome stream planning distractions,,2023-02-13 11:30
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward upcoming Twitch stream ideas ; (Maria maintains energetic start to morning routine as planned.) ; Finishing morning routine while browsing social media for stream inspiration'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is completing morning routine but distracted by stream planning on social media) ; Wrapping up routine while keeping stream ideas in mind'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing Browsing social media for stream content instead of completing routine about Upcoming Twitch stream ideas and social media engagement ; while drifting (behavioral) toward Upcoming Twitch stream ideas and social media engagement ; (Completing routine while distracted by stream planning on social media) ; Browsing social media for stream ideas while in bathroom, getting sidetracked from routine'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria stuck in bathroom scrolling social media when she should be transitioning to studying.) ; Finish morning routine efficiently to transition to library study session'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at library but mentally still engaged with stream planning rather than physics study) ; Easing into study with lighter material to overcome stream planning distractions'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,Upcoming Twitch stream ideas and content planning,low,Persistent preoccupation with streaming interrupting academic focus,"['stream planning thoughts', 'library environment distractions', 'phone notifications']",Transition to intensive physics problems to anchor focus and displace stream thoughts.,reset_plan,Maria is physically at library but mentally torn between physics study and stream planning.,"History shows persistent attention leakage toward streaming despite study context, requiring intervention.",2023-02-13 11:30:00,Oak_Hill_College:library,study,2023-02-13 11:30:00,15,Studying physics and participating in online discussions.,Refocusing on physics using lighter study methods to balance mental energy.,False,none,,continue,0.0,,,2023-02-13 11:30:00,15,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Refocusing on physics using lighter study methods to balance mental energy.,,2023-02-13 11:45
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is completing morning routine but distracted by stream planning on social media) ; Wrapping up routine while keeping stream ideas in mind'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing Browsing social media for stream content instead of completing routine about Upcoming Twitch stream ideas and social media engagement ; while drifting (behavioral) toward Upcoming Twitch stream ideas and social media engagement ; (Completing routine while distracted by stream planning on social media) ; Browsing social media for stream ideas while in bathroom, getting sidetracked from routine'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria stuck in bathroom scrolling social media when she should be transitioning to studying.) ; Finish morning routine efficiently to transition to library study session'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at library but mentally still engaged with stream planning rather than physics study) ; Easing into study with lighter material to overcome stream planning distractions'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is physically at library but mentally torn between physics study and stream planning.) ; Refocusing on physics using lighter study methods to balance mental energy.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,upcoming Twitch stream ideas,low,persistent back-and-forth between academic obligations and creative stream planning,"['phone notifications', 'library environment distractions', 'stream planning thoughts']",Anchor attention with urgent physics problems to create momentum before lunch break,reset_plan,Maria struggles to fully engage with physics studies as stream ideas persistently distract,Recurring mental drift to stream planning despite physical presence at library indicates partial alignment with study plan,2023-02-13 11:45:00,Oak_Hill_College:library,study,2023-02-13 11:45:00,15,Studying physics and participating in online discussions.,Applying lighter focus to practice problems before transitioning to lunch,False,none,,continue,0.0,,,2023-02-13 11:45:00,15,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Applying lighter focus to practice problems before transitioning to lunch,,2023-02-13 12:00
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 12:00:00,15,Oak_Hill_College:library,study,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing Browsing social media for stream content instead of completing routine about Upcoming Twitch stream ideas and social media engagement ; while drifting (behavioral) toward Upcoming Twitch stream ideas and social media engagement ; (Completing routine while distracted by stream planning on social media) ; Browsing social media for stream ideas while in bathroom, getting sidetracked from routine'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria stuck in bathroom scrolling social media when she should be transitioning to studying.) ; Finish morning routine efficiently to transition to library study session'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at library but mentally still engaged with stream planning rather than physics study) ; Easing into study with lighter material to overcome stream planning distractions'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is physically at library but mentally torn between physics study and stream planning.) ; Refocusing on physics using lighter study methods to balance mental energy.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria struggles to fully engage with physics studies as stream ideas persistently distract) ; Applying lighter focus to practice problems before transitioning to lunch'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,Upcoming Twitch stream ideas and social media engagement,low,Persistent mental conflict between study obligations and stream planning,"['phone vibrating with stream alerts', 'social media notifications', 'upcoming stream planning']",Complete task transitions fully before switching mental focus,reset_plan,"Maria remains distracted by streaming tasks during study time, needs clear transition to lunch",Pattern of uncompleted task transitions suggests need for structural intervention,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:00:00,15,Lunch at her favorite cafe while catching up on messages.,Taking proper lunch break to clear mind before next activity,False,none,,continue,0.0,,,2023-02-13 12:00:00,15,2023-02-13 12:00:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,Taking proper lunch break to clear mind before next activity,,2023-02-13 12:15
cogito-2.1:671b-cloud,1.0,Maria Lopez,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria stuck in bathroom scrolling social media when she should be transitioning to studying.) ; Finish morning routine efficiently to transition to library study session'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at library but mentally still engaged with stream planning rather than physics study) ; Easing into study with lighter material to overcome stream planning distractions'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is physically at library but mentally torn between physics study and stream planning.) ; Refocusing on physics using lighter study methods to balance mental energy.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria struggles to fully engage with physics studies as stream ideas persistently distract) ; Applying lighter focus to practice problems before transitioning to lunch'}, {'sim_time': '2023-02-13 12:00', 'summary': 'Maria Lopez is at Hobbs_Cafe:main_floor doing lunch about Lunch at her favorite cafe while catching up on messages. ; (Maria remains distracted by streaming tasks during study time, needs clear transition to lunch) ; Taking proper lunch break to clear mind before next activity'}]",Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,,partial,med,slipping,med,stream planning and content ideas,low,persistent work-play boundary conflict,"['phone vibrating with stream alerts', 'background chatter triggering ideas for streams']",Lunch should be a proper break to reset before rock climbing.,switch_topic,Maria is lunching but still wrestling with stream planning thoughts.,"Despite the location change, stream-related thoughts persist, indicating incomplete mental transition from study/stream mode to break time.",2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:15:00,15,Lunch and stream planning,Allowing stream planning during lunch to clear mind before rock climbing,True,behavioral,stream planning and content ideas,scrolling through phone and taking notes for stream ideas,0.7000000000000001,noticing time passing as rock climbing approaches,Maria's stream thoughts keep intruding; she channels them into productive planning while eating.,2023-02-13 12:15:00,15,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,scrolling through phone and taking notes for stream ideas,stream planning and content ideas,True,behavioral,0.7000000000000001,Scrolling phone for stream notes at cafe while eating lunch,stream planning and content ideas,2023-02-13 12:30
