llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,,,Hailey is currently engaged in her morning routine in the bathroom.,The action aligns with the schedule. Competing stimuli are present but haven't yet impacted focus.,continue,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue with the morning routine, focusing on skincare for the next 15 minutes.",2023-02-13 10:00:00,True,internal,podcast ideas,continue,Briefly refocus on skincare.,"Hailey is energized and imaginative. The phone buzzes with social media, triggering thoughts about content creation for her podcast.",2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast ideas,Hailey completed her skincare routine in the bathroom while her mind drifts to podcast ideas.
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,podcast ideas,task-switching (routine vs. creative ideation),Anchor attention to the present routine. Podcast ideas can wait until after.,"Hailey is performing her morning routine, but attention is drifting to podcast planning.","The core task is being completed, but Hailey's mind is frequently pulled towards podcasting. Gentle refocusing is needed.",continue,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue breakfast, focusing on the present moment and minimizing distractions.",2023-02-13 10:15:00,True,attentional_leak,podcast ideas,continue,"Briefly acknowledge podcast idea, then refocus on routine.","Hailey is easily pulled into creative thought. The podcast is a strong pull, but she's still physically completing her routine.",2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast ideas,Hailey completed her teeth brushing as part of her morning routine while her mind wandered to podcast ideas.
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,podcast ideas,task-adjacent ideation,Gently refocus on completing the morning routine before fully developing podcast concepts.,"Hailey is performing her morning routine, but attention repeatedly drifts to podcast planning.","The primary task is being completed, but attention is consistently pulled towards podcast ideas. A gentle refocus is needed.",continue,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue morning routine, gently redirecting attention from podcast ideas.",2023-02-13 10:30:00,True,attentional_leak,podcast ideas,continue,"Briefly acknowledge podcast thought, then return to routine.","Hailey is easily captivated by new ideas. The podcast concept is compelling, and she's finding it hard to fully ground herself in the present.",2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast ideas,"Hailey ate breakfast in the kitchen as part of her morning routine, while her mind wandered to potential podcast ideas."
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,podcast ideas,repeatedly returning to podcast planning during a routine task,"Hailey, gently redirect focus back to the present moment of your routine. Podcasts can wait.","Hailey is completing her morning routine, but attention is consistently pulled towards podcast planning.","The routine is being completed, but attention is repeatedly drifting. The insight aims to anchor Hailey back to the task at hand.",continue,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue morning routine, focusing on the present task and gently setting aside podcast ideas for later.",2023-02-13 10:45:00,True,attentional_leak,podcast ideas,continue,"Briefly acknowledge podcast thought, then refocus on routine.","Hailey is easily captivated by new projects. The podcast is a strong pull, even during a simple routine.",2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast ideas,"Enjoying breakfast in the kitchen as part of the morning routine, while brainstorming potential podcast topics."
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:00:00,podcast ideas,repeatedly returning to podcast planning during a dedicated routine,"Hailey, gently acknowledge the podcast ideas, then refocus on fully experiencing your morning routine.","Hailey is performing her morning routine, but attention is frequently drifting to podcast planning.","The routine is being completed, but attention is consistently pulled away. The rumination isn't negative, but it's impacting focus.",continue,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue morning routine, focusing on the present moment and enjoying coffee. Acknowledge podcast ideas later.",2023-02-13 11:00:00,True,attentional_leak,podcast ideas,continue,"Briefly acknowledge the podcast ideas, then redirect focus.","Hailey is easily captivated by new ideas. The podcast is exciting, and it's proving hard to fully disconnect while going through a routine.",2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast ideas,"Hailey ate breakfast in the kitchen as part of her morning routine, while her mind wandered to exciting new podcast ideas."
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:15:00,podcast ideas,consistent attentional drift to podcast planning during routine tasks,"Hailey, gently redirect focus back to the present moment. Complete the routine first.","Hailey is performing her morning routine, but her attention is repeatedly drawn to podcast ideas.","The routine is being completed, but attention is consistently drifting. The rumination theme is clear. A gentle redirect is needed.",continue,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue morning routine, gently redirecting attention from podcast ideas back to the present task.",2023-02-13 11:15:00,True,attentional_leak,podcast ideas,continue,Briefly refocus on the current task.,"Hailey is easily captivated by new ideas. The podcast is exciting, and it's pulling her focus away from the mundane.",2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast ideas,Hailey reviewed marketing materials in the office while her mind drifted to brainstorming podcast ideas.
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:30:00,podcast ideas,Consistent attentional drift to podcast planning during routine tasks.,"Hailey, gently redirect focus back to the present moment. Complete the routine first.","Hailey is performing her morning routine, but is heavily fixated on podcast planning.","The routine is being completed, but attention is consistently pulled away. This indicates a strong rumination loop and slipping attention.",continue,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue morning routine, gently redirecting attention from podcast ideas to the present moment.",2023-02-13 11:30:00,True,internal,podcast ideas,daydream,Briefly refocus on finishing the routine.,"Hailey is caught in a loop of podcast ideas. It's hard for her to resist fleshing them out, even mid-routine.",2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast ideas,Hailey completed her morning routine in the bedroom while her mind drifted to podcast ideas.
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:45:00,podcast ideas,fixation on podcast planning despite attempts to focus on morning routine.,"Hailey, gently redirect focus back to the present moment. Routine first, podcast later.","Hailey is attempting her morning routine, but is heavily fixated on podcast planning.",Hailey's attention is consistently pulled away from the morning routine. The high rumination level and slipping attention require a course correction.,reset_plan,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Gentle reset: focus on a simple, grounding activity - a mindful breakfast to re-center.",2023-02-13 11:45:00,True,attentional_leak,podcast ideas,continue,A mindful breakfast could help refocus.,"Hailey is still caught up in podcast planning, despite the 'reset_plan' meta-rule. She'll likely continue her routine, but with a wandering mind.",2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast ideas,"Hailey ate breakfast in the kitchen as part of her morning routine, while her mind wandered to podcast ideas."
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 12:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:00:00,podcast ideas,Consistent return to podcast planning despite attempts to focus on morning routine.,"Hailey, gently acknowledge the podcast ideas, then refocus on completing the routine.","Hailey is doing her morning routine, but is significantly distracted by podcast planning.","The routine is being completed, but attention is repeatedly pulled away. High rumination on podcast ideas indicates a strong competing stimulus.",continue,2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Continue morning routine, acknowledging podcast ideas but gently redirecting focus to the present.",2023-02-13 12:00:00,True,internal,podcast ideas,daydream,Briefly check phone for podcast-related resources.,"Hailey is captivated by podcast possibilities. She's likely imagining interview scenarios or episode structures, despite needing to finish getting ready.",2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,internal,podcast ideas,Hailey continued with her morning routine in the bedroom while her mind drifted to exciting podcast ideas.
gemma3:27b-cloud,0.0,Hailey Johnson,2023-02-13 12:15:00,lunch_spot,lunch,Hailey Johnson is at lunch_spot doing lunch.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:15:00,podcast ideas,fixation on podcast planning despite attempts to focus on present activity,"Hailey, acknowledge the podcast ideas, then gently redirect focus to enjoying lunch.","Hailey is at lunch, but heavily preoccupied with podcast planning, showing a strong rumination loop.","Hailey's attention has been consistently drifting to podcast ideas for the last hour. While not fatigued, the persistent thought pattern is hindering present moment focus.",continue,2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Continue lunch, acknowledging podcast ideas but refocusing on the present moment and enjoying the meal.",2023-02-13 12:15:00,True,attentional_leak,podcast ideas,daydreaming,"Briefly acknowledge the podcast ideas, then actively focus on the sensory experience of lunch.","Hailey is caught in a loop of podcast planning. The cafe's stimuli aren't strong enough to fully anchor her, so her mind wanders again.",2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,attentional_leak,podcast ideas,"Hailey is eating lunch at Hobbs Cafe, while her mind wanders to brainstorming podcast ideas."
