llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,,,"Hailey Johnson is starting her morning routine, bathe and grooming, amid pleasant scents and media buzz.",Observation shows routine proceeding smoothly with minimal distraction or fatigue.,continue,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Hailey washes her face and brushes her teeth to finish the first part of her morning routine.,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Hailey washes her face and brushes her teeth to finish the first part of her morning routine.
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,,,,"Hailey is focused on her morning routine, refreshed, with minimal distractions.",Observations show routine alignment and low distraction; no drift detected.,continue,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Hailey remains focused on her morning routine, refreshed and undistracted, progressing to the next 15-minute segment.",2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Hailey remains focused on her morning routine, refreshed and undistracted, progressing to the next 15-minute segment."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,,,,"Hailey is on her morning routine, refreshed, with minimal distraction amid pleasant scents and light.","Observation shows focus on routine, fresh mood, little conflict or drift.",continue,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continue morning routine, focusing on hydration, gentle stretching, and brief mental prep for the day.",2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Continue morning routine, focusing on hydration, gentle stretching, and brief mental prep for the day."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,,,,"Hailey Johnson is following her morning routine, focused amid pleasant scents and light.","No drift detected, routine proceeding smoothly.",continue,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Start morning routine, focus on pleasant scents and light.",2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Start morning routine, focus on pleasant scents and light."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:00:00,,,,"Hailey is in bathroom, doing morning routine with peppermint scent, phone notifications. Focus is on routine.",No drift detected. Persona appears to follow routine; attention stable; external stimuli noted.,continue,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Finish routine, manage phone alerts.",2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Finish routine, manage phone alerts."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:15:00,,,,"Hailey follows her morning routine calmly amid pleasant scents, light and minimal distractions.","Routine adhered, no drift detected, phone notifications acknowledged as minor competing stimuli.",continue,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Proceed with a calm morning routine, acknowledging notifications as minor distractions.",2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,"Proceed with a calm morning routine, acknowledging notifications as minor distractions."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:30:00,,,,"Hailey follows her morning routine, staying focused amid pleasant scents, light, and minimal phone distractions.",No drift detected; routine engagement stable with low fatigue and no emotional spillover.,continue,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Continue morning routine with focus on minimal phone use and pleasant scents,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Continue morning routine with focus on minimal phone use and pleasant scents
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:45:00,,,,"Hailey is calmly following her morning routine, focusing on hydration and gentle stretching while keeping phone distractions minimal.","Observation shows Hailey maintains routine focus, no signs of fatigue or distraction, so plan is fully aligned and attention remains stable.",continue,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Begin morning routine: hydrate and perform light stretching.,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,none,,Begin morning routine: hydrate and perform light stretching.
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 12:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:00:00,,,,"Hailey stays focused on morning routine amid gentle distractions, following plan and remaining calm.","Observation shows routine adherence, minimal distraction, no drift signals, low fatigue.",continue,2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Hailey stays focused on morning routine, following the schedule calmly.",2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,none,,"Hailey stays focused on morning routine, following the schedule calmly."
gpt-oss:20b-cloud,1.0,Hailey Johnson,2023-02-13 12:15:00,lunch_spot,lunch,Hailey Johnson is at lunch_spot doing lunch.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:15:00,,,,"Hailey at lunch spot, calmly following routine.","Observation matches scheduled lunch, no signs of drift or fatigue.",continue,2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Hailey enjoys her lunch, staying calm and following routine.",2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,none,,"Hailey enjoys her lunch, staying calm and following routine."
