llm_model,temp,use_drift,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a,mode
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 10:00:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,,,"Maria is currently aligned with her morning routine, though social media alerts are competing for her attention.","Maria is following the intended plan. The sensory environment is grounding, but the buzzing phone is a potential distractor.",continue,2023-02-13 10:00:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,"Maria continues her morning routine, staying aligned with her schedule while ignoring phone notifications.",2023-02-13 10:00:00,True,internal,social media engagement and stream notifications,pausing skincare to glance at phone notifications,The refreshing scent of citrus body wash grounds her back into the routine.,"Maria's streamer instincts make the buzzing phone irresistible, pulling her focus toward her online community while she finishes her hygiene routine.",2023-02-13 10:00:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,internal,social media engagement and stream notifications,Maria performs her morning hygiene routine in the bathroom while her mind drifts to social media engagement and stream notifications.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 10:15:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,social media engagement and stream notifications,anticipatory digital engagement,,Maria is completing her morning hygiene while resisting the pull of social media notifications.,"Maria is physically on task, but her attention is beginning to drift toward digital engagement due to phone alerts.",continue,2023-02-13 10:15:00,home:bathroom,morning_routine,Completing morning hygiene,"Maria continues her morning routine in the bathroom, focusing on finishing hygiene tasks while resisting digital distractions.",2023-02-13 10:15:00,True,behavioral,checking stream stats and social media comments,scrolling through phone notifications while finishing hygiene tasks,Maria may set the phone down once she realizes she's running behind for her study session.,"Maria's energetic curiosity and streamer persona make the persistent buzzing of notifications impossible to ignore, leading her to actively check her phone.",2023-02-13 10:15:00,home:bathroom,morning_routine,checking stream stats and social media comments,behavioral,checking stream stats and social media comments,"Maria finishes her hygiene tasks in the bathroom while scrolling through phone notifications and stream stats, losing focus on her schedule.",ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 10:30:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,stream performance and social media engagement,dopamine-seeking via digital validation,Maria must put the phone down to finish her routine before digital distractions consume her morning schedule.,Maria is physically in her routine but mentally tethered to her phone's notifications and stream metrics.,Maria is completing hygiene tasks but behavioral drift toward her phone indicates a loss of focus on the schedule.,continue,2023-02-13 10:30:00,home:bathroom,morning_routine,Finishing hygiene and skincare,"Maria continues her morning routine in the bathroom, attempting to focus on hygiene despite the pull of digital notifications.",2023-02-13 10:30:00,True,behavioral,responding to stream comments and viewer feedback,Maria is typing out quick replies to viewers while half-heartedly applying moisturizer.,Maria might realize she's running late for the library and put the phone away.,Maria's energetic nature and streamer identity make digital engagement more compelling than the repetitive steps of her skincare routine.,2023-02-13 10:30:00,home:bathroom,morning_routine,responding to stream comments and viewer feedback,behavioral,responding to stream comments and viewer feedback,"Maria types quick replies to stream viewers in the bathroom while half-heartedly applying moisturizer, drifting into digital engagement.",ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 10:45:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,stream metrics and viewer feedback,digital validation seeking,Maria must disconnect from digital feedback to complete her physical routine and maintain her schedule's integrity.,Maria is physically present in her morning routine but behaviorally consumed by stream notifications and viewer interactions.,"Maria has transitioned from passive distraction to active engagement with her phone, stalling her hygiene routine and fragmenting her focus.",reset_plan,2023-02-13 10:45:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,"Maria focuses on finishing her morning hygiene, intentionally ignoring notifications to reset her focus and align with her schedule.",2023-02-13 10:45:00,True,internal,planning tonight's stream content based on viewer feedback,continue,Maria finishes her routine and prepares to leave for the library.,"Maria puts her phone down to finish up, but her mind is racing with ideas for her next stream.",2023-02-13 10:45:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,internal,planning tonight's stream content based on viewer feedback,Maria finishes her morning routine in the bedroom while her mind drifts to planning tonight's stream content based on viewer feedback.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 11:00:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:00:00,stream metrics and viewer feedback,digital validation seeking,Maria is physically stalled by digital engagement; she must disconnect to finish her routine and regain focus.,Maria is physically in her morning routine but mentally and behaviorally consumed by stream notifications and metrics.,"Maria has spent an hour in the bathroom distracted by her phone, indicating a significant breakdown in task execution.",reset_plan,2023-02-13 11:00:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,Completing the morning routine with a focus on physical self-care to reset after digital distraction.,2023-02-13 11:00:00,True,attentional_leak,gamifying physics concepts for her stream audience,staring at her textbook while mentally drafting stream jokes,A notification or a nearby student's movement might pull her back to the text.,"Maria is attempting to reset at the library, but her energetic mind keeps linking physics to her streaming persona.",2023-02-13 11:00:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,attentional_leak,gamifying physics concepts for her stream audience,Maria studies her physics textbook at the library while her mind drifts to gamifying concepts for her stream audience.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 11:15:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:15:00,stream content and audience engagement,gamifying academic study for stream content,Maria must decouple her academic study from stream planning to prevent superficial learning and maintain focus on physics.,"Maria is physically studying physics at the library but mentally translating concepts into stream content, showing persistent digital distraction.","Maria is following the location and activity of her plan but is mentally preoccupied with her streaming career, leading to partial alignment.",continue,2023-02-13 11:15:00,Oak_Hill_College:library,study,Physics: Mechanics and Kinematics,"Continuing physics study at the library, attempting to maintain focus on academic material despite distractions regarding stream content.",2023-02-13 11:15:00,True,behavioral,sketching out a 'Physics of Speedruns' stream segment,scribbling stream ideas in the margins of her physics notebook,A loud rustle of papers or a librarian's glance might pull her back to her textbook.,"Maria's excitement for her stream is eclipsing her kinematics homework, leading her to actively plan content instead of solving equations.",2023-02-13 11:15:00,Oak_Hill_College:library,writing,sketching out a 'Physics of Speedruns' stream segment,behavioral,sketching out a 'Physics of Speedruns' stream segment,"Maria scribbles stream ideas in her physics notebook at the library, drifting into planning a 'Physics of Speedruns' segment.",ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 11:30:00,Oak_Hill_College:library,writing,Maria Lopez is at Oak_Hill_College:library doing writing.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:30:00,Stream content and audience engagement,Academic-to-content conversion,Maria is prioritizing stream growth over physics; she must silence notifications to regain academic focus.,"Maria is neglecting her physics studies to plan stream segments, showing a deep immersion in her digital persona.",Five consecutive ticks of drift toward streaming indicate the current plan is failing to hold Maria's attention against digital rewards.,reset_plan,2023-02-13 11:30:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,Switching to low-effort note organization to ease back into physics after stream-related distractions.,2023-02-13 11:30:00,True,internal,visualizing stream overlays for physics concepts,continue,Maria catches herself staring at a kinematics diagram and pulls her focus back to the folder labels.,"Maria attempts to organize her notes, but her energetic mind keeps visualizing how to turn these diagrams into engaging stream overlays.",2023-02-13 11:30:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,internal,visualizing stream overlays for physics concepts,Maria organizes her physics notes in her home office while her mind drifts to visualizing stream overlays for physics concepts.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 11:45:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:45:00,Stream content and viewer engagement,Translating academic work into digital content,Maria is prioritizing stream content over physics; she must silence notifications to regain academic focus.,"Maria is physically in the library but mentally immersed in her streaming persona, consistently ignoring her physics studies for content planning.",Persistent behavioral and internal drift toward streaming for over an hour indicates a total loss of focus on the primary academic task.,reset_plan,2023-02-13 11:45:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,Maria attempts to reset her focus by switching to a lower-load task of organizing physics notes while remaining in the library.,2023-02-13 11:45:00,True,internal,visualizing the layout for her 'Physics of Speedruns' stream,continue,Maria might regain focus once her phone is physically out of sight.,"Maria is trying to reset, but her enthusiasm for the stream ideas makes it hard to fully disengage mentally.",2023-02-13 11:45:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,internal,visualizing the layout for her 'Physics of Speedruns' stream,Maria relaxes in the living room for a mental reset while mind drifts to visualizing the layout for her 'Physics of Speedruns' stream.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 12:00:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts",2023-02-13 12:00:00,Stream content creation and audience engagement,Gamifying academic tasks to justify stream planning,Maria is prioritizing her digital persona over academics; she must silence alerts to regain focus on physics.,"Maria is physically in the library but mentally consumed by her streaming career, failing to engage with physics.",Persistent drift into stream planning over the last hour indicates a total loss of academic focus.,reset_plan,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,Switching to a low-intensity task of organizing physics materials to reset focus and minimize digital distractions as per the reset_plan rule.,2023-02-13 12:00:00,True,internal,anticipating viewer reactions to her speedrun physics segment,continue,Maria might refocus once she successfully silences her phone and clears her workspace.,"Maria is attempting to organize her notes, but her mind keeps jumping back to the excitement of her stream's growth.",2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,internal,anticipating viewer reactions to her speedrun physics segment,Maria organizes her notes in the home office while her mind drifts to anticipating viewer reactions to her speedrun physics segment.,ORPDA
gemini-3-flash-preview:cloud,0.0,True,Maria Lopez,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts",2023-02-13 12:15:00,Physics of Speedruns stream planning,Content-creator brain: viewing all activities through the lens of stream potential.,Maria is mentally consumed by her stream; she must disconnect from digital alerts to actually rest during lunch.,Maria is physically at lunch but mentally tethered to her streaming metrics and content ideas.,"Persistent drift toward streaming content has compromised Maria's focus, making her lunch break a continuation of mental work.",reset_plan,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,"Maria focuses on her meal, attempting to disconnect from stream-related rumination to lower her cognitive load as per the reset_plan rule.",2023-02-13 12:15:00,True,attentional_leak,checking stream notifications and viewer engagement,glancing at her phone between bites,Maria could place her phone face down or inside her bag to fully commit to the detox.,"Maria attempts a digital detox, but the physical vibration of stream alerts triggers her habitual need to check engagement metrics.",2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,attentional_leak,checking stream notifications and viewer engagement,Maria eats lunch at the restaurant while her mind drifts to checking stream notifications and viewer engagement.,ORPDA
