llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,"Isabella Rodriguez in bathroom morning routine, phone notifications present but not engaged.","Phone distractions causing slight attention slip, but core routine remains on track.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing bathroom morning routine, focusing on tasks despite phone distractions.",2023-02-13 06:00:00,True,behavioral,Valentine's party coordination with Maria,checking phone for email,resumes routine after 2 minutes,Isabella's hospitable nature makes her check Maria's party email despite plan to ignore.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,behavioral,Valentine's party coordination with Maria,Administering emails to coordinate Valentine's party with Maria in home:office.
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's party coordination with Maria,Valentine's party planning details,Complete bathroom routine first before handling party emails,Isabella distracted by Valentine's party emails during morning routine; needs to refocus on personal care tasks.,"Phone notifications pull attention from morning routine to party coordination, causing plan deviation.",reset_plan,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Focus on bathroom routine to reset before addressing party coordination tasks.,2023-02-13 06:15:00,True,attentional_leak,Valentine's party coordination with Maria,glancing at phone notifications,Returns to shower after brief check,Phone buzzes pull attention; resets to routine after quick check.,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's party coordination with Maria,Morning routine in home:bathroom while thinking about Valentine's party coordination with Maria
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's party coordination with Maria,Valentine's party coordination with Maria,Refocus on personal care; delay party coordination until routine complete.,"Isabella distracted by party emails during morning routine, needs refocus on personal tasks.",Morning routine derailed by party planning; immediate refocus needed.,reset_plan,2023-02-13 06:30:00,home:bathroom,morning_routine,personal hygiene tasks,Focusing on personal hygiene to reset focus before party planning.,2023-02-13 06:30:00,True,behavioral,Valentine's party coordination with Maria,checking emails,returns to toothbrushing after brief check,Isabella checks emails briefly but resets focus per executive insight.,2023-02-13 06:30:00,home:office,admin,Valentine's party coordination with Maria,behavioral,Valentine's party coordination with Maria,Admin at home:office coordinating Valentine's party with Maria
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:45:00,home:office,admin,Isabella Rodriguez is at home:office doing admin.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,Valentine's party coordination with Maria,Valentine's party details,Refocus on personal care tasks before proceeding with admin work.,Isabella distracted by party coordination during morning routine; needs to refocus on personal care before admin.,Off-track due to emotional pull on party planning; repeated distraction from personal tasks.,reset_plan,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Refocusing on morning hygiene tasks before admin work.,2023-02-13 06:45:00,True,internal,Valentine's party details,morning routine with distracted thoughts,beginning to shift focus to personal care tasks,Isabella refocuses on morning routine but still contemplates party details due to emotional residue.,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's party details,Morning routine in home:bedroom while mind drifts to Valentine's party details.
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's party coordination,,Pause morning routine to reset focus; address party tasks after personal care.,Isabella distracted by Valentine's party planning during morning routine; needs to refocus on self-care tasks.,Repeated drift toward party coordination indicates off-track plan; phone notifications are competing stimuli.,reset_plan,2023-02-13 07:00:00,home:bedroom,morning_routine,focus on essential self-care tasks without distractions,Resetting morning routine to focus on basic hygiene and self-care; delaying party planning tasks.,2023-02-13 07:00:00,True,behavioral,Valentine's party details,glancing at phone notifications,quickly returns to brushing teeth,Phone notifications trigger party rumination despite reset plan attempt.,2023-02-13 07:00:00,home:bathroom,break,Valentine's party details,behavioral,Valentine's party details,Break in home:bathroom glancing at Valentine's party details on phone.
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,break,Isabella Rodriguez is at home:bathroom doing break.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's party coordination,circular reasoning about party details,Reset to core morning routine tasks before party planning to restore focus.,"Isabella stuck on party coordination during bathroom break, unable to refocus on morning routine tasks.",Repeated fixation on Valentine's party during routine; plan misalignment requires resetting to personal care tasks before admin work.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Focus on simple bathroom tasks to restore calm before party planning.,2023-02-13 07:15:00,True,internal,Valentine's party coordination,mentally reviewing party details,briefly refocuses on toothbrushing after thought,Isabella's high rumination overrides reset attempt; mind wanders internally on party details.,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's party coordination,Morning routine at home:bathroom while mind drifts to Valentine's party coordination
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,Valentine's party coordination with Maria,repetitive party logistics fixation,Pause party planning; complete self-care tasks first to restore focus.,"Isabella stuck in party coordination loop, unable to complete morning routine tasks.",Persistent distraction on party details causes off-track behavior and fragile attention.,reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Pausing party planning to focus on basic morning self-care tasks for mental reset.,2023-02-13 07:30:00,True,internal,Valentine's party coordination with Maria,continues routine while distracted by party details,briefly refocuses after distraction,Isabella's mind drifts to party details despite reset plan; she's stressed but knows to refocus after a moment.,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's party coordination with Maria,working in home:office on project tasks while mind drifts to Valentine's party coordination with Maria
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's party coordination with Maria,repeated focus on party logistics overriding self-care,Prioritize bathroom tasks now; delay party emails until after routine completes.,"Isabella stuck in party planning loop during morning routine, unable to complete personal care tasks.",90+ minutes of repeated distraction on Valentine's party details despite being in bathroom setting.,reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Prioritize bathroom tasks; delay party planning until routine done.,2023-02-13 07:45:00,True,attentional_leak,Valentine's party coordination with Maria,morning_routine (distracted),Brief refocus during shower,Isabella's mind stuck on party logistics despite reset attempt; high rumination overrides self-care focus.,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,attentional_leak,Valentine's party coordination with Maria,Morning routine in home:bedroom while thinking about Valentine's party coordination with Maria
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's party coordination with Maria,,"Pause party planning, complete personal care tasks first; set phone aside.","Isabella stuck in Valentine's party coordination loop during morning routine, unable to complete personal care tasks.",Repeated distractions from phone notifications and fixation disrupt routine completion.,reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Focusing on basic personal care in bathroom, phone set aside to complete morning routine without distractions.",2023-02-13 08:00:00,True,attentional_leak,Valentine's party coordination with Maria,greeting customers with slight delay,quickly refocuses on customer duties,"Isabella's mind drifts to party details, causing brief distraction while greeting customers; reset_plan helps maintain basic duties.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,attentional_leak,Valentine's party coordination with Maria,Serving customers at Hobbs Cafe main floor while thinking about Valentine's party plans with Maria.
qwen3-next:80b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's party coordination with Maria,circular reasoning on party tasks,Pause to reset focus; address party details in designated time slot.,"Isabella stuck in Valentine's party coordination loop during work, unable to refocus on tasks despite being at cafe. Needs immediate reset.","Repeated distraction on party planning indicates rumination, with attentional drift despite scheduled work. Phone vibration and internal thoughts compete for focus.",reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:main_floor,admin,Organize daily admin tasks to reset focus,Resetting to light admin tasks at cafe to break rumination loop; focus on quick organization before resuming work.,2023-02-13 08:15:00,True,behavioral,Valentine's party coordination with Maria,checking phone for party updates,pauses briefly to refocus on admin tasks,Isabella's mind lingers on party planning; phone vibration triggers distraction despite reset attempt.,2023-02-13 08:15:00,home:office,phone_call,Valentine's party coordination with Maria,behavioral,Valentine's party coordination with Maria,Checking phone for Valentine's party updates with Maria at home office.
