llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,Isabella follows her morning routine without drift; minor external distraction noted.,Action matches plan; competing stimuli present but not disruptive.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and prepare for breakfast.",2023-02-13 06:00:00,True,internal,Valentine's Day party planning,glances at phone emails while brushing teeth,Isabella catches herself mid-thought and refocuses on her routine after 30 seconds.,Isabella’s mind wanders to party details while distracted by new emails—her hospitable nature pulls her toward event prep.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,internal,Valentine's Day party planning,Isabella completes her morning routine in the bathroom while her mind drifts to Valentine's Day party planning.
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,Valentine's Day party planning,task-switching between routine and future event planning,Isabella’s focus splits between routine and party planning—anchor to present task.,Isabella completes routine but mind drifts to party planning; attention slips.,"Routine is primary task, but party planning intrudes; mild rumination detected.",switch_topic,2023-02-13 06:15:00,home:office,admin,Valentine's Day party logistics (light admin),Review party supplies list while completing routine admin tasks.,2023-02-13 06:15:00,True,behavioral,Valentine's Day party planning,pauses skincare routine to check phone for party supply emails,"Isabella could refocus on routine after checking emails, but may linger on party details",Isabella’s mind keeps circling back to party logistics—she can’t resist a quick email check.,2023-02-13 06:15:00,home:bathroom,pauses skincare routine to check phone for party supply emails,Valentine's Day party planning,behavioral,Valentine's Day party planning,"In the bathroom, Isabella pauses her skincare routine to check emails about Valentine's Day party supplies."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,pauses skincare routine to check phone for party supply emails,Isabella Rodriguez is at home:bathroom doing pauses skincare routine to check phone for party supply emails.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,Valentine's Day party planning,task-switching between routine and party logistics,Isabella’s focus splits between routine and party tasks—anchor to one priority.,"Isabella drifts from skincare to party emails, attention divided but not fatigued.","Behavioral drift noted; party planning competes with routine, but energy remains stable.",switch_topic,2023-02-13 06:30:00,home:bathroom,morning_routine,finalize Valentine's Day party guest list and venue details,Shift focus to party logistics while completing skincare routine.,2023-02-13 06:30:00,True,behavioral,Valentine's Day party guest list and venue details,"scrolls through phone contacts while applying moisturizer, mentally noting who to invite",Isabella could refocus on skincare by setting a 2-minute timer for completion,Isabella’s mind keeps circling back to the party—she’s excited and wants everything perfect.,2023-02-13 06:30:00,home:bathroom,"scrolls through phone contacts while applying moisturizer, mentally noting who to invite",Valentine's Day party guest list and venue details,behavioral,Valentine's Day party guest list and venue details,"In the bathroom, Isabella scrolls through phone contacts while applying moisturizer, mentally drafting the Valentine’s Day party guest list."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,"scrolls through phone contacts while applying moisturizer, mentally noting who to invite","Isabella Rodriguez is at home:bathroom doing scrolls through phone contacts while applying moisturizer, mentally noting who to invite.","steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,"Valentine's Day party planning (guest list, venue, emails)",task-switching between routine and party logistics,Isabella’s focus is split; anchor to one task to avoid scattered progress.,"Isabella drifts between skincare and party planning, attention divided but engaged.","Behavioral drift persists; party planning competes with routine, but fatigue is absent.",switch_topic,2023-02-13 06:45:00,home:bathroom,morning_routine,Finalize Valentine's Day guest list while completing skincare,Merge routine with party planning to anchor focus on guest list details.,2023-02-13 06:45:00,True,behavioral,Valentine's Day party guest list and venue logistics,pauses moisturizer application to type notes on phone about guest preferences and venue layout,Isabella could set a 2-minute timer to refocus on skincare before transitioning to the cafe.,Isabella’s mind keeps circling back to party details; the routine feels like a distraction now.,2023-02-13 06:45:00,home:bathroom,pauses moisturizer application to type notes on phone about guest preferences and venue layout,Valentine's Day party guest list and venue logistics,behavioral,Valentine's Day party guest list and venue logistics,"In the bathroom, Isabella pauses skincare to jot down party guest preferences and venue logistics on her phone."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,pauses moisturizer application to type notes on phone about guest preferences and venue layout,Isabella Rodriguez is at home:bathroom doing pauses moisturizer application to type notes on phone about guest preferences and venue layout.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,Valentine's Day party planning logistics,task-switching between routine and planning,Isabella’s focus splits between routine and party prep—prioritize one task to avoid dilution.,"Isabella oscillates between skincare and party planning, attention divided but engaged.",Partial alignment due to behavioral drift; no fatigue but attention is split across tasks.,switch_topic,2023-02-13 07:00:00,home:bathroom,morning_routine,finalize Valentine's Day party venue logistics during skincare,Complete skincare while mentally prioritizing party prep tasks to reduce task-switching.,2023-02-13 07:00:00,True,behavioral,Valentine's Day party venue decorations and seating,"opens Pinterest on phone to browse decoration ideas, momentarily forgetting to finish moisturizer application","Isabella may quickly refocus after saving a few decoration ideas, but the skincare routine will likely take longer to complete","Isabella’s mind wanders to party aesthetics—her hospitable nature craves a warm, inviting atmosphere.",2023-02-13 07:00:00,home:bathroom,"opens Pinterest on phone to browse decoration ideas, momentarily forgetting to finish moisturizer application",Valentine's Day party venue decorations and seating,behavioral,Valentine's Day party venue decorations and seating,"In the bathroom, Isabella opens Pinterest to browse Valentine's Day party decorations, pausing her skincare routine mid-moisturizer."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,"opens Pinterest on phone to browse decoration ideas, momentarily forgetting to finish moisturizer application","Isabella Rodriguez is at home:bathroom doing opens Pinterest on phone to browse decoration ideas, momentarily forgetting to finish moisturizer application.","steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,Valentine's Day party planning,task-switching between routine and party planning,Isabella’s focus is split; anchor to one task to avoid drift.,"Isabella drifts from skincare to party planning, attention fragmented.",Repeated behavioral drift signals fixation on party planning over routine.,reset_plan,2023-02-13 07:15:00,home:bathroom,morning_routine,complete skincare routine,Finish skincare steps to anchor focus before shifting to party planning.,2023-02-13 07:15:00,True,behavioral,Valentine's Day party venue decorations and seating,"continues scrolling Pinterest, skincare routine paused with moisturizer cap off",Isabella might notice the moisturizer drying out and snap back to finish her routine before leaving for the cafe.,Isabella’s excitement about the party overrides her routine; the Pinterest feed is too engaging.,2023-02-13 07:15:00,home:bathroom,"continues scrolling Pinterest, skincare routine paused with moisturizer cap off",Valentine's Day party venue decorations and seating,behavioral,Valentine's Day party venue decorations and seating,"In the bathroom, Isabella scrolls Pinterest for party decorations, leaving her moisturizer uncapped while absorbed in seating ideas."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,"continues scrolling Pinterest, skincare routine paused with moisturizer cap off","Isabella Rodriguez is at home:bathroom doing continues scrolling Pinterest, skincare routine paused with moisturizer cap off.","steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,"Valentine's Day party planning (decorations, guest list, logistics)",fixation on party details overshadowing routine self-care,Isabella’s skincare is abandoned; redirect to complete routine before deeper drift.,"Isabella fixates on party planning, neglecting skincare; attention fragmented.",Repeated behavioral drift from skincare to party tasks signals fixation and task neglect.,reset_plan,2023-02-13 07:30:00,home:bathroom,morning_routine,complete skincare routine,Redirect focus to finish skincare before resuming party planning.,2023-02-13 07:30:00,True,behavioral,Valentine's Day party venue decorations and seating,"scrolls Pinterest, moisturizer cap remains off, skincare routine incomplete",Isabella might notice the uncapped moisturizer and briefly refocus on skincare before leaving for the cafe.,Isabella is absorbed in party details; her hospitable nature makes her prioritize guest experience over routine.,2023-02-13 07:30:00,home:bathroom,"scrolls Pinterest, moisturizer cap remains off, skincare routine incomplete",Valentine's Day party venue decorations and seating,behavioral,Valentine's Day party venue decorations and seating,"In the bathroom, Isabella scrolls Pinterest for Valentine's Day party decorations, leaving her moisturizer uncapped and skincare routine unfinished."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,"scrolls Pinterest, moisturizer cap remains off, skincare routine incomplete","Isabella Rodriguez is at home:bathroom doing scrolls Pinterest, moisturizer cap remains off, skincare routine incomplete.","steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Valentine's Day party planning,fixation on party logistics overshadowing routine tasks,Isabella’s skincare is neglected; redirect to complete routine before planning.,"Isabella fixates on party planning, abandoning skincare mid-routine.",Repeated drift from skincare to party tasks signals fixation; attention is fragmented.,reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,complete skincare routine,Finish neglected skincare steps before shifting focus.,2023-02-13 07:45:00,True,behavioral,Valentine's Day party venue decorations and seating,"continues scrolling Pinterest, skincare routine still incomplete","Isabella might notice the neglected moisturizer when the steam clears or her phone battery dips, prompting a quick finish.",Isabella’s fixation on party details overrides her routine; the moisturizer cap is still off.,2023-02-13 07:45:00,home:bathroom,"continues scrolling Pinterest, skincare routine still incomplete",Valentine's Day party venue decorations and seating,behavioral,Valentine's Day party venue decorations and seating,"In the bathroom, Isabella scrolls Pinterest for party decorations while her skincare routine remains unfinished, moisturizer cap left off."
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,"continues scrolling Pinterest, skincare routine still incomplete","Isabella Rodriguez is at home:bathroom doing continues scrolling Pinterest, skincare routine still incomplete.","hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,Valentine's Day party planning (decorations/seating),fixation on party logistics overshadowing self-care routine,Isabella’s skincare neglect signals priority misalignment; reset to core task.,"Isabella fixates on party planning, abandoning skincare mid-routine repeatedly.",Repeated behavioral drift + uncapped moisturizer = task abandonment; emotional pull of party planning dominates.,reset_plan,2023-02-13 08:00:00,home:bathroom,morning_routine,complete skincare routine,Finish moisturizer step; pause party planning to realign priorities.,2023-02-13 08:00:00,True,behavioral,Valentine's Day party venue decorations and seating,glances at phone for Pinterest ideas while applying moisturizer half-heartedly,Isabella might notice the moisturizer cap left off and force herself to finish the routine before leaving for the cafe.,"Isabella’s fixation on party planning lingers, but the meta_rule nudges her to at least attempt skincare.",2023-02-13 08:00:00,home:bathroom,morning_routine,Valentine's Day party venue decorations and seating,behavioral,Valentine's Day party venue decorations and seating,Isabella applies moisturizer half-heartedly in the bathroom while glancing at her phone for Pinterest ideas about party decorations.
mistral-large-3:675b-cloud,0.2,Isabella Rodriguez,2023-02-13 08:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,Valentine's Day party venue decorations and seating,fixation on party planning at the expense of routine completion,Isabella’s fixation on party planning is derailing her morning routine; reset focus to skincare first.,"Isabella fixates on party planning, neglecting skincare; attention fragmented and off-task.",Repeated behavioral drift and incomplete routine signal plan misalignment; requires immediate refocus.,reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Reset focus to skincare; defer party planning until routine is finished.,2023-02-13 08:15:00,True,attentional_leak,Valentine's Day party venue decorations and seating,glances at phone for Pinterest ideas mid-skincare,"Isabella could pause, cap the moisturizer, and finish skincare before returning to party thoughts.","Isabella’s fixation on the party pulls her attention, but the meta_rule nudges her to reset—so she hesitates between tasks.",2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,attentional_leak,Valentine's Day party venue decorations and seating,Isabella applies moisturizer in the bathroom while her mind drifts to Valentine's Day party venue decorations and seating.
