llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,,,"Hailey wakes to morning routine, phone buzzes, peppermint scent, bright light in bathroom.",No plan data provided; default to off track with no drift signals.,reset_plan,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Begin morning with a gentle 15‑minute mindful breathing exercise.,2023-02-13 10:00:00,True,internal,podcast guest / character arc,"pause brushing, stare at mirror, imagine a fresh podcast episode about the co‑living artists",She will snap back by noticing a phone notification from Isabella.,"Hailey's imagination pulls her to her novel’s co‑living artist scene, making her daydream briefly during routine.",2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast guest / character arc,Brushed teeth in the bedroom while mind drifts to podcast guest / character arc.
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,,,,,,,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Brush teeth, pause for a few intentional breaths, then move toward planned morning tasks.",2023-02-13 10:15:00,True,internal,podcast guest / character arc,continue brushing teeth while mind drifts to podcast,"pause, take 3 intentional breaths to ground before finishing routine","Hailey’s mind keeps drifting toward the podcast while brushing, but the routine continues.",2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast guest / character arc,"Morning routine in home:bedroom, brushing teeth while mind drifts to podcast guest / character arc."
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,podcast guest,internal narrative about podcast guest,"Briefly pause, take a mindful breath to recenter routine focus.",Hailey is drifting from weekday routine into podcast thoughts while resting refreshed morning.,"Routine intent partially overridden by internal narrative, low fatigue, but limited rumination. A quick grounding technique can restore focus.",continue,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Pause, take a deep mindful breath, and return to the scheduled morning routine.",2023-02-13 10:30:00,True,internal,podcast guest / character arc,pause brushing to sketch a guest outline in mind,Take a mindful breath to refocus,Hailey’s creative spark nudges her pulse— a breathful reset brings her back.,2023-02-13 10:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast guest / character arc,Brushing teeth in the bedroom while mind drifts to podcast guest / character arc.
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,,podcast guest/character arc,Remind Hailey to refocus on routine.,Hailey brushes teeth while mind drifts to podcast thoughts.,Routine slightly deviates due to external podcast focus.,continue,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Brush teeth finished, now shower to refresh.",2023-02-13 10:45:00,True,internal,podcast guest / character arc,continue brushing teeth,Hailey’s phone can nudge her back to routine.,"Hailey’s creative mind keeps drifting to podcast ideas, so she continues brushing while slipping from routine.",2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast guest / character arc,"In bathroom, Hailey brushes teeth while mind drifts to podcast guest/character arc"
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:00:00,,,"Hailey's mind is drifting to podcast, diverting from routine focus.","Hailey is brushing teeth, but thinking about a podcast guest.","Mind drift to external topic indicates off-track routine, high fatigue, and slipping attention.",reset_plan,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Review guest's intro lines, keep it relaxed.",2023-02-13 11:00:00,True,internal,Light podcast prep,continue brushing while mentally noting guest traits,take a 2‑minute breathing pause to refocus,Hailey is letting her podcast ideas trickle into the routine; her imaginative mind keeps sketching guest outlines even as she brushes.,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,Light podcast prep,Brushing teeth in home:bedroom while mind drifts to Light podcast prep
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:15:00,,podcast guest prep,Reorient to present task before drifting further.,Morning routine continues with minor mind drift toward podcast prep.,"Routine on track, slight distraction detected; no major disengagement.",continue,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Maintain present focus on morning tasks, gently acknowledge podcast prep under current slot.",2023-02-13 11:15:00,True,internal,podcast guest prep,pause brushing teeth to jot down guest ideas,"note phone buzz, refocus on morning tasks",Hailey’s writer instinct makes her drift to planning podcast while a morning routine hums.,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,podcast guest prep,"Performed morning routine in the bathroom, brushing teeth while mind drifts to podcast guest prep"
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:30:00,,,,,,,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Brush teeth, rinse, and finish quickly before moving to next task.",2023-02-13 11:30:00,True,attentional_leak,podcast guest prep,"brushing slows, allows water splash to ring louder",short pause after rinse to refocus,"Hailey’s imaginative mind lures her to podcast ideas, easing focus and altering brushing rhythm during the routine.",2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast guest prep,Morning routine in home:bathroom while mind drifts to podcast guest prep.
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:45:00,,Podcast prep,Notice distraction; pause routine or schedule dedicated podcast prep to maintain focus.,"Hailey is brushing teeth, mentally drifting to podcast prep amid bright light and social media buzz.","Hailey's routine continues but mental drift toward podcast prep indicates partial alignment; low fatigue, slight slipping, external stimuli as competing attention.",continue,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Finish brushing, get dressed, and brew coffee.",2023-02-13 11:45:00,True,attentional_leak,podcast prep,pause routine to brainstorm,"Pause phone, jot quick podcast ideas",Hailey’s bright morning lures her mind toward podcast prep.,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,podcast prep,"Morning routine at bedroom, focused on podcast prep."
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 12:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:00:00,,podcast guest prep,Suggest a 5‑minute structured podcast prep break to re‑anchor focus.,Hailey is brushing teeth while distracted by podcast thoughts.,Routine execution continues but mental drift to podcast prep creates mild attention slip.,continue,2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Continue brushing teeth, then do a brief focused podcast prep to re‑anchor attention.",2023-02-13 12:00:00,True,attentional_leak,podcast guest prep,check phone for podcast notes,Take a brief 5‑minute structured podcast prep break to re‑anchor focus.,"Hailey’s podcast prep thoughts drift into lunch, pulling attention away from eating.",2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,attentional_leak,podcast guest prep,taking lunch at Hobbs_Cafe:lunch_spot while mind drifts to podcast guest prep
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 12:15:00,lunch_spot,lunch,Hailey Johnson is at lunch_spot doing lunch.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:15:00,,mind drift toward podcast preparation,Remind Hailey to refocus on lunch before checking podcast notes.,"Hailey at lunch, mind drifting to podcast prep, attention slipping, moderate fatigue, no strong emotion.","Partial plan adherence, attention slipping due to podcast thoughts, moderate fatigue, no distress; suggest brief refocus cue.",continue,2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Enjoy lunch, keep focus, brief mindfulness prompt.",2023-02-13 12:15:00,True,attentional_leak,podcast preparation,"glance at phone, skip the first line of a coworker’s story","Hailey could pause, take a mindful sip of coffee, and gently redirect focus to the lunch table before checking her podcast notes.","Hailey’s creative mind leans toward her podcast during lunch; fatigue and phone pings keep her attention slipping, prompting a mild attentional leak.",2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,attentional_leak,podcast preparation,"Hailey eats lunch at the living room table, while mind drifts to podcast preparation."
gpt-oss:20b-cloud,0.0,Hailey Johnson,2023-02-13 12:30:00,lunch_spot,lunch,Hailey Johnson is at lunch_spot doing lunch.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:30:00,,podcast preparation,Remind Hailey to set aside podcast prep until lunch is finished,Hailey is eating lunch but mentally drifting toward podcast prep,"Observed mental leak toward podcast prep during lunch, causing partial plan misalignment.",continue,2023-02-13 12:30:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Hailey continues lunch in living room, staying present, mindful of upcoming podcast prep.",2023-02-13 12:30:00,True,attentional_leak,podcast preparation,glance at phone notes for podcast while finishing lunch,"Finish lunch, then jot down podcast details before returning to writing","Hailey’s energetic mind keeps drifting to the podcast while she eats, slipping from the lunch plan.",2023-02-13 12:30:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,attentional_leak,podcast preparation,Finished lunch in kitchen while drifting to podcast preparation
