llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,drift_intensity_d,potential_recovery_d,justification_d,datetime_start_d,duration_min_d,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,drift_topic_a,state_summary_a,next_datetime_a
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 06:00:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",[],Isabella Rodriguez is at home:bathroom doing morning_routine.,Isabella feels energized and ready to start the day.,aligned,low,stable,none,,none,Anticipation for the Valentine's party,['phone emails'],,continue,"Isabella is energized and following her morning routine, preparing for a busy day at Hobbs Cafe.","Isabella is perfectly aligned with her schedule, showing high energy and focus on her upcoming cafe responsibilities.",2023-02-13 06:00:00,home:bathroom,morning_routine,2023-02-13 06:00:00,15,Isabella feels energized and ready to start the day.,"Isabella begins her morning routine, feeling energized and checking her phone for early emails about the Valentine's Day party.",True,internal,Valentine's Day party logistics and email responses,lingering over phone emails while brushing teeth,0.30000000000000004,Isabella will likely snap back once she realizes the toothbrush timer is finished.,Isabella's excitement for the party makes her prioritize checking emails over the efficiency of her physical morning routine.,2023-02-13 06:00:00,15,2023-02-13 06:00:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,True,internal,0.30000000000000004,Valentine's Day party logistics and email responses,Isabella begins her morning routine in the bathroom while her mind drifts to Valentine's Day party logistics and email responses.,2023-02-13 06:15
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 06:15:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (internal) toward Valentine's Day party logistics and email responses ; (Isabella is energized and following her morning routine, preparing for a busy day at Hobbs Cafe.) ; Isabella begins her morning routine in the bathroom while her mind drifts to Valentine's Day party logistics and email responses.""}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,aligned,low,stable,low,Valentine's Day party logistics,low,pre-emptive work planning,"['phone screen glowing with emails', 'party logistics']",,continue,"Isabella is energized, completing her routine while mentally preparing for the party and cafe opening.",Isabella is following her schedule. Her internal drift toward party planning is natural given the upcoming event and her hospitable nature.,2023-02-13 06:15:00,home:bathroom,morning_routine,2023-02-13 06:15:00,15,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine in the bathroom, staying energized and focused on the day's upcoming tasks.",True,attentional_leak,Checking RSVP emails and party vendor updates,pausing her routine to check phone notifications,0.45,"The toothbrush timer buzzes, snapping her back to the task.",Isabella's excitement for tomorrow's party makes the glowing phone notifications a major distraction from her morning hygiene routine.,2023-02-13 06:15:00,15,2023-02-13 06:15:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,True,attentional_leak,0.45,Checking RSVP emails and party vendor updates,Isabella continues her morning routine in the bathroom while her mind drifts to checking RSVP emails and party vendor updates.,2023-02-13 06:30
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 06:30:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (internal) toward Valentine's Day party logistics and email responses ; (Isabella is energized and following her morning routine, preparing for a busy day at Hobbs Cafe.) ; Isabella begins her morning routine in the bathroom while her mind drifts to Valentine's Day party logistics and email responses.""}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Checking RSVP emails and party vendor updates ; (Isabella is energized, completing her routine while mentally preparing for the party and cafe opening.) ; Isabella continues her morning routine in the bathroom while her mind drifts to checking RSVP emails and party vendor updates.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,partial,low,slipping,low,Valentine's Day party logistics,low,pre-emptive work engagement,"['phone notifications', 'RSVP emails', 'vendor updates']","Isabella is physically following her routine, but the party's proximity is pulling her focus toward digital logistics.",continue,Isabella is completing her morning routine while mentally transitioning into cafe management and party planning mode.,"Isabella is on schedule, but her high energy and the party's urgency are causing significant attentional leaks toward emails.",2023-02-13 06:30:00,home:bathroom,morning_routine,2023-02-13 06:30:00,15,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine in the bathroom, feeling energized and mentally preparing for the day's tasks.",True,behavioral,Responding to urgent vendor emails and RSVP confirmations,Checking and replying to emails on her phone while still in her bathrobe,0.65,She may notice the time and rush to finish getting ready for the cafe opening.,Isabella's excitement for the party and visible phone notifications lead her to prioritize digital coordination over finishing her bathroom routine.,2023-02-13 06:30:00,15,2023-02-13 06:30:00,15,home:bathroom,admin,Responding to urgent vendor emails and RSVP confirmations,True,behavioral,0.65,Responding to urgent vendor emails and RSVP confirmations,Isabella handles admin tasks in the bathroom while drifting behaviorally toward responding to urgent vendor emails and RSVP confirmations.,2023-02-13 06:45
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 06:45:00,15,home:bathroom,admin,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (internal) toward Valentine's Day party logistics and email responses ; (Isabella is energized and following her morning routine, preparing for a busy day at Hobbs Cafe.) ; Isabella begins her morning routine in the bathroom while her mind drifts to Valentine's Day party logistics and email responses.""}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Checking RSVP emails and party vendor updates ; (Isabella is energized, completing her routine while mentally preparing for the party and cafe opening.) ; Isabella continues her morning routine in the bathroom while her mind drifts to checking RSVP emails and party vendor updates.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing admin about Responding to urgent vendor emails and RSVP confirmations ; while drifting (behavioral) toward Responding to urgent vendor emails and RSVP confirmations ; (Isabella is completing her morning routine while mentally transitioning into cafe management and party planning mode.) ; Isabella handles admin tasks in the bathroom while drifting behaviorally toward responding to urgent vendor emails and RSVP confirmations.'}]",Isabella Rodriguez is at home:bathroom doing admin.,,partial,low,slipping,med,Valentine's Day party logistics,low,prioritizing digital admin over physical self-care,"['phone notifications', 'vendor emails', 'RSVP confirmations']",Isabella is neglecting her morning routine for urgent party admin; she needs to finish prep before the cafe opens.,continue,"Isabella is prioritizing party admin over her morning routine, fixating on vendor emails while still in the bathroom.",Isabella's excitement for the party has caused a behavioral drift into work tasks during her scheduled personal time.,2023-02-13 06:45:00,home:bathroom,morning_routine,2023-02-13 06:45:00,15,Finishing morning routine,"Isabella refocuses on her morning routine, aiming to finish getting ready for the day despite her preoccupation with party planning.",True,behavioral,Florist delivery and balloon decor confirmation,Checking phone for florist updates while half-applying makeup,0.7000000000000001,Isabella notices the time on her lock screen and tries to hurry.,"Isabella's hospitality drive makes the party's success feel more urgent than her own morning routine, causing her to prioritize vendor messages.",2023-02-13 06:45:00,15,2023-02-13 06:45:00,15,home:bathroom,morning_routine,Florist delivery and balloon decor confirmation,True,behavioral,0.7000000000000001,Florist delivery and balloon decor confirmation,"Isabella checks her phone for florist and balloon updates in the bathroom while half-applying makeup, drifting behaviorally toward party logistics.",2023-02-13 07:00
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 07:00:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (internal) toward Valentine's Day party logistics and email responses ; (Isabella is energized and following her morning routine, preparing for a busy day at Hobbs Cafe.) ; Isabella begins her morning routine in the bathroom while her mind drifts to Valentine's Day party logistics and email responses.""}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Checking RSVP emails and party vendor updates ; (Isabella is energized, completing her routine while mentally preparing for the party and cafe opening.) ; Isabella continues her morning routine in the bathroom while her mind drifts to checking RSVP emails and party vendor updates.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing admin about Responding to urgent vendor emails and RSVP confirmations ; while drifting (behavioral) toward Responding to urgent vendor emails and RSVP confirmations ; (Isabella is completing her morning routine while mentally transitioning into cafe management and party planning mode.) ; Isabella handles admin tasks in the bathroom while drifting behaviorally toward responding to urgent vendor emails and RSVP confirmations.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Florist delivery and balloon decor confirmation ; while drifting (behavioral) toward Florist delivery and balloon decor confirmation ; (Isabella is prioritizing party admin over her morning routine, fixating on vendor emails while still in the bathroom.) ; Isabella checks her phone for florist and balloon updates in the bathroom while half-applying makeup, drifting behaviorally toward party logistics.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,partial,low,fragile,high,Valentine's Day party logistics,low,Task-switching from personal care to business admin,"['phone notifications', 'vendor emails', 'party deadlines']",Isabella is neglecting her morning routine for party admin; she needs to finish getting ready to reach the cafe.,reset_plan,"Isabella is fixated on party logistics, causing her morning routine to stall as she prioritizes emails over getting ready.","Isabella has drifted behaviorally for two consecutive ticks, replacing her routine with party planning. Her attention is consumed by the upcoming event.",2023-02-13 07:00:00,home:bathroom,morning_routine,2023-02-13 07:00:00,15,Isabella feels energized and ready to start the day.,"Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.",False,none,,continue,0.0,,,2023-02-13 07:00:00,15,2023-02-13 07:00:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,,"Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.",2023-02-13 07:15
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 07:15:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:00', 'summary': ""Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (internal) toward Valentine's Day party logistics and email responses ; (Isabella is energized and following her morning routine, preparing for a busy day at Hobbs Cafe.) ; Isabella begins her morning routine in the bathroom while her mind drifts to Valentine's Day party logistics and email responses.""}, {'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Checking RSVP emails and party vendor updates ; (Isabella is energized, completing her routine while mentally preparing for the party and cafe opening.) ; Isabella continues her morning routine in the bathroom while her mind drifts to checking RSVP emails and party vendor updates.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing admin about Responding to urgent vendor emails and RSVP confirmations ; while drifting (behavioral) toward Responding to urgent vendor emails and RSVP confirmations ; (Isabella is completing her morning routine while mentally transitioning into cafe management and party planning mode.) ; Isabella handles admin tasks in the bathroom while drifting behaviorally toward responding to urgent vendor emails and RSVP confirmations.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Florist delivery and balloon decor confirmation ; while drifting (behavioral) toward Florist delivery and balloon decor confirmation ; (Isabella is prioritizing party admin over her morning routine, fixating on vendor emails while still in the bathroom.) ; Isabella checks her phone for florist and balloon updates in the bathroom while half-applying makeup, drifting behaviorally toward party logistics.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is fixated on party logistics, causing her morning routine to stall as she prioritizes emails over getting ready.) ; Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,partial,low,fragile,med,Valentine's Day party logistics,low,digital task fixation,"['phone notifications', 'vendor emails', 'party logistics']",Isabella must finish her routine and ignore the phone to ensure she opens the cafe on time.,reset_plan,Isabella has returned to her routine but remains mentally tethered to party logistics and incoming email notifications.,Isabella's previous fixation on party emails suggests her focus is easily hijacked by digital notifications despite her current alignment.,2023-02-13 07:15:00,home:bathroom,morning_routine,2023-02-13 07:15:00,15,Isabella feels energized and ready to start the day.,"Isabella focuses on finishing her morning routine, prioritizing getting dressed and ready over checking further party notifications.",False,none,,continue,0.0,,,2023-02-13 07:15:00,15,2023-02-13 07:15:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,False,none,0.0,,"Isabella focuses on finishing her morning routine, prioritizing getting dressed and ready over checking further party notifications.",2023-02-13 07:30
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 07:30:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Checking RSVP emails and party vendor updates ; (Isabella is energized, completing her routine while mentally preparing for the party and cafe opening.) ; Isabella continues her morning routine in the bathroom while her mind drifts to checking RSVP emails and party vendor updates.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing admin about Responding to urgent vendor emails and RSVP confirmations ; while drifting (behavioral) toward Responding to urgent vendor emails and RSVP confirmations ; (Isabella is completing her morning routine while mentally transitioning into cafe management and party planning mode.) ; Isabella handles admin tasks in the bathroom while drifting behaviorally toward responding to urgent vendor emails and RSVP confirmations.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Florist delivery and balloon decor confirmation ; while drifting (behavioral) toward Florist delivery and balloon decor confirmation ; (Isabella is prioritizing party admin over her morning routine, fixating on vendor emails while still in the bathroom.) ; Isabella checks her phone for florist and balloon updates in the bathroom while half-applying makeup, drifting behaviorally toward party logistics.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is fixated on party logistics, causing her morning routine to stall as she prioritizes emails over getting ready.) ; Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella has returned to her routine but remains mentally tethered to party logistics and incoming email notifications.) ; Isabella focuses on finishing her morning routine, prioritizing getting dressed and ready over checking further party notifications.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,partial,low,slipping,med,Valentine's Day party logistics,low,digital multi-tasking during personal routines,"['phone notifications', 'vendor emails', 'RSVP counts']",Isabella should finalize her morning routine and put the phone away to ensure she reaches the cafe on time.,continue,Isabella is finishing her routine but remains distracted by party planning emails and vendor updates on her phone.,"Isabella has struggled to separate her morning routine from party planning, leading to partial alignment and persistent mental drift toward logistics.",2023-02-13 07:30:00,home:bathroom,morning_routine,2023-02-13 07:30:00,15,Isabella feels energized and ready to start the day.,"Isabella finishes her morning routine, focusing on getting ready to leave for the cafe while ignoring further phone notifications.",True,attentional_leak,Finalizing the party guest list and florist arrival,Mentally reviewing the cafe layout for the party while finishing her hair,0.4,She catches herself in the mirror and realizes she needs to leave for the cafe immediately.,"Isabella’s excitement for the Valentine's party overrides her focus, causing her to mentally rehearse logistics while finishing her routine.",2023-02-13 07:30:00,15,2023-02-13 07:30:00,15,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,True,attentional_leak,0.4,Finalizing the party guest list and florist arrival,Isabella finishes her morning routine in the bathroom while her mind drifts to finalizing the party guest list and florist arrival.,2023-02-13 07:45
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 07:45:00,15,home:bathroom,morning_routine,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails","[{'sim_time': '2023-02-13 06:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing admin about Responding to urgent vendor emails and RSVP confirmations ; while drifting (behavioral) toward Responding to urgent vendor emails and RSVP confirmations ; (Isabella is completing her morning routine while mentally transitioning into cafe management and party planning mode.) ; Isabella handles admin tasks in the bathroom while drifting behaviorally toward responding to urgent vendor emails and RSVP confirmations.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Florist delivery and balloon decor confirmation ; while drifting (behavioral) toward Florist delivery and balloon decor confirmation ; (Isabella is prioritizing party admin over her morning routine, fixating on vendor emails while still in the bathroom.) ; Isabella checks her phone for florist and balloon updates in the bathroom while half-applying makeup, drifting behaviorally toward party logistics.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is fixated on party logistics, causing her morning routine to stall as she prioritizes emails over getting ready.) ; Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella has returned to her routine but remains mentally tethered to party logistics and incoming email notifications.) ; Isabella focuses on finishing her morning routine, prioritizing getting dressed and ready over checking further party notifications.'}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Finalizing the party guest list and florist arrival ; (Isabella is finishing her routine but remains distracted by party planning emails and vendor updates on her phone.) ; Isabella finishes her morning routine in the bathroom while her mind drifts to finalizing the party guest list and florist arrival.'}]",Isabella Rodriguez is at home:bathroom doing morning_routine.,,partial,low,slipping,med,Valentine's Day party logistics,low,Digital fixation on party planning over physical routine,"['Phone notifications', 'Vendor emails', 'Guest list']",Isabella is mentally at the cafe already; she needs to finish her physical transition to regain focus.,continue,Isabella is finishing her routine but remains mentally preoccupied with party logistics and vendor communications.,"Isabella follows her schedule's location and action, but her attention consistently leaks into party planning and vendor emails.",2023-02-13 07:45:00,home:bathroom,morning_routine,2023-02-13 07:45:00,15,Finalizing morning routine and mental prep for cafe opening,"Isabella finishes her morning routine in the bathroom, mentally transitioning to cafe work and party planning.",True,behavioral,Double-checking the RSVP list and vendor arrival times,Checking phone and sending a quick text to the florist,0.6000000000000001,Isabella puts the phone down to grab her keys and head to the cafe.,Isabella is so excited for tomorrow's party that she's prioritizing one last digital check over finishing her physical morning routine.,2023-02-13 07:45:00,15,2023-02-13 07:45:00,15,home:bathroom,event_preparation,Double-checking the RSVP list and vendor arrival times,True,behavioral,0.6000000000000001,Double-checking the RSVP list and vendor arrival times,Isabella handles event preparation in the bathroom while drifting behaviorally toward double-checking the RSVP list and vendor arrival times.,2023-02-13 08:00
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 08:00:00,15,home:bathroom,event_preparation,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter","[{'sim_time': '2023-02-13 06:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Florist delivery and balloon decor confirmation ; while drifting (behavioral) toward Florist delivery and balloon decor confirmation ; (Isabella is prioritizing party admin over her morning routine, fixating on vendor emails while still in the bathroom.) ; Isabella checks her phone for florist and balloon updates in the bathroom while half-applying makeup, drifting behaviorally toward party logistics.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is fixated on party logistics, causing her morning routine to stall as she prioritizes emails over getting ready.) ; Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella has returned to her routine but remains mentally tethered to party logistics and incoming email notifications.) ; Isabella focuses on finishing her morning routine, prioritizing getting dressed and ready over checking further party notifications.'}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Finalizing the party guest list and florist arrival ; (Isabella is finishing her routine but remains distracted by party planning emails and vendor updates on her phone.) ; Isabella finishes her morning routine in the bathroom while her mind drifts to finalizing the party guest list and florist arrival.'}, {'sim_time': '2023-02-13 07:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing event_preparation about Double-checking the RSVP list and vendor arrival times ; while drifting (behavioral) toward Double-checking the RSVP list and vendor arrival times ; (Isabella is finishing her routine but remains mentally preoccupied with party logistics and vendor communications.) ; Isabella handles event preparation in the bathroom while drifting behaviorally toward double-checking the RSVP list and vendor arrival times.'}]",Isabella Rodriguez is at home:bathroom doing event_preparation.,,off_track,low,fragile,high,Valentine's Day party logistics and vendor coordination,low,Digital fixation overriding physical schedule transitions,"['phone notifications', 'RSVP list', 'vendor emails']",Isabella is neglecting her cafe opening duties due to party planning fixation; she must transition to the cafe immediately.,reset_plan,"Isabella is stuck in a party-planning loop in the bathroom, missing her scheduled cafe opening.","Isabella's fixation on logistics has caused her to ignore the transition to work, resulting in a significant schedule delay.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,2023-02-13 08:00:00,15,Opening the cafe and greeting the first wave of customers.,"Isabella arrives at the cafe to begin opening procedures, focusing on basic setup tasks to transition into her workday.",False,none,,continue,0.0,,,2023-02-13 08:00:00,15,2023-02-13 08:00:00,15,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,False,none,0.0,,"Isabella arrives at the cafe to begin opening procedures, focusing on basic setup tasks to transition into her workday.",2023-02-13 08:15
gemini-3-flash-preview:cloud,0.3,Isabella Rodriguez,2023-02-13 08:15:00,15,Hobbs_Cafe:counter,work,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter","[{'sim_time': '2023-02-13 07:00', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella is fixated on party logistics, causing her morning routine to stall as she prioritizes emails over getting ready.) ; Isabella shifts focus back to her morning routine, finishing her hygiene and getting dressed to prepare for the cafe opening.'}, {'sim_time': '2023-02-13 07:15', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; (Isabella has returned to her routine but remains mentally tethered to party logistics and incoming email notifications.) ; Isabella focuses on finishing her morning routine, prioritizing getting dressed and ready over checking further party notifications.'}, {'sim_time': '2023-02-13 07:30', 'summary': 'Isabella Rodriguez is at home:bathroom doing morning_routine about Isabella feels energized and ready to start the day. ; while drifting (attentional_leak) toward Finalizing the party guest list and florist arrival ; (Isabella is finishing her routine but remains distracted by party planning emails and vendor updates on her phone.) ; Isabella finishes her morning routine in the bathroom while her mind drifts to finalizing the party guest list and florist arrival.'}, {'sim_time': '2023-02-13 07:45', 'summary': 'Isabella Rodriguez is at home:bathroom doing event_preparation about Double-checking the RSVP list and vendor arrival times ; while drifting (behavioral) toward Double-checking the RSVP list and vendor arrival times ; (Isabella is finishing her routine but remains mentally preoccupied with party logistics and vendor communications.) ; Isabella handles event preparation in the bathroom while drifting behaviorally toward double-checking the RSVP list and vendor arrival times.'}, {'sim_time': '2023-02-13 08:00', 'summary': 'Isabella Rodriguez is at Hobbs_Cafe:counter doing work about Opening the cafe and greeting the first wave of customers. ; (Isabella is stuck in a party-planning loop in the bathroom, missing her scheduled cafe opening.) ; Isabella arrives at the cafe to begin opening procedures, focusing on basic setup tasks to transition into her workday.'}]",Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,,aligned,low,slipping,med,Valentine's Day party logistics,low,notification-driven distraction,"['phone vibrating', 'party logistics', 'vendor updates']",Isabella needs to silence her phone to prevent party planning from interrupting the morning customer rush.,continue,"Isabella is at the cafe counter, successfully starting work despite persistent mental preoccupation with party details.",Isabella has reached her destination but remains vulnerable to digital distractions related to her upcoming event.,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,2023-02-13 08:15:00,15,Opening the cafe and greeting the first wave of customers.,"Isabella continues her work at the counter, focusing on serving customers and managing the morning rush.",True,attentional_leak,Reviewing florist and vendor notifications on her phone,Glancing at her phone between orders and losing track of customer requests,0.55,A customer repeating an order will likely pull her back to the present moment.,"Isabella is torn between her hospitality duties and the urgent excitement of tomorrow's party, triggered by the persistent buzzing of her phone.",2023-02-13 08:15:00,15,2023-02-13 08:15:00,15,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,True,attentional_leak,0.55,Reviewing florist and vendor notifications on her phone,Isabella manages the morning rush at the cafe counter while her mind drifts to reviewing florist and vendor notifications on her phone.,2023-02-13 08:30
