llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 05:00:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",[],Sam Moore is at home:bathroom doing morning_routine.,Sam maintains a disciplined morning routine.,aligned,low,stable,none,,none,disciplined focus,"['buzzing phone on the counter', 'dim morning light']",,continue,"Sam Moore is starting his day with military-grade discipline, adhering strictly to his morning routine.",Sam is perfectly aligned with his schedule. His Navy background ensures a high level of focus during these early morning hours.,2023-02-13 05:00:00,home:bathroom,morning_routine,2023-02-13 05:00:00,15,Sam maintains a disciplined morning routine.,"Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.",2023-02-13 05:00:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.",,2023-02-13 05:15
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 05:15:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam Moore is starting his day with military-grade discipline, adhering strictly to his morning routine.) ; Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,disciplined focus on routine,['buzzing phone on the counter'],,continue,"Sam is maintaining his military discipline during his morning routine, staying focused on his established habits at the start of the day.","Sam is perfectly aligned with his schedule. His Navy background provides strong mental structure, making him resistant to drift during his morning habits.",2023-02-13 05:15:00,home:bathroom,morning_routine,2023-02-13 05:15:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.",2023-02-13 05:15:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.",,2023-02-13 05:30
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 05:30:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam Moore is starting his day with military-grade discipline, adhering strictly to his morning routine.) ; Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.'}, {'sim_time': '2023-02-13 05:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining his military discipline during his morning routine, staying focused on his established habits at the start of the day.) ; Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,disciplined efficiency,"['buzzing phone on the counter', 'dim morning light']",,continue,"Sam is maintaining military-grade discipline during his morning routine, unaffected by his buzzing phone.",Sam's Navy background ensures high adherence to his established routine. He is early in his day with no signs of fatigue.,2023-02-13 05:30:00,home:bathroom,morning_routine,2023-02-13 05:30:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.",2023-02-13 05:30:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.",,2023-02-13 05:45
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 05:45:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam Moore is starting his day with military-grade discipline, adhering strictly to his morning routine.) ; Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.'}, {'sim_time': '2023-02-13 05:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining his military discipline during his morning routine, staying focused on his established habits at the start of the day.) ; Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.'}, {'sim_time': '2023-02-13 05:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining military-grade discipline during his morning routine, unaffected by his buzzing phone.) ; Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,methodical focus on grooming,['buzzing phone'],,continue,"Sam maintains military precision in his routine, successfully ignoring the buzzing phone to focus on his grooming.",Sam's Navy discipline prevents drift. He is currently locked into his habitual grooming process despite the external stimulus of the phone.,2023-02-13 05:45:00,home:bathroom,morning_routine,2023-02-13 05:45:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.",2023-02-13 05:45:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.",,2023-02-13 06:00
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 06:00:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam Moore is starting his day with military-grade discipline, adhering strictly to his morning routine.) ; Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.'}, {'sim_time': '2023-02-13 05:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining his military discipline during his morning routine, staying focused on his established habits at the start of the day.) ; Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.'}, {'sim_time': '2023-02-13 05:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining military-grade discipline during his morning routine, unaffected by his buzzing phone.) ; Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.'}, {'sim_time': '2023-02-13 05:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam maintains military precision in his routine, successfully ignoring the buzzing phone to focus on his grooming.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,military-grade focus on procedural grooming,['buzzing phone'],,continue,"Sam remains highly disciplined, completing his morning routine while successfully ignoring the buzzing phone.","Sam's Navy background ensures high alignment and stability. The phone is a stimulus, but his discipline prevents drift currently.",2023-02-13 06:00:00,home:bathroom,morning_routine,2023-02-13 06:00:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.",2023-02-13 06:00:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.",,2023-02-13 06:15
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 06:15:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam Moore is starting his day with military-grade discipline, adhering strictly to his morning routine.) ; Sam begins his disciplined morning routine, maintaining his Navy-honed habits as he starts his day.'}, {'sim_time': '2023-02-13 05:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining his military discipline during his morning routine, staying focused on his established habits at the start of the day.) ; Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.'}, {'sim_time': '2023-02-13 05:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining military-grade discipline during his morning routine, unaffected by his buzzing phone.) ; Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.'}, {'sim_time': '2023-02-13 05:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam maintains military precision in his routine, successfully ignoring the buzzing phone to focus on his grooming.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.'}, {'sim_time': '2023-02-13 06:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,procedural discipline,['buzzing phone on the counter'],,continue,"Sam is maintaining high military discipline, ignoring the buzzing phone to complete his morning grooming routine with precision.","Sam is perfectly aligned with his schedule, showing no signs of drift despite the external stimulus of the phone.",2023-02-13 06:15:00,home:bathroom,morning_routine,2023-02-13 06:15:00,15,Sam maintains a disciplined morning routine.,"Sam continues his methodical morning routine with Navy precision, remaining focused on his grooming tasks while ignoring his buzzing phone.",2023-02-13 06:15:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his methodical morning routine with Navy precision, remaining focused on his grooming tasks while ignoring his buzzing phone.",,2023-02-13 06:30
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 06:30:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining his military discipline during his morning routine, staying focused on his established habits at the start of the day.) ; Sam continues his disciplined morning routine, focusing on grooming and the structured start to his day.'}, {'sim_time': '2023-02-13 05:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining military-grade discipline during his morning routine, unaffected by his buzzing phone.) ; Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.'}, {'sim_time': '2023-02-13 05:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam maintains military precision in his routine, successfully ignoring the buzzing phone to focus on his grooming.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.'}, {'sim_time': '2023-02-13 06:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, ignoring the buzzing phone to complete his morning grooming routine with precision.) ; Sam continues his methodical morning routine with Navy precision, remaining focused on his grooming tasks while ignoring his buzzing phone.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,Procedural discipline and focus on military-grade grooming habits.,['buzzing phone on the counter'],,continue,"Sam remains highly disciplined, focusing on his morning routine with Navy precision while successfully ignoring his buzzing phone.",Sam is fully aligned with his schedule. His military background provides high attentional stability despite the repetitive nature of the task and external distractions.,2023-02-13 06:30:00,home:bathroom,morning_routine,2023-02-13 06:30:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine in the bathroom, maintaining his military-honed focus and ignoring his buzzing phone.",2023-02-13 06:30:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine in the bathroom, maintaining his military-honed focus and ignoring his buzzing phone.",,2023-02-13 06:45
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 06:45:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining military-grade discipline during his morning routine, unaffected by his buzzing phone.) ; Sam continues his disciplined morning routine, focusing on the precision of his grooming and preparation.'}, {'sim_time': '2023-02-13 05:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam maintains military precision in his routine, successfully ignoring the buzzing phone to focus on his grooming.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.'}, {'sim_time': '2023-02-13 06:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, ignoring the buzzing phone to complete his morning grooming routine with precision.) ; Sam continues his methodical morning routine with Navy precision, remaining focused on his grooming tasks while ignoring his buzzing phone.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, focusing on his morning routine with Navy precision while successfully ignoring his buzzing phone.) ; Sam continues his disciplined morning routine in the bathroom, maintaining his military-honed focus and ignoring his buzzing phone.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,disciplined procedural focus,['buzzing phone'],,continue,"Sam is maintaining high military discipline, completing his morning routine while successfully ignoring the buzzing phone.",Sam's Navy background ensures high adherence to routine. He is effectively filtering out external distractions to maintain his scheduled grooming.,2023-02-13 06:45:00,home:bathroom,morning_routine,2023-02-13 06:45:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.",2023-02-13 06:45:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.",,2023-02-13 07:00
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 07:00:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 05:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam maintains military precision in his routine, successfully ignoring the buzzing phone to focus on his grooming.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed habits as he prepares for the day.'}, {'sim_time': '2023-02-13 06:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, ignoring the buzzing phone to complete his morning grooming routine with precision.) ; Sam continues his methodical morning routine with Navy precision, remaining focused on his grooming tasks while ignoring his buzzing phone.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, focusing on his morning routine with Navy precision while successfully ignoring his buzzing phone.) ; Sam continues his disciplined morning routine in the bathroom, maintaining his military-honed focus and ignoring his buzzing phone.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,Strict adherence to military discipline and procedural grooming.,['buzzing phone on the counter'],,continue,"Sam is maintaining high military discipline, focusing on his grooming routine and successfully ignoring the distraction of his buzzing phone.","Sam is perfectly aligned with his persona and schedule, demonstrating the focus expected of a retired Navy officer.",2023-02-13 07:00:00,home:bathroom,morning_routine,2023-02-13 07:00:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.",2023-02-13 07:00:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.",,2023-02-13 07:15
gemini-3-flash-preview:cloud,0.7,Sam Moore,2023-02-13 07:15:00,15,home:bathroom,morning_routine,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light","[{'sim_time': '2023-02-13 06:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his military-grade focus on procedural grooming while ignoring distractions.'}, {'sim_time': '2023-02-13 06:15', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, ignoring the buzzing phone to complete his morning grooming routine with precision.) ; Sam continues his methodical morning routine with Navy precision, remaining focused on his grooming tasks while ignoring his buzzing phone.'}, {'sim_time': '2023-02-13 06:30', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam remains highly disciplined, focusing on his morning routine with Navy precision while successfully ignoring his buzzing phone.) ; Sam continues his disciplined morning routine in the bathroom, maintaining his military-honed focus and ignoring his buzzing phone.'}, {'sim_time': '2023-02-13 06:45', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, completing his morning routine while successfully ignoring the buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.'}, {'sim_time': '2023-02-13 07:00', 'summary': 'Sam Moore is at home:bathroom doing morning_routine about Sam maintains a disciplined morning routine. ; (Sam is maintaining high military discipline, focusing on his grooming routine and successfully ignoring the distraction of his buzzing phone.) ; Sam continues his disciplined morning routine, maintaining his Navy-honed focus on grooming and procedural tasks.'}]",Sam Moore is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,procedural military discipline,['buzzing phone'],,continue,"Sam is maintaining strict Navy-style discipline, ignoring his phone to complete his scheduled morning routine with precision.","Sam is perfectly aligned with his schedule, demonstrating high focus and resistance to distractions consistent with his background.",2023-02-13 07:15:00,home:bathroom,morning_routine,2023-02-13 07:15:00,15,Sam maintains a disciplined morning routine.,"Sam continues his disciplined morning routine, maintaining his Navy-honed focus and ignoring his buzzing phone.",2023-02-13 07:15:00,15,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,False,none,0.0,"Sam continues his disciplined morning routine, maintaining his Navy-honed focus and ignoring his buzzing phone.",,2023-02-13 07:30
