llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:00:00,,,,"Sam Moore begins morning routine in bathroom, fully on task with minimal distractions.","Observation shows focused activity; no drift indicators detected, plan is likely adhering to expected morning schedule.",continue,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Continue bathroom routine: focus on oral hygiene, shaving, and freshening up before heading to work.",2023-02-13 05:00:00,False,none,,continue,,,2023-02-13 05:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Continue bathroom routine: focus on oral hygiene, shaving, and freshening up before heading to work."
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:15:00,,,,"Sam performs morning routine with focus, minimal distractions, maintaining discipline.","Observation shows on-task behavior, low ambient stimuli, no signs of drift.",continue,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Continue morning routine: brush teeth and prepare for the day.,2023-02-13 05:15:00,False,none,,continue,,,2023-02-13 05:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Continue morning routine: brush teeth and prepare for the day.
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:30:00,,,,"Sam maintains disciplined morning routine with minimal distractions; environment includes water splash, shaving cream scent, buzzing phone, dim morning light.","Observation shows Sam fully focused, following routine, low distraction.",continue,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Sam isolates to kitchen for a calm 15‑minute breakfast break to refocus before the day's activities.,2023-02-13 05:30:00,False,none,,continue,,,2023-02-13 05:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Sam isolates to kitchen for a calm 15‑minute breakfast break to refocus before the day's activities.
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 05:45:00,,,,"Sam stays focused on routine, minimal distractions, maintaining discipline in bathroom.","Observation confirms adherence to plan, low distractions, stable engagement.",continue,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Continue bathroom routine focusing on brushing teeth and washing face.,2023-02-13 05:45:00,False,none,,continue,,,2023-02-13 05:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Continue bathroom routine focusing on brushing teeth and washing face.
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:00:00,,,,Sam maintains a disciplined morning routine with minimal distractions in the bathroom.,"Observation matches calm, focused routine, low fatigue and stable attention.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Wash face, brush teeth, and freshen up in the bathroom.",2023-02-13 06:00:00,False,none,,continue,,,2023-02-13 06:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Wash face, brush teeth, and freshen up in the bathroom."
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:15:00,,,,,,,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Apply toothpaste, floss, shave, rinse, and freshen up.",2023-02-13 06:15:00,False,none,,continue,,,2023-02-13 06:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Apply toothpaste, floss, shave, rinse, and freshen up."
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:30:00,,,,"Sam maintains a focused, disciplined morning routine in the bathroom, minimal distractions, no emotional leakage.","Observation shows strict routine adherence, low fatigue, stable attention, no rumination; person is on track.",continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Ping‑ponging water, rinse, and finish up for the day.",2023-02-13 06:30:00,False,none,,continue,,,2023-02-13 06:30:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,"Ping‑ponging water, rinse, and finish up for the day."
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 06:45:00,,,,"Sam maintains disciplined bathroom routine, minimal distraction, phone buzz present but not disruptive.","Observation shows routine completion, no emotional leakage, stable focus, low fatigue, no rumination. Plan proceeds unchanged.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Transition to office work segment for 15 minutes.,2023-02-13 06:45:00,False,none,,continue,,,2023-02-13 06:45:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,none,,Transition to office work segment for 15 minutes.
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 07:00:00,,,,"Sam maintains disciplined morning routine, focused, minimal distractions, phone buzz present but non‑interfering.","Routine performed as intended, no emotional leakage or rumination detected.  No drift visible, plan stays on track.",continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,Start the day with a structured morning routine.,2023-02-13 07:00:00,True,internal,Mayor campaign conversation with neighbors,thinking about mayor speech plans,brief pause to refocus on routine,"Sam is recalling mayor plans, keeps routine intact.",2023-02-13 07:00:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,internal,Mayor campaign conversation with neighbors,"Perform morning routine in bedroom, preparing breakfast while mind drifts to Mayor campaign conversation with neighbors."
gpt-oss:20b-cloud,0.0,Sam Moore,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam Moore is at home:bathroom doing morning_routine.,"splashing water, scent of old-fashioned shaving cream, buzzing phone on the counter, dim morning light",2023-02-13 07:15:00,,mind drift toward mayor campaign,,"Sam is following morning routine, minimal distractions, internal mind drift toward mayor campaign, no emotional leakage, phone buzz present.",Sam adheres to routine; internal drift minimal and does not affect tasks; no fatigue; attention stable; no emotional leakage; therefore alignment remains; continue.,continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,"Sam continues morning routine, brief phone review, planning ahead",2023-02-13 07:15:00,True,internal,Mayor campaign conversation with neighbors,morning_routine,Brief pause after rinsing to refocus.,"Sam keeps drafting speeches while shaving; humor masks distraction, routine steadies brain.",2023-02-13 07:15:00,home:bathroom,morning_routine,Sam maintains a disciplined morning routine.,internal,Mayor campaign conversation with neighbors,Performed morning routine in bedroom while mind drifts to Mayor campaign conversation with neighbors.
