llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,external work-pressure intrusion,,"Isabella is grounded in her morning routine, though work emails on her phone present a subtle pull away from her personal time.","Isabella is currently following her plan; the environment is sensory-rich, but incoming digital notifications are the primary source of potential drift.",continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, prioritizing her personal time over the emerging distraction of work emails.",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Isabella continues her morning routine, prioritizing her personal time over the emerging distraction of work emails."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,work emails,balancing self-care with professional obligations,,"Isabella is maintaining her morning routine effectively, successfully resisting the distraction of incoming work emails while remaining energized.","Isabella shows strong discipline by acknowledging work stimuli without engaging, keeping her focus on her self-care ritual.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing the morning routine, staying focused on self-care while maintaining low rumination about work emails.",2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continuing the morning routine, staying focused on self-care while maintaining low rumination about work emails."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,work emails,prioritizing self-care over digital noise,,Isabella is successfully protecting her morning self-care from work-related digital intrusions.,Routine is on track; Isabella is managing the pull of work emails effectively without losing focus on her wellness.,continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Continuing morning routine while maintaining focus on personal wellness and avoiding work-related digital intrusions.,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Continuing morning routine while maintaining focus on personal wellness and avoiding work-related digital intrusions.
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,work emails,boundary maintenance,,Isabella is successfully maintaining her morning routine while ignoring the visual pull of work emails on her phone.,"Isabella has consistently prioritized self-care over digital distractions for several ticks, showing strong executive control over her schedule.",continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, prioritizing her self-care and successfully maintaining her boundary against early-morning work email distractions.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Isabella continues her morning routine, prioritizing her self-care and successfully maintaining her boundary against early-morning work email distractions."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,work emails,digital boundary maintenance,,"Isabella prioritizes self-care over work emails, maintaining focus during her extended morning routine.",Isabella demonstrates strong boundary control against digital distractions; her energized state supports continued alignment with her routine.,continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, prioritizing self-care and maintaining digital boundaries against work emails.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Isabella continues her morning routine, prioritizing self-care and maintaining digital boundaries against work emails."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,work emails,digital boundary reinforcement,,"Isabella is grounded and energized, successfully shielding her morning routine from persistent work email distractions.","Isabella shows strong executive control, maintaining her self-care focus despite the visual stimuli of incoming work notifications.",continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continuing with the morning routine, maintaining focus on self-care and intentionally ignoring work email notifications.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continuing with the morning routine, maintaining focus on self-care and intentionally ignoring work email notifications."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,digital boundary reinforcement,,"Isabella remains disciplined in her morning routine, successfully shielding her personal time from work-related digital distractions.","Isabella is perfectly aligned with her schedule, demonstrating high attentional control against external work stimuli.",continue,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Isabella continues her morning routine, intentionally ignoring digital work stimuli to maintain her focus and personal boundaries.",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Isabella continues her morning routine, intentionally ignoring digital work stimuli to maintain her focus and personal boundaries."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,Work email avoidance,Resistance-based fixation,"Isabella has over-extended this routine; the mental strain of ignoring work is peaking, requiring an immediate change of scenery.","Isabella is technically aligned but mentally exhausted by the effort of maintaining digital boundaries in a stagnant, 75-minute environment.","Extended duration in one location has turned self-care into a struggle against digital temptation, necessitating a transition to prevent drift.",reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Moving to the kitchen for a quick, simple breakfast to break the stagnant bathroom environment and reset mental energy.",2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Moving to the kitchen for a quick, simple breakfast to break the stagnant bathroom environment and reset mental energy."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,work email boundaries,environmental stagnation,Isabella failed to transition to the kitchen; she must break the bathroom stagnation to recover mental energy.,Isabella is mentally exhausted and stuck in the bathroom despite intending to move to the kitchen for breakfast.,"Isabella's high fatigue and failure to change environments indicate a breakdown in executive function, requiring a plan reset to ensure transition.",reset_plan,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Transitioning to the kitchen to break bathroom stagnation; focusing on a simple, low-energy breakfast to recover mental focus.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Transitioning to the kitchen to break bathroom stagnation; focusing on a simple, low-energy breakfast to recover mental focus."
gemini-3-flash-preview:cloud,0.8,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,digital boundaries,reactive focus,Isabella skipped her breakfast reset and is now vulnerable to the vibrating phone's distraction at the counter.,"Isabella is at the cafe counter, physically present but mentally drained from her morning routine struggles.","Isabella skipped her planned breakfast reset and moved straight to the cafe, carrying high fatigue into her work shift.",reset_plan,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Performing low-effort administrative tasks at the counter to manage fatigue while easing into the scheduled shift.,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Performing low-effort administrative tasks at the counter to manage fatigue while easing into the scheduled shift.
