llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,"Isabella is on-track with her morning routine, minimal distractions.",Routine is habitual; phone emails are a minor competing stimulus but not disruptive.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and prepare for breakfast.",2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish brushing teeth, skincare, and prepare for breakfast."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,,,Isabella stays on-track with morning routine; minimal emotional or attentional drift.,"Action aligns with plan; no signs of fatigue, rumination, or emotional leakage.",continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and prepare for breakfast.",2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish brushing teeth, skincare, and prepare for breakfast."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,,,"Isabella stays on-track with her morning routine, minimal distractions.",Isabella’s routine is consistent; emails are the only minor competing stimulus.,continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and get dressed for the day.",2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish brushing teeth, skincare, and get dressed for the day."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,,,,"Isabella stays on-track with her morning routine, minimal distractions.",Isabella maintains focus; competing stimuli (emails) are minor and contained.,continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Brush teeth, skincare, and dress for the day ahead.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Brush teeth, skincare, and dress for the day ahead."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,Isabella maintains focus on her morning routine with minimal drift.,Isabella stays on-track; competing stimuli (emails) are noted but not disruptive.,continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish skincare, brush teeth, and get dressed for the day.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish skincare, brush teeth, and get dressed for the day."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,,,,Isabella maintains focus on her morning routine with minimal distractions.,Isabella stays on-track; competing stimuli (emails) have not disrupted her routine.,continue,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and prepare for breakfast.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish brushing teeth, skincare, and prepare for breakfast."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,,,Isabella maintains focus on her morning routine with consistent energy and minimal drift.,Isabella stays on-plan with routine; competing stimuli (emails) are noted but not disruptive.,continue,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Continue morning routine with stable focus, minimal distractions.",2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Continue morning routine with stable focus, minimal distractions."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,,,,Isabella maintains consistent focus on her morning routine with minimal drift.,Isabella stays on-plan; competing stimuli (emails) are noted but not disruptive.,continue,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish morning hygiene, dress for the day, and prepare to move to kitchen.",2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish morning hygiene, dress for the day, and prepare to move to kitchen."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,,,,Isabella maintains consistent focus on her morning routine with energized stability.,Isabella stays on-plan with minimal distractions; competing stimuli are peripheral.,continue,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Finish brushing teeth, skincare, and prepare for breakfast.",2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Finish brushing teeth, skincare, and prepare for breakfast."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,,transition from routine to work tasks,Isabella’s focus is shifting from routine to work—anchor to opening tasks.,Isabella transitions to work at Hobbs_Cafe with minor attentional drift.,Recent history shows stable routine; current stimuli may dilute focus on opening tasks.,continue,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,"Begin Hobbs_Cafe shift: prep counter, check supplies, greet early customers.",2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,"Begin Hobbs_Cafe shift: prep counter, check supplies, greet early customers."
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:30:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:30:00,,transition from routine to work tasks,Isabella’s focus drifts slightly during shift start; anchor to task checklist.,Isabella transitions to work but shows minor attentional drift at counter.,Minor slippage noted in shift start; no fatigue but competing stimuli present.,continue,2023-02-13 08:30:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Anchor focus to counter tasks; greet customers and prep orders.,2023-02-13 08:30:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Anchor focus to counter tasks; greet customers and prep orders.
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 08:45:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:45:00,,minor attentional drift during transition to work tasks,Isabella’s focus wavers slightly—anchor to counter tasks to stabilize attention.,Isabella at Hobbs_Cafe counter; minor drift during work transition.,"Energy remains stable, but environmental stimuli pull attention from core tasks.",continue,2023-02-13 08:45:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Anchor attention to order processing and customer interactions to minimize drift.,2023-02-13 08:45:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Anchor attention to order processing and customer interactions to minimize drift.
mistral-large-3:675b-cloud,0.8,Isabella Rodriguez,2023-02-13 09:00:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 09:00:00,,minor attentional drift during work transitions,Anchor Isabella’s focus to counter tasks to minimize drift.,Isabella shows minor drift at counter but remains task-oriented.,"Minor attentional slippage noted, but core work plan intact.",continue,2023-02-13 09:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Focus on counter tasks to minimize drift from competing stimuli.,2023-02-13 09:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Focus on counter tasks to minimize drift from competing stimuli.
