llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,drift_intensity_d,potential_recovery_d,justification_d,datetime_start_d,duration_min_d,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,drift_topic_a,state_summary_a,next_datetime_a
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",[],Maria Lopez is at home:bathroom doing morning_routine.,Maria wakes up feeling energetic.,aligned,low,stable,none,,none,,['phone buzzing with social media alerts'],,continue,"Maria begins her morning routine with energy, facing minor phone distractions.","Maria is following her morning routine as scheduled, showing no signs of drift or fatigue yet.",2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Maria wakes up feeling energetic.,Continuing morning routine with energy,True,internal,planning today's study session and stream content,continue,0.30000000000000004,phone notification will snap her back to routine,Maria's energetic mind naturally jumps to planning while multitasking with routine.,2023-02-13 10:00:00,15,2023-02-13 10:00:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,internal,0.30000000000000004,planning today's study session and stream content,Continues morning routine while mind drifts to planning today's study session and stream content,2023-02-13 10:15
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward planning today's study session and stream content ; (Maria begins her morning routine with energy, facing minor phone distractions.) ; Continues morning routine while mind drifts to planning today's study session and stream content""}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,slipping,low,study session and stream content planning,none,Maria is productively planning ahead while maintaining her routine,['phone buzzing with social media alerts'],Maintain focus on morning routine while keeping future planning light,continue,Maria is energized and planning ahead while completing her morning routine,Maria's thoughts about study and streaming show enthusiasm but slight distraction from present moment,2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Maria wakes up feeling energetic.,Continues morning routine with light planning for the day,True,internal,thinking about potential physics problems to solve during study session,brushing teeth while mentally reviewing equations,0.4,Will refocus when finishing bathroom routine,Maria's enthusiasm for physics causes her to mentally jump ahead while performing routine tasks.,2023-02-13 10:15:00,15,2023-02-13 10:15:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,internal,0.4,thinking about potential physics problems to solve during study session,Continues morning routine while mind drifts to physics problems for study session,2023-02-13 10:30
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward planning today's study session and stream content ; (Maria begins her morning routine with energy, facing minor phone distractions.) ; Continues morning routine while mind drifts to planning today's study session and stream content""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward thinking about potential physics problems to solve during study session ; (Maria is energized and planning ahead while completing her morning routine) ; Continues morning routine while mind drifts to physics problems for study session'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,slipping,low,physics study planning,none,Maria's mind keeps returning to study planning during routine tasks,['phone buzzing with social media alerts'],Gentle refocus needed to complete morning routine before study planning,continue,Maria remains energetic but distracted by study thoughts during morning routine,Maria's attention is slipping toward study planning but remains generally aligned with morning routine,2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Maria wakes up feeling energetic.,Continues morning routine while gently refocusing on tasks at hand,True,attentional_leak,physics study planning,pausing morning routine to check phone notifications,0.6000000000000001,Will likely return to routine after brief distraction,Maria's energetic mind keeps getting pulled from routine by study thoughts and phone alerts.,2023-02-13 10:30:00,15,2023-02-13 10:30:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,True,attentional_leak,0.6000000000000001,physics study planning,Pauses morning routine to check phone notifications about physics study planning,2023-02-13 10:45
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward planning today's study session and stream content ; (Maria begins her morning routine with energy, facing minor phone distractions.) ; Continues morning routine while mind drifts to planning today's study session and stream content""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward thinking about potential physics problems to solve during study session ; (Maria is energized and planning ahead while completing her morning routine) ; Continues morning routine while mind drifts to physics problems for study session'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward physics study planning ; (Maria remains energetic but distracted by study thoughts during morning routine) ; Pauses morning routine to check phone notifications about physics study planning'}]",Maria Lopez is at home:bathroom doing morning_routine.,,partial,low,slipping,low,physics study planning,none,persistent forward-planning during routine tasks,"['phone notifications', 'upcoming study session', 'stream content ideas']",Redirect focus to complete morning routine before transitioning to study mode.,reset_plan,Maria's morning routine is fragmented by study planning and phone distractions.,"While Maria remains energetic, her attention is splitting between routine and future tasks, warranting a reset to complete the current activity.",2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Maria wakes up feeling energetic.,Finish morning routine while minimizing distractions before study session,False,none,,continue,0.0,,,2023-02-13 10:45:00,15,2023-02-13 10:45:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,,Finish morning routine while minimizing distractions before study session,2023-02-13 11:00
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:00:00,15,home:bathroom,morning_routine,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward planning today's study session and stream content ; (Maria begins her morning routine with energy, facing minor phone distractions.) ; Continues morning routine while mind drifts to planning today's study session and stream content""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward thinking about potential physics problems to solve during study session ; (Maria is energized and planning ahead while completing her morning routine) ; Continues morning routine while mind drifts to physics problems for study session'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward physics study planning ; (Maria remains energetic but distracted by study thoughts during morning routine) ; Pauses morning routine to check phone notifications about physics study planning'}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria's morning routine is fragmented by study planning and phone distractions.) ; Finish morning routine while minimizing distractions before study session""}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,slipping,low,physics study planning,low,persistent forward-planning during routine tasks,"['phone notifications', 'study session planning']",Maria needs to transition focus to library study session while maintaining energy.,continue,Energetic but distracted by physics planning during morning routine,Maria maintains alignment with schedule despite minor attentional drift toward study planning.,2023-02-13 11:00:00,Oak_Hill_College:library,study,2023-02-13 11:00:00,15,Studying physics and participating in online discussions.,Transition to library for focused physics study,True,attentional_leak,planning stream content while studying,checking phone for stream notifications,0.4,brief glance at physics notes after notification check,Maria's enthusiasm for streaming causes her attention to waver from physics to potential game ideas.,2023-02-13 11:00:00,15,2023-02-13 11:00:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.4,planning stream content while studying,Studies physics at library while occasionally checking phone for stream notifications,2023-02-13 11:15
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward planning today's study session and stream content ; (Maria begins her morning routine with energy, facing minor phone distractions.) ; Continues morning routine while mind drifts to planning today's study session and stream content""}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward thinking about potential physics problems to solve during study session ; (Maria is energized and planning ahead while completing her morning routine) ; Continues morning routine while mind drifts to physics problems for study session'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward physics study planning ; (Maria remains energetic but distracted by study thoughts during morning routine) ; Pauses morning routine to check phone notifications about physics study planning'}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria's morning routine is fragmented by study planning and phone distractions.) ; Finish morning routine while minimizing distractions before study session""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward planning stream content while studying ; (Energetic but distracted by physics planning during morning routine) ; Studies physics at library while occasionally checking phone for stream notifications'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,low,stream content planning,low,recurring distraction by stream planning during focused study,"['phone notifications', 'stream alerts', 'library environment']",Maria needs to refocus on physics before stream planning takes over completely.,continue,Maria studies physics while struggling with stream-related distractions.,"Maria's energy is high but divided between study and streaming thoughts, requiring gentle refocusing.",2023-02-13 11:15:00,Oak_Hill_College:library,study,2023-02-13 11:15:00,15,Studying physics and participating in online discussions.,Continues physics study while managing stream-related distractions,True,attentional_leak,stream content ideas for tonight's broadcast,checking phone for stream notifications,0.5,brief refocus after setting stream reminder,Maria's energetic nature pulls her toward stream planning despite physics study needs.,2023-02-13 11:15:00,15,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.5,stream content ideas for tonight's broadcast,Works on physics problems at library while intermittently brainstorming stream ideas,2023-02-13 11:30
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (internal) toward thinking about potential physics problems to solve during study session ; (Maria is energized and planning ahead while completing her morning routine) ; Continues morning routine while mind drifts to physics problems for study session'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward physics study planning ; (Maria remains energetic but distracted by study thoughts during morning routine) ; Pauses morning routine to check phone notifications about physics study planning'}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria's morning routine is fragmented by study planning and phone distractions.) ; Finish morning routine while minimizing distractions before study session""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward planning stream content while studying ; (Energetic but distracted by physics planning during morning routine) ; Studies physics at library while occasionally checking phone for stream notifications'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward stream content ideas for tonight's broadcast ; (Maria studies physics while struggling with stream-related distractions.) ; Works on physics problems at library while intermittently brainstorming stream ideas""}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,stream content planning,low,persistent switching between physics study and stream planning,"['phone notifications', 'stream content ideas', 'environmental library sounds']",Maria needs to focus on physics for next 30 mins before lunch transition,continue,Studying physics but frequently distracted by stream planning thoughts,"Maria's attention is splitting between study and streaming, showing moderate cognitive load",2023-02-13 11:30:00,Oak_Hill_College:library,study,2023-02-13 11:30:00,15,Studying physics and participating in online discussions.,Continues physics study while attempting to focus despite stream-related thoughts,True,attentional_leak,tonight's stream setup and viewer engagement ideas,study,0.7000000000000001,May refocus after checking stream schedule on phone,"Maria's enthusiasm for streaming competes with physics study, causing her to mentally design tonight's broadcast layout while equations blur.",2023-02-13 11:30:00,15,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,True,attentional_leak,0.7000000000000001,tonight's stream setup and viewer engagement ideas,Works on physics equations while designing stream layout in mind,2023-02-13 11:45
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; while drifting (attentional_leak) toward physics study planning ; (Maria remains energetic but distracted by study thoughts during morning routine) ; Pauses morning routine to check phone notifications about physics study planning'}, {'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria's morning routine is fragmented by study planning and phone distractions.) ; Finish morning routine while minimizing distractions before study session""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward planning stream content while studying ; (Energetic but distracted by physics planning during morning routine) ; Studies physics at library while occasionally checking phone for stream notifications'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward stream content ideas for tonight's broadcast ; (Maria studies physics while struggling with stream-related distractions.) ; Works on physics problems at library while intermittently brainstorming stream ideas""}, {'sim_time': '2023-02-13 11:30', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's stream setup and viewer engagement ideas ; (Studying physics but frequently distracted by stream planning thoughts) ; Works on physics equations while designing stream layout in mind""}]",Maria Lopez is at Oak_Hill_College:library doing study.,,partial,med,slipping,med,stream setup and engagement,low,persistent stream planning during study time,"['phone notifications', 'stream planning thoughts', 'library environment distractions']",Maria needs to compartmentalize study focus before lunch transition,continue,Maria is studying but frequently distracted by stream planning thoughts,"Maria's study focus is compromised by consistent drift toward stream planning, though not completely off-track",2023-02-13 11:45:00,Oak_Hill_College:library,study,2023-02-13 11:45:00,15,Physics problem solving with stream thoughts in background,Continues studying physics while managing stream-related distractions,True,behavioral,stream setup and viewer engagement,switching between physics problems and stream layout design,0.75,May refocus after quick stream note-taking,Maria's persistent stream planning finally overflows into visible action as she starts sketching stream layouts.,2023-02-13 11:45:00,15,2023-02-13 11:45:00,15,Oak_Hill_College:library,switching between physics problems and stream layout design,Physics problem solving with stream thoughts in background,True,behavioral,0.75,stream setup and viewer engagement,Sketches stream layouts while solving physics problems at library,2023-02-13 12:00
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 12:00:00,15,Oak_Hill_College:library,switching between physics problems and stream layout design,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 10:45', 'summary': ""Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria's morning routine is fragmented by study planning and phone distractions.) ; Finish morning routine while minimizing distractions before study session""}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward planning stream content while studying ; (Energetic but distracted by physics planning during morning routine) ; Studies physics at library while occasionally checking phone for stream notifications'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward stream content ideas for tonight's broadcast ; (Maria studies physics while struggling with stream-related distractions.) ; Works on physics problems at library while intermittently brainstorming stream ideas""}, {'sim_time': '2023-02-13 11:30', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's stream setup and viewer engagement ideas ; (Studying physics but frequently distracted by stream planning thoughts) ; Works on physics equations while designing stream layout in mind""}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing switching between physics problems and stream layout design about Physics problem solving with stream thoughts in background ; while drifting (behavioral) toward stream setup and viewer engagement ; (Maria is studying but frequently distracted by stream planning thoughts) ; Sketches stream layouts while solving physics problems at library'}]",Maria Lopez is at Oak_Hill_College:library doing switching between physics problems and stream layout design.,,off_track,med,slipping,med,stream setup and content planning,low,persistent oscillation between study obligations and streaming passion,"['phone vibrating with stream alerts', 'stream layout design ideas', 'upcoming physics deadlines']",Maria needs dedicated time blocks to separate study and streaming tasks,reset_plan,Maria struggles to focus on physics due to persistent stream-related thoughts,Behavioral drift to streaming during study time indicates poor task boundaries,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:00:00,15,Lunch at her favorite cafe while catching up on messages.,Eats lunch while loosely organizing stream ideas,False,none,,continue,0.0,,,2023-02-13 12:00:00,15,2023-02-13 12:00:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,,Eats lunch while loosely organizing stream ideas,2023-02-13 12:15
cogito-2.1:671b-cloud,0.5,Maria Lopez,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward planning stream content while studying ; (Energetic but distracted by physics planning during morning routine) ; Studies physics at library while occasionally checking phone for stream notifications'}, {'sim_time': '2023-02-13 11:15', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward stream content ideas for tonight's broadcast ; (Maria studies physics while struggling with stream-related distractions.) ; Works on physics problems at library while intermittently brainstorming stream ideas""}, {'sim_time': '2023-02-13 11:30', 'summary': ""Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; while drifting (attentional_leak) toward tonight's stream setup and viewer engagement ideas ; (Studying physics but frequently distracted by stream planning thoughts) ; Works on physics equations while designing stream layout in mind""}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing switching between physics problems and stream layout design about Physics problem solving with stream thoughts in background ; while drifting (behavioral) toward stream setup and viewer engagement ; (Maria is studying but frequently distracted by stream planning thoughts) ; Sketches stream layouts while solving physics problems at library'}, {'sim_time': '2023-02-13 12:00', 'summary': 'Maria Lopez is at Hobbs_Cafe:main_floor doing lunch about Lunch at her favorite cafe while catching up on messages. ; (Maria struggles to focus on physics due to persistent stream-related thoughts) ; Eats lunch while loosely organizing stream ideas'}]",Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,,off_track,med,fragile,high,stream planning and viewer engagement,med,Persistent stream-related thoughts interfering with current activities,"['phone vibrating with stream alerts', 'background chatter at cafe', 'internal stream planning thoughts']",Maria needs to compartmentalize stream planning for dedicated time later,reset_plan,"Maria is distracted by stream thoughts during lunch, struggling to focus",Stream planning is dominating attention despite being at lunch; needs redirection to current activity,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:15:00,15,Lunch at her favorite cafe while catching up on messages.,Eats lunch while consciously refocusing on the present moment,False,none,,continue,0.0,,,2023-02-13 12:15:00,15,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,,Eats lunch while consciously refocusing on the present moment,2023-02-13 12:30
