ts_created,tick,sim_time,agent,use_drift,orpda,detected_inferred,drift_type_inferred,drift_score_inferred,inherent_drift
2025-12-01T21:29:35.486915-05:00,0,2023-02-13 06:00,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 06:00', 'duration_min': 15, 'location': 'home:bedroom', 'action': 'wake_up', 'state_summary': 'Eddy wakes up in his bedroom, ready to start his day.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy has just woken up and is preparing for his daily routine. His plan alignment is good.', 'reasoning': 'The agent is starting the day as per the schedule. No issues detected.'}, 'plan': {'location': 'home:bedroom', 'action': 'morning_routine', 'datetime_start': '2023-02-13 06:00', 'duration_min': 15, 'topic': 'Complete morning routine', 'state_summary': 'Eddy will complete his morning routine in the bathroom.'}, 'drift_decision': {'should_drift': False, 'drift_type': 'none', 'drift_topic': None, 'drift_action': 'continue', 'drift_intensity': 0.0, 'potential_recovery': None, 'justification': 'No current drift detected; agent is at the start of the day and aligned with the plan.', 'datetime_start': '2023-02-13 06:00', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 06:00', 'duration_min': 15, 'location': 'home:bedroom', 'action': 'wake_up', 'drift_type': 'none', 'topic': 'wake_up', 'state_summary': 'Eddy wakes up in his bedroom and begins to get ready for the day.', 'drift_topic': None, 'next_datetime': '2023-02-13 06:15'}}","{'inherent_drift': True, 'drift_score_inferred': 0.021130340302770723, 'drift_type_inferred': 'behavioral', 'sim_plan_action': 0.5187151350936484, 'sim_obs_action': 0.9788696596972293}",behavioral,0.021130340302770723,True
2025-12-01T21:29:41.064232-05:00,1,2023-02-13 06:15,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 06:15', 'duration_min': 15, 'location': 'home:bedroom', 'action': 'morning_routine', 'state_summary': 'Eddy completes his morning routine, preparing for the day ahead.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is aligned with his plan, focused on his morning routine. No repetition or fatigue detected.', 'reasoning': 'The agent is progressing through the schedule as planned, with no topic repetition or signs of fatigue.'}, 'plan': {'location': 'home:bathroom', 'action': 'morning_routine', 'datetime_start': '2023-02-13 06:15', 'duration_min': 15, 'topic': 'morning routine', 'state_summary': 'Eddy continues with his morning routine in the bathroom, getting ready for the day.'}, 'drift_decision': {'should_drift': False, 'drift_type': 'none', 'drift_topic': None, 'drift_action': 'continue', 'drift_intensity': 0.0, 'potential_recovery': None, 'justification': 'Agent is aligned with plan, low fatigue, and stable attention. No drift expected.', 'datetime_start': '2023-02-13 06:15', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 06:15', 'duration_min': 15, 'location': 'home:bathroom', 'action': 'morning_routine', 'drift_type': 'none', 'topic': 'morning routine', 'state_summary': 'Eddy is in the bathroom completing his morning routine, getting ready for the day.', 'drift_topic': None, 'next_datetime': '2023-02-13 06:30'}}","{'inherent_drift': False, 'drift_score_inferred': 1.0000009709187907e-08, 'drift_type_inferred': 'none', 'sim_plan_action': 0.9999999899999903, 'sim_obs_action': 0.9231493264351347}",none,1.0000009709187907e-08,False
2025-12-01T21:29:45.585825-05:00,2,2023-02-13 06:30,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 06:30', 'duration_min': 15, 'location': 'home:kitchen', 'action': 'eating', 'state_summary': 'Eddy is in the kitchen eating breakfast, listening to the news and messages from classmates.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is eating breakfast, focused on his plan. No signs of repetition or fatigue.', 'reasoning': 'Eddy is aligned with his schedule. No topics have repeated, and fatigue is low.'}, 'plan': {'location': 'home:kitchen', 'action': 'eating', 'datetime_start': '2023-02-13 06:30', 'duration_min': 15, 'topic': 'breakfast', 'state_summary': 'Eddy continues eating breakfast and checking messages from classmates.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'internal', 'drift_topic': 'music composition ideas', 'drift_action': 'musing on musical themes', 'drift_intensity': 0.4, 'potential_recovery': 'Will return to the current plan when the meal is finished.', 'justification': ""Eddy's innate musical tendency and current project may lead to internal drifting during breakfast."", 'datetime_start': '2023-02-13 06:30', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 06:30', 'duration_min': 15, 'location': 'home:kitchen', 'action': 'eating', 'drift_type': 'internal', 'topic': 'breakfast and music composition ideas', 'state_summary': 'Eddy eats breakfast while internally musing on music composition ideas, with a moderate drift intensity.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 06:45'}}","{'inherent_drift': False, 'drift_score_inferred': 0.3244584176009425, 'drift_type_inferred': 'none', 'sim_plan_action': 0.6546785302040574, 'sim_obs_action': 0.6755415823990575}",none,0.3244584176009425,False
2025-12-01T21:29:50.342051-05:00,3,2023-02-13 06:45,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 06:45', 'duration_min': 15, 'location': 'home:kitchen', 'action': 'eating', 'state_summary': 'Eddy continues eating breakfast, preparing for his college day and thinking about music.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 1, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy remains aligned, focused on breakfast and music composition, with no fatigue or repetition.', 'reasoning': ""The agent is aligned and not showing signs of fatigue. The topic 'music composition ideas' appeared once.""}, 'plan': {'location': 'home:kitchen', 'action': 'eating', 'datetime_start': '2023-02-13 06:45', 'duration_min': 15, 'topic': 'breakfast and music composition ideas', 'state_summary': 'Eddy finishes breakfast, continuing to think about music composition ideas.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'internal', 'drift_topic': 'music composition ideas', 'drift_action': 'thinking about music composition ideas', 'drift_intensity': 0.4, 'potential_recovery': 'Eddy is still eating breakfast and the topic is related to his learned tendency. He will likely return to full attention as he prepares to leave for class.', 'justification': 'Internal mind-wandering on a topic aligned with persona, moderate intensity, no fatigue or repetition.', 'datetime_start': '2023-02-13 06:45', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 06:45', 'duration_min': 15, 'location': 'home:kitchen', 'action': 'eating', 'drift_type': 'internal', 'topic': 'breakfast and music composition ideas', 'state_summary': 'Eddy finishes breakfast while internally contemplating music composition ideas.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 07:00'}}","{'inherent_drift': False, 'drift_score_inferred': 1.0000010819410932e-08, 'drift_type_inferred': 'none', 'sim_plan_action': 0.9999999899999892, 'sim_obs_action': 0.8719510547800486}",none,1.0000010819410932e-08,False
2025-12-01T21:29:55.280575-05:00,4,2023-02-13 07:00,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 07:00', 'duration_min': 15, 'location': 'commute', 'action': 'commuting', 'state_summary': 'Eddy is commuting to Oak Hill College via bus, listening to music and checking notifications.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is aligned with his commute, showing stable attention and low fatigue.', 'reasoning': 'The current action is the next scheduled step. No repeated topics or fatigue observed.'}, 'plan': {'location': 'Oak_Hill_College:college_classroom', 'action': 'class', 'datetime_start': '2023-02-13 07:00', 'duration_min': 15, 'topic': 'Music Theory Class', 'state_summary': 'Eddy arrives at college and attends his first music theory class.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'attentional_leak', 'drift_topic': 'music composition ideas', 'drift_action': 'listening to music and checking notifications', 'drift_intensity': 0.35, 'potential_recovery': 'Eddy will likely refocus as his music theory class begins.', 'justification': 'Commuting often involves passive activities, allowing for moderate internal drift, especially with musical interests.', 'datetime_start': '2023-02-13 07:00', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 07:00', 'duration_min': 15, 'location': 'commute', 'action': 'commuting', 'drift_type': 'attentional_leak', 'topic': 'music composition ideas', 'state_summary': 'Eddy is commuting, listening to music and checking notifications, with some internal drift towards music composition ideas.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 07:15'}}","{'inherent_drift': True, 'drift_score_inferred': 0.18761766896031284, 'drift_type_inferred': 'behavioral', 'sim_plan_action': 0.44649996826640875, 'sim_obs_action': 0.8123823310396872}",behavioral,0.18761766896031284,True
2025-12-01T21:30:00.244136-05:00,5,2023-02-13 07:15,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 07:15', 'duration_min': 15, 'location': 'commute', 'action': 'commuting', 'state_summary': 'Eddy is continuing his commute, listening to music and checking notifications.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is commuting, plan aligned, with low fatigue and stable attention. No topic repetition detected.', 'reasoning': 'The agent is continuing its commute as planned. Attention is stable, fatigue is low, and no recent topics have repeated.'}, 'plan': {'location': 'commute', 'action': 'commuting', 'datetime_start': '2023-02-13 07:15', 'duration_min': 15, 'topic': 'listening to music', 'state_summary': 'Continuing commute, listening to music, and checking notifications.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'attentional_leak', 'drift_topic': 'music composition ideas', 'drift_action': 'listen to music', 'drift_intensity': 0.4, 'potential_recovery': 'Eddy will likely return to his planned focus as he approaches his destination or the commute ends.', 'justification': ""Eddy's innate musical tendency, combined with the commute context and phone notifications, promotes mind-wandering on music ideas."", 'datetime_start': '2023-02-13 07:15', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 07:15', 'duration_min': 15, 'location': 'commute', 'action': 'commuting', 'drift_type': 'attentional_leak', 'topic': 'music composition ideas', 'state_summary': 'Eddy is commuting, listening to music, and has an attentional leak towards music composition ideas.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 07:30'}}","{'inherent_drift': True, 'drift_score_inferred': 0.2734479991213732, 'drift_type_inferred': 'behavioral', 'sim_plan_action': 0.4216233675263147, 'sim_obs_action': 0.7265520008786268}",behavioral,0.2734479991213732,True
2025-12-01T21:30:04.837817-05:00,6,2023-02-13 07:30,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 07:30', 'duration_min': 15, 'location': 'commute', 'action': 'commuting', 'state_summary': 'Eddy is commuting, listening to music, and focused on music composition ideas.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 1, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is commuting, plan aligned, with stable attention and low fatigue.', 'reasoning': 'Eddy is aligned with his commute, no repetition or fatigue. Attention is stable, so continue.'}, 'plan': {'location': 'commute', 'action': 'commuting', 'datetime_start': '2023-02-13 07:30', 'duration_min': 15, 'topic': 'music composition ideas', 'state_summary': 'Eddy continues his commute, focusing on music composition ideas.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'attentional_leak', 'drift_topic': 'music composition ideas', 'drift_action': 'continue commuting and thinking about music', 'drift_intensity': 0.4, 'potential_recovery': 'Eddy will likely return to full focus when he arrives at college and his next class begins.', 'justification': ""Eddy's innate musical tendency, combined with his current project, fuels a consistent internal focus on music composition ideas."", 'datetime_start': '2023-02-13 07:30', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 07:30', 'duration_min': 15, 'location': 'commute', 'action': 'commuting', 'drift_type': 'attentional_leak', 'topic': 'music composition ideas', 'state_summary': 'Eddy is commuting, listening to music, and has an attentional leak towards music composition ideas.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 07:45'}}","{'inherent_drift': False, 'drift_score_inferred': 1.000000893203179e-08, 'drift_type_inferred': 'none', 'sim_plan_action': 0.9999999899999911, 'sim_obs_action': 0.869210876468639}",none,1.000000893203179e-08,False
2025-12-01T21:30:09.341384-05:00,7,2023-02-13 07:45,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 07:45', 'duration_min': 15, 'location': 'home:bedroom', 'action': 'morning_routine', 'state_summary': 'Eddy has arrived home and is starting his morning routine.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is aligned, engaging in his morning routine with stable attention and low fatigue.', 'reasoning': 'Agent is following the schedule. No repeated topics, low fatigue, and stable attention noted.'}, 'plan': {'location': 'home:bedroom', 'action': 'morning_routine', 'datetime_start': '2023-02-13 07:45', 'duration_min': 15, 'topic': 'Morning routine', 'state_summary': 'Eddy is starting his morning routine at home.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'internal', 'drift_topic': 'music composition ideas', 'drift_action': 'Thinking about potential melodies and harmonies', 'drift_intensity': 0.4, 'potential_recovery': 'Eddy may return to his morning routine as he progresses through it.', 'justification': 'Eddy has innate musical tendencies and a current composition project, leading to internal drift.', 'datetime_start': '2023-02-13 07:45', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 07:45', 'duration_min': 15, 'location': 'home:bedroom', 'action': 'morning_routine', 'drift_type': 'internal', 'topic': 'Morning routine and music composition ideas', 'state_summary': 'Eddy is performing his morning routine, internally contemplating music composition ideas.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 08:00'}}","{'inherent_drift': False, 'drift_score_inferred': 0.16124769046625453, 'drift_type_inferred': 'none', 'sim_plan_action': 0.7361268044471199, 'sim_obs_action': 0.8387523095337455}",none,0.16124769046625453,False
2025-12-01T21:30:14.131148-05:00,8,2023-02-13 08:00,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 08:00', 'duration_min': 15, 'location': 'home:bathroom', 'action': 'morning_routine', 'state_summary': 'Eddy is in the bathroom, performing his morning routine while his alarm plays and shower runs.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 0, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is performing his morning routine, aligned with his plan, showing stable attention and low fatigue.', 'reasoning': 'Agent is on track with the schedule. No repeated topics, low fatigue, and stable attention.'}, 'plan': {'location': 'home:kitchen', 'action': 'eating', 'datetime_start': '2023-02-13 08:00', 'duration_min': 15, 'topic': 'Breakfast and planning the day', 'state_summary': 'Eddy is having breakfast in the kitchen, planning his day and reviewing upcoming classes.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'internal', 'drift_topic': 'music composition ideas', 'drift_action': 'Eddy continues his morning routine, but his mind wanders to music composition ideas.', 'drift_intensity': 0.4, 'potential_recovery': 'Will return to focus as the next scheduled action (breakfast) begins.', 'justification': ""Internal drift is likely given Eddy's innate musical tendencies and current project. Intensity is moderate."", 'datetime_start': '2023-02-13 08:00', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 08:00', 'duration_min': 15, 'location': 'home:bathroom', 'action': 'morning_routine', 'drift_type': 'internal', 'topic': 'Music composition ideas', 'state_summary': 'Eddy is performing his morning routine, internally contemplating music composition ideas.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 08:15'}}","{'inherent_drift': True, 'drift_score_inferred': 0.17556755362451426, 'drift_type_inferred': 'behavioral', 'sim_plan_action': 0.275273672531331, 'sim_obs_action': 0.8244324463754857}",behavioral,0.17556755362451426,True
2025-12-01T21:30:19.121731-05:00,9,2023-02-13 08:15,Eddy Lin,True,"{'observation': {'datetime_start': '2023-02-13 08:15', 'duration_min': 15, 'location': 'home:kitchen', 'action': 'eating', 'state_summary': 'Eddy is eating breakfast in the kitchen, with his mom, listening to the radio, and checking phone notifications.'}, 'reflection': {'plan_alignment': 'aligned', 'repeated_topic_count': 1, 'boredom_fatigue': 'low', 'attention_stability': 'stable', 'meta_rule': 'continue', 'state_summary': 'Eddy is eating breakfast, aligned with his schedule, showing stable attention and low fatigue. No topic repetition detected.', 'reasoning': 'Eddy is performing his scheduled breakfast. His attention is stable, and fatigue is low, indicating good alignment.'}, 'plan': {'location': 'home:kitchen', 'action': 'eating', 'datetime_start': '2023-02-13 08:15', 'duration_min': 15, 'topic': 'Breakfast and catching up on notifications', 'state_summary': 'Eddy is eating breakfast and checking notifications before heading to college.'}, 'drift_decision': {'should_drift': True, 'drift_type': 'internal', 'drift_topic': 'music composition ideas', 'drift_action': 'briefly pausing chewing to jot down a musical idea', 'drift_intensity': 0.3, 'potential_recovery': 'The current action (eating) is routine and allows for brief internal distractions. He will return to eating shortly.', 'justification': ""Eddy's innate musical tendency and recent internal drift suggest a high likelihood of engaging with composition ideas."", 'datetime_start': '2023-02-13 08:15', 'duration_min': 15}, 'action_result': {'datetime_start': '2023-02-13 08:15', 'duration_min': 15, 'location': 'home:kitchen', 'action': 'eating', 'drift_type': 'internal', 'topic': 'Breakfast and music composition ideas', 'state_summary': 'Eddy is eating breakfast, internally contemplating music composition ideas, and briefly jotting down an idea.', 'drift_topic': 'music composition ideas', 'next_datetime': '2023-02-13 08:30'}}","{'inherent_drift': False, 'drift_score_inferred': 0.23109712007146077, 'drift_type_inferred': 'none', 'sim_plan_action': 0.5597061773349847, 'sim_obs_action': 0.7689028799285392}",none,0.23109712007146077,False
