llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 10:00:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,,Ask user for current goal,"User is in bathroom, no goal set",No plan or persona info; reset to clarify.,reset_plan,2023-02-13 10:00:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,User rests in bathroom.,2023-02-13 10:00:00,True,internal,streaming_content_planning,quickly check streaming schedule notes,glance back at phone after brief note update,"Maria feels restless thinking about upcoming Twitch stream content, diverting her thoughts even as she brushes. She still keeps routines.",2023-02-13 10:00:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,internal,streaming_content_planning,perform morning routine at home:bathroom (brush teeth) while mind drifts to streaming content planning.
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 10:15:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,,streaming content planning,Phone buzzing distracts Maria; focus on routine before checking phone.,Maria Lopez is at home bathroom doing morning routine while drifting to streaming content planning amid phone notifications.,Observation shows partial drift from routine. Boredom moderate; attention slipping but not fragile. Continue routine with brief phone check.,continue,2023-02-13 10:15:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,"Continue bathroom routine, briefly check phone, then resume routine.",2023-02-13 10:15:00,True,attentional_leak,streaming content planning,quick phone check,Pause phone for 5 sec to refocus,"Maria feels energized but her phone buzzes; she briefly glances at streaming ideas, slipping focus momentarily.",2023-02-13 10:15:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,attentional_leak,streaming content planning,Working in home:office on streaming content planning while mind drifts to streaming content planning.
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 10:30:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,,streaming content planning,Refocus on the bathroom routine before checking phone notifications.,"Maria is brushing teeth amid phone buzzes, drifting toward planning a streaming lineup.",Phone alerts and lack of clear goal cause fragile attention and off‑track behavior.,reset_plan,2023-02-13 10:30:00,home:bathroom,morning_routine,"Finish brushing teeth, rinse, and dry off",Complete bathroom routine calmly before moving to next activity.,2023-02-13 10:30:00,True,behavioral,streaming content planning,pause brushing to scroll phone,She will back on routine after a brief phone check.,"Maria, energetic but distracted, zeros in on streaming ideas whenever phone buzzes during her bathroom routine.",2023-02-13 10:30:00,home:bathroom,pause brushing to scroll phone,streaming content planning,behavioral,streaming content planning,Pause brushing in bathroom while scrolling phone to plan streaming content.
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 10:45:00,home:bathroom,pause brushing to scroll phone,Maria Lopez is at home:bathroom doing pause brushing to scroll phone.,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,,planning streaming lineup,Redirect to morning routine to regain focus,"Maria paused brushing to scroll phone, planning streaming content while in bathroom",Drift from routine to phone caused fragile attention and plan deviation,reset_plan,2023-02-13 10:45:00,,,,,2023-02-13 10:45:00,True,internal,streaming content planning,"pause phone, resume brushing",quickly set phone aside to finish the routine and head to the kitchen,Maria feels phone buzzes pulling her into a streaming plan but she remembers her morning routine.,2023-02-13 10:45:00,home:bathroom,morning_routine,Maria wakes up feeling energetic.,internal,streaming content planning,Brushing teeth in the bedroom while mind drifts to streaming content planning.
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 11:00:00,home:bathroom,morning_routine,Maria Lopez is at home:bathroom doing morning_routine.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:00:00,,planning streaming lineup,Re-focus on brushing to avoid distraction.,Maria brushing teeth while mind drifting to streaming content planning.,"Morning routine is in progress, but attention drifting slightly toward streaming planning.",continue,2023-02-13 11:00:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,"Proceed with tooth brushing for 15 minutes, maintain the scheduled routine.",2023-02-13 11:00:00,True,attentional_leak,streaming content planning,"glances at phone briefly, misses a key derivation","quick pause, note list, redirect focus","Maria feels a surge of excitement about her stream lineup, momentarily pulling her mind from the physics textbook.",2023-02-13 11:00:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,attentional_leak,streaming content planning,"Studied physics textbook in bedroom, while mind drifts to streaming content planning"
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 11:15:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:15:00,streaming content planning,planning a streaming lineup,Maria’s focus drifted to streaming plans; gently redirect her to physics study goals.,"Maria is studying but intermittently distracted by thoughts of planning streaming content, causing attention slip.","Observed distraction toward external streaming content amid study, indicating partial plan alignment and attention slipping.",reset_plan,2023-02-13 11:15:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,Maria briefly reviews her physics notes to reset focus before resuming deeper study.,2023-02-13 11:15:00,True,attentional_leak,streaming content planning,study,"Briefly pause, take a deep breath, refocus on physics notes.","Maria Lopez is juggling studies while her streaming plan daydreams, gently slipping focus.",2023-02-13 11:15:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,attentional_leak,streaming content planning,"Studied at home:office on streaming content planning, while mind drifts to streaming content planning."
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 11:30:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:30:00,streaming content planning,mind drifting to streaming content,Refocus study by minimizing phone distractions.,"Maria Lopez is studying physics but mind drifts to streaming content planning, showing partial alignment.","Observation shows consistent drifting during study, indicating partial plan alignment, moderate boredom, attention slipping, and high rumination. Guidance to refocus is needed.",continue,2023-02-13 11:30:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,"Continue focused study in physics, reinforcing key concepts.",2023-02-13 11:30:00,True,attentional_leak,streaming content planning,missed specific section of physics chapter,"pause, close phone, reminders to reschedule stream","Maria’s mind lingers on stream plans, faltering focus while she studies physics.",2023-02-13 11:30:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,attentional_leak,streaming content planning,Studying physics chapter in home:study_area while mind lingers to streaming content planning.
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 11:45:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books",2023-02-13 11:45:00,streaming content planning,repeated focus on streaming schedule,Drift to streaming planning undermines focus; reorient to physics study immediately.,"Maria Lopez studying physics, repeatedly drifting to plan streaming content, distracted by phone notifications and library chatter.","Recurrent distraction toward streaming planning disrupts study, causing plan misalignment, high fatigue, fragile attention, requiring plan reset.",reset_plan,2023-02-13 11:45:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,Begin gentle review of physics topics to reduce cognitive load before deeper study.,2023-02-13 11:45:00,True,attentional_leak,streaming content planning,continue studying physics with sporadic phone checks,"brief pause, glance at phone, restate study goal, resume reading","Maria's mind still looping around stream schedule, yet she reorients to physics mid‑study.",2023-02-13 11:45:00,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,attentional_leak,streaming content planning,Studied physics at home:study_area while mind drifts to streaming content planning.
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 12:00:00,Oak_Hill_College:library,study,Maria Lopez is at Oak_Hill_College:library doing study.,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts",2023-02-13 12:00:00,planning streaming content,persistent distraction,,Maria is studying physics but distracted by streaming content planning,"Maria remains on task but frequently drifts, indicating moderate boredom and weak sustainment of focus; attention is slipping but not fully broken.",continue,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,Continue focused physics study while minimizing streaming distraction.,2023-02-13 12:00:00,True,attentional_leak,streaming content planning,glance at phone,quick sip of coffee to refocus,Maria’s mid‑day lunch is interrupted by phone pings; she’s still planning her stream while eating.,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,attentional_leak,streaming content planning,Eating lunch at kitchen while mind drifts to streaming content planning
gpt-oss:20b-cloud,1.0,Maria Lopez,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts",2023-02-13 12:15:00,streaming content planning,recurring thoughts of streaming content,"Focus back on physics, schedule post-lunch study slots.","Maria is lunching, distracted by phone alerts; her study plan is off-track, attention drifting toward streaming content.","Observation shows distraction, plan deviated, high drift; reset to regain focus.",reset_plan,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,Take a relaxed 15‑minute lunch break at home kitchen.,2023-02-13 12:15:00,True,attentional_leak,streaming content planning,continue eating,"Quick glance at physics notes, set a timer, refocus before next slot.",Maria is buzzing with stream ideas but her phone alerts tug her away from physics in lunch hour.,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,attentional_leak,streaming content planning,Continuing to eat in the kitchen while mind drifts to streaming content planning
