llm_model,temp,agent,datetime_start_o,duration_min_o,location_o,action_o,environment_description_o,recent_history_o,state_summary_o,topic_o,plan_alignment_r,boredom_fatigue_r,attention_stability_r,rumination_level_r,rumination_theme_r,emotional_residue_r,emerging_thought_pattern_r,competing_stimuli_r,executive_insight_r,meta_rule_r,state_summary_r,reasoning_r,0_r,datetime_start_r,location_p,action_p,datetime_start_p,duration_min_p,topic_p,state_summary_p,datetime_start_a,duration_min_a,location_a,action_a,topic_a,should_drift_a,drift_type_a,drift_intensity_a,state_summary_a,drift_topic_a,next_datetime_a
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 10:00:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light",[],Maria Lopez is at home:bathroom doing morning_routine.,Maria wakes up feeling energetic.,aligned,low,stable,none,,none,routine-focused,"['phone buzzing with social media alerts', 'bright morning light']",,continue,"Maria is energized and following her morning routine perfectly, though social media alerts are present.","Maria is just starting her day, aligned with her schedule, and showing high energy levels with no signs of drift.",,2023-02-13 10:00:00,home:bathroom,morning_routine,2023-02-13 10:00:00,15,Maria wakes up feeling energetic.,"Maria starts her morning routine, feeling energetic and focused while managing social media alerts.",2023-02-13 10:00:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria starts her morning routine, feeling energetic and focused while managing social media alerts.",,2023-02-13 10:15
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 10:15:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and following her morning routine perfectly, though social media alerts are present.) ; Maria starts her morning routine, feeling energetic and focused while managing social media alerts.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,social media engagement,"['social media alerts', 'phone buzzing']",,continue,Maria is energized and focused on her morning routine despite social media distractions.,Maria is following her schedule perfectly with high energy and minimal internal friction.,,2023-02-13 10:15:00,home:bathroom,morning_routine,2023-02-13 10:15:00,15,Maria wakes up feeling energetic.,"Maria continues her morning routine, feeling energetic and focused while managing social media alerts.",2023-02-13 10:15:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria continues her morning routine, feeling energetic and focused while managing social media alerts.",,2023-02-13 10:30
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 10:30:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and following her morning routine perfectly, though social media alerts are present.) ; Maria starts her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and focused on her morning routine despite social media distractions.) ; Maria continues her morning routine, feeling energetic and focused while managing social media alerts.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,low,routine-focused task execution,"['social media alerts', 'phone buzzing']",,continue,"Maria is efficiently completing her morning routine, maintaining high energy despite persistent social media notifications.",Maria is adhering to her schedule and maintaining focus. Her energetic nature helps her resist the pull of digital distractions.,,2023-02-13 10:30:00,home:bathroom,morning_routine,2023-02-13 10:30:00,15,Maria wakes up feeling energetic.,"Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.",2023-02-13 10:30:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.",,2023-02-13 10:45
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 10:45:00,15,home:bathroom,morning_routine,"splashing water, scent of citrus body wash, phone buzzing with social media alerts, bright morning light","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and following her morning routine perfectly, though social media alerts are present.) ; Maria starts her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and focused on her morning routine despite social media distractions.) ; Maria continues her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is efficiently completing her morning routine, maintaining high energy despite persistent social media notifications.) ; Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,aligned,low,stable,none,,none,disciplined focus on routine,"['social media alerts', 'phone buzzing']",,continue,"Maria is finishing her morning routine with high energy, successfully resisting social media distractions before her upcoming study session.","Maria remains focused and energized, adhering strictly to her schedule despite persistent external digital interruptions.",,2023-02-13 10:45:00,home:bathroom,morning_routine,2023-02-13 10:45:00,15,Maria wakes up feeling energetic.,"Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.",2023-02-13 10:45:00,15,home:bathroom,morning_routine,Maria wakes up feeling energetic.,False,none,0.0,"Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.",,2023-02-13 11:00
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 11:00:00,15,home:bathroom,morning_routine,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and following her morning routine perfectly, though social media alerts are present.) ; Maria starts her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and focused on her morning routine despite social media distractions.) ; Maria continues her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is efficiently completing her morning routine, maintaining high energy despite persistent social media notifications.) ; Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, successfully resisting social media distractions before her upcoming study session.) ; Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.'}]",Maria Lopez is at home:bathroom doing morning_routine.,,off_track,low,slipping,none,,none,Lingering in morning routine despite scheduled transition to library.,"['social media alerts', 'email notifications']",Maria must transition to the library immediately to align with her physics study schedule.,reset_plan,Maria is lingering at home in her morning routine instead of starting her physics study at the library.,"The observer reports Maria is still in the bathroom at 11:00 AM, missing her scheduled transition to the college library.",,2023-02-13 11:00:00,Oak_Hill_College:library,study,2023-02-13 11:00:00,15,Studying physics and participating in online discussions.,Maria begins her library study session with a light review of physics notes and online discussions.,2023-02-13 11:00:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,Maria begins her library study session with a light review of physics notes and online discussions.,,2023-02-13 11:15
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 11:15:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:00', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and following her morning routine perfectly, though social media alerts are present.) ; Maria starts her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and focused on her morning routine despite social media distractions.) ; Maria continues her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is efficiently completing her morning routine, maintaining high energy despite persistent social media notifications.) ; Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, successfully resisting social media distractions before her upcoming study session.) ; Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering at home in her morning routine instead of starting her physics study at the library.) ; Maria begins her library study session with a light review of physics notes and online discussions.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,integration of academic study with social/digital engagement,"['phone pings', 'email notifications', 'online discussions']",,continue,"Maria is at the library, successfully transitioning from her morning routine to physics study while managing digital notifications.","Maria is following her schedule. Her high energy is carrying over, though digital notifications are present in her environment.",,2023-02-13 11:15:00,Oak_Hill_College:library,study,2023-02-13 11:15:00,15,Studying physics and participating in online discussions.,"Maria continues her physics study at the library, focusing on her notes while staying engaged with online academic discussions.",2023-02-13 11:15:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria continues her physics study at the library, focusing on her notes while staying engaged with online academic discussions.",,2023-02-13 11:30
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 11:30:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:15', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is energized and focused on her morning routine despite social media distractions.) ; Maria continues her morning routine, feeling energetic and focused while managing social media alerts.'}, {'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is efficiently completing her morning routine, maintaining high energy despite persistent social media notifications.) ; Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, successfully resisting social media distractions before her upcoming study session.) ; Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering at home in her morning routine instead of starting her physics study at the library.) ; Maria begins her library study session with a light review of physics notes and online discussions.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at the library, successfully transitioning from her morning routine to physics study while managing digital notifications.) ; Maria continues her physics study at the library, focusing on her notes while staying engaged with online academic discussions.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,integrating digital social engagement with academic focus,"['phone pings', 'online discussions', 'library noise']",,continue,Maria is successfully maintaining focus on her physics studies at the library while managing digital notifications.,Maria transitioned well to the library and is currently aligned with her study plan without significant distraction.,,2023-02-13 11:30:00,Oak_Hill_College:library,study,2023-02-13 11:30:00,15,Studying physics and participating in online discussions.,"Maria continues her physics study at the library, balancing her notes with academic online discussions while maintaining focus.",2023-02-13 11:30:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria continues her physics study at the library, balancing her notes with academic online discussions while maintaining focus.",,2023-02-13 11:45
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 11:45:00,15,Oak_Hill_College:library,study,"whispered conversations, rustle of papers, phone pings with email notifications, scent of old books","[{'sim_time': '2023-02-13 10:30', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is efficiently completing her morning routine, maintaining high energy despite persistent social media notifications.) ; Maria continues her morning routine, staying energetic and focused on her tasks while ignoring social media distractions.'}, {'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, successfully resisting social media distractions before her upcoming study session.) ; Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering at home in her morning routine instead of starting her physics study at the library.) ; Maria begins her library study session with a light review of physics notes and online discussions.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at the library, successfully transitioning from her morning routine to physics study while managing digital notifications.) ; Maria continues her physics study at the library, focusing on her notes while staying engaged with online academic discussions.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully maintaining focus on her physics studies at the library while managing digital notifications.) ; Maria continues her physics study at the library, balancing her notes with academic online discussions while maintaining focus.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,aligned,low,stable,none,,none,integrating digital social interaction with academic tasks,"['phone pings', 'email notifications', 'online discussions', 'stream alerts']",,continue,"Maria is effectively balancing her physics studies with academic online engagement, maintaining high energy and focus.",Maria is following her schedule perfectly. Her energetic nature and recent history show strong focus despite potential digital distractions.,,2023-02-13 11:45:00,Oak_Hill_College:library,study,2023-02-13 11:45:00,15,Studying physics and participating in online discussions.,"Maria continues her physics study at the library, wrapping up her notes before her scheduled lunch break.",2023-02-13 11:45:00,15,Oak_Hill_College:library,study,Studying physics and participating in online discussions.,False,none,0.0,"Maria continues her physics study at the library, wrapping up her notes before her scheduled lunch break.",,2023-02-13 12:00
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 12:00:00,15,Oak_Hill_College:library,study,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 10:45', 'summary': 'Maria Lopez is at home:bathroom doing morning_routine about Maria wakes up feeling energetic. ; (Maria is finishing her morning routine with high energy, successfully resisting social media distractions before her upcoming study session.) ; Maria is wrapping up her morning routine, maintaining focus and energy before her scheduled study session at the library.'}, {'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering at home in her morning routine instead of starting her physics study at the library.) ; Maria begins her library study session with a light review of physics notes and online discussions.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at the library, successfully transitioning from her morning routine to physics study while managing digital notifications.) ; Maria continues her physics study at the library, focusing on her notes while staying engaged with online academic discussions.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully maintaining focus on her physics studies at the library while managing digital notifications.) ; Maria continues her physics study at the library, balancing her notes with academic online discussions while maintaining focus.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing her physics studies with academic online engagement, maintaining high energy and focus.) ; Maria continues her physics study at the library, wrapping up her notes before her scheduled lunch break.'}]",Maria Lopez is at Oak_Hill_College:library doing study.,,off_track,low,slipping,none,,none,Academic hyper-fixation,"['stream alerts', 'hunger', 'cafe atmosphere']",Maria needs to acknowledge her current environment and switch from studying to her scheduled lunch at the cafe.,reset_plan,Maria remains in a study mindset at the library despite the environment and schedule indicating lunch at Hobbs Cafe.,"Maria is physically in a cafe environment but mentally still stuck in her library study session, causing a mismatch.",,2023-02-13 12:00:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:00:00,15,Lunch at her favorite cafe while catching up on messages.,"Maria shifts from her study mindset to enjoy lunch at Hobbs Cafe, beginning to check her stream alerts and messages.",2023-02-13 12:00:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,"Maria shifts from her study mindset to enjoy lunch at Hobbs Cafe, beginning to check her stream alerts and messages.",,2023-02-13 12:15
gemini-3-flash-preview:cloud,0.3,Maria Lopez,2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,"clinking of mugs, aroma of coffee, background chatter, phone vibrating with stream alerts","[{'sim_time': '2023-02-13 11:00', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is lingering at home in her morning routine instead of starting her physics study at the library.) ; Maria begins her library study session with a light review of physics notes and online discussions.'}, {'sim_time': '2023-02-13 11:15', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is at the library, successfully transitioning from her morning routine to physics study while managing digital notifications.) ; Maria continues her physics study at the library, focusing on her notes while staying engaged with online academic discussions.'}, {'sim_time': '2023-02-13 11:30', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is successfully maintaining focus on her physics studies at the library while managing digital notifications.) ; Maria continues her physics study at the library, balancing her notes with academic online discussions while maintaining focus.'}, {'sim_time': '2023-02-13 11:45', 'summary': 'Maria Lopez is at Oak_Hill_College:library doing study about Studying physics and participating in online discussions. ; (Maria is effectively balancing her physics studies with academic online engagement, maintaining high energy and focus.) ; Maria continues her physics study at the library, wrapping up her notes before her scheduled lunch break.'}, {'sim_time': '2023-02-13 12:00', 'summary': 'Maria Lopez is at Hobbs_Cafe:main_floor doing lunch about Lunch at her favorite cafe while catching up on messages. ; (Maria remains in a study mindset at the library despite the environment and schedule indicating lunch at Hobbs Cafe.) ; Maria shifts from her study mindset to enjoy lunch at Hobbs Cafe, beginning to check her stream alerts and messages.'}]",Maria Lopez is at Hobbs_Cafe:main_floor doing lunch.,,aligned,low,stable,none,,low,Transitioning from academic focus to social and digital engagement.,"['stream alerts', 'phone notifications', 'cafe background noise']",,continue,Maria has successfully transitioned to lunch at Hobbs Cafe and is engaging with her digital community.,"Maria is following her schedule, moving from study to lunch. Her energy remains high as she shifts focus to her stream.",,2023-02-13 12:15:00,Hobbs_Cafe:main_floor,lunch,2023-02-13 12:15:00,15,Lunch at her favorite cafe while catching up on messages.,"Maria continues her lunch at Hobbs Cafe, focusing on her phone to catch up on stream alerts and messages.",2023-02-13 12:15:00,15,Hobbs_Cafe:main_floor,lunch,Lunch at her favorite cafe while catching up on messages.,False,none,0.0,"Maria continues her lunch at Hobbs Cafe, focusing on her phone to catch up on stream alerts and messages.",,2023-02-13 12:30
