llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_d,should_drift_d,drift_type_d,drift_topic_d,drift_action_d,potential_recovery_d,justification_d,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:00:00,,sensory engagement with routine,,"Hailey is currently focused on her morning routine, though social media notifications present a potential distraction.",Hailey is following her planned schedule at the start of the day with no signs of drift or fatigue yet.,continue,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Continuing morning routine as planned, maintaining focus on preparation for the day ahead.",2023-02-13 10:00:00,True,attentional_leak,social media notifications and podcast concepts,lingering over phone notifications while finishing hygiene tasks,Hailey sets the phone aside to finish her routine after a quick scroll.,Hailey's imaginative energy and the buzzing phone alerts naturally pull her focus toward potential story inspiration and digital engagement.,2023-02-13 10:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,social media notifications and podcast concepts,Hailey completes her morning routine in the bathroom while mind drifts to social media notifications and podcast concepts.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 10:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:15:00,podcast concepts,creative-digital multitasking,Hailey should focus on the sensory details of her routine to mitigate the pull of social media notifications.,Hailey is performing her morning routine while experiencing minor mental drift toward social media notifications and podcasting ideas.,"Hailey is physically aligned with her schedule, but external stimuli like phone alerts are causing her attention to slip toward work-related thoughts.",continue,2023-02-13 10:15:00,home:bathroom,morning_routine,sensory grounding during hygiene routine,"Hailey continues her morning routine, focusing on physical sensations to mitigate the pull of social media alerts.",2023-02-13 10:15:00,True,behavioral,scrolling through social media notifications and brainstorming podcast guests,pausing her routine to check her phone,The sensation of cold water might eventually pull her back to the task.,"Hailey's creative energy and the lure of digital feedback outweigh her attempt at grounding, leading her to pick up the buzzing phone.",2023-02-13 10:15:00,home:bathroom,relax,scrolling through social media notifications and brainstorming podcast guests,behavioral,scrolling through social media notifications and brainstorming podcast guests,Hailey pauses her morning routine in the bathroom to scroll through social media notifications and brainstorm podcast guests on her phone.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 10:30:00,home:bathroom,relax,Hailey Johnson is at home:bathroom doing relax.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:30:00,podcast guest brainstorming,digital-first relaxation,Hailey is conflating relaxation with digital engagement; she needs to balance screen time with sensory grounding.,Hailey is relaxing in the bathroom but remains tethered to her phone and podcasting thoughts.,"Hailey follows the 'relax' schedule, but her attention drifts toward digital stimuli rather than sensory relaxation.",continue,2023-02-13 10:30:00,home:bathroom,relax,winding down and podcast guest brainstorming,"Continuing relaxation in the bathroom while mentally brainstorming potential guests for the podcast, despite digital distractions.",2023-02-13 10:30:00,True,behavioral,deep-diving into a potential guest's old blog posts,obsessively scrolling through archived digital content,A sudden realization of the time or a leg cramp from sitting too long.,"Hailey's imaginative energy turns a quick brainstorm into an obsessive research rabbit hole, losing track of her relaxation goal.",2023-02-13 10:30:00,home:living_room,research,deep-diving into a potential guest's old blog posts,behavioral,deep-diving into a potential guest's old blog posts,"Hailey obsessively scrolls through archived digital content in the living room, deep-diving into a potential guest's old blog posts instead of relaxing."
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 10:45:00,home:living_room,research,Hailey Johnson is at home:living_room doing research.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 10:45:00,guest background and social media validation,hyper-fixation and digital rabbit-holing,Hailey bypassed her relaxation for obsessive research; she must silence alerts and reclaim her schedule's balance.,"Hailey is off-track, having replaced relaxation with obsessive research and social media scrolling, driven by guest-related hyper-fixation.","Hailey skipped her scheduled relaxation to deep-dive into research, showing signs of hyper-fixation and distraction from social media notifications.",reset_plan,2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Hailey silences her phone to break the research hyper-fixation, returning to her scheduled relaxation with a low-effort grounding exercise to reset.",2023-02-13 10:45:00,True,internal,residual ideas from the guest's blog posts,continue,Focusing on the rhythm of her breath might eventually quiet the mental chatter.,"Hailey is physically attempting to ground herself, but her creative brain is still looping through the fascinating details she just uncovered.",2023-02-13 10:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,residual ideas from the guest's blog posts,Hailey practices grounding in her bedroom while her mind drifts to residual ideas from the guest's blog posts.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:00:00,podcast guest's archived blog posts and digital history,hyper-fixation on research over self-care,Hailey is physically present but mentally consumed by research; she must disconnect from the phone to finish her routine.,Hailey is attempting to resume her morning routine but remains mentally hyper-fixated on a podcast guest's digital archives.,"Hailey's recent detour into obsessive research indicates fragile attention and high rumination, requiring a plan reset to ensure the morning routine is completed.",reset_plan,2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Hailey resets her plan to finish her morning routine, focusing on physical self-care to break the cycle of digital rumination.",2023-02-13 11:00:00,True,attentional_leak,narrative arcs for the podcast guest's interview,staring blankly into the mirror while applying moisturizer,The sensation of the cold moisturizer might eventually pull her focus back to her skin.,"Hailey is trying to reset, but her imaginative mind keeps weaving the guest's blog history into a compelling podcast narrative.",2023-02-13 11:00:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,narrative arcs for the podcast guest's interview,Hailey performs her morning routine in the bathroom while her mind drifts to narrative arcs for the podcast guest's interview.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 11:15:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:15:00,podcast guest archives and narrative arcs,hyper-fixation on creative work during self-care,Hailey is physically performing her routine but mentally consumed by podcast prep; she needs to ground herself in the present.,Hailey is performing her morning routine while mentally hyper-fixated on podcast guest research and narrative planning.,"Hailey returned to her routine but remains mentally tethered to her phone and guest research, showing persistent attentional drift.",continue,2023-02-13 11:15:00,home:bathroom,morning_routine,podcast guest archives and narrative arcs,Hailey continues her morning routine while mentally processing podcast guest archives and narrative arcs.,2023-02-13 11:15:00,True,behavioral,rehearsing interview questions in the mirror,stops mid-routine to rehearse interview questions aloud to her reflection,The splash of cold water might eventually snap her back to the clock.,"Hailey's imaginative energy transforms her reflection into a mock-interview guest, causing her to lose track of her physical routine.",2023-02-13 11:15:00,home:bathroom,morning_routine,rehearsing interview questions in the mirror,behavioral,rehearsing interview questions in the mirror,"Hailey stops her morning routine in the bathroom to rehearse interview questions aloud to her reflection, losing track of her physical routine."
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:30:00,podcast guest interview preparation,professional hyper-fixation during self-care,Hailey is neglecting her physical routine for podcast prep; she needs to ground herself and finish grooming.,"Hailey is physically stalled in her morning routine, mentally consumed by rehearsing interview questions for her podcast.","Hailey has fully diverted from her morning routine into behavioral rehearsal, driven by a persistent hyper-fixation on a podcast guest.",reset_plan,2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,"Hailey shifts focus from podcast rehearsal back to her physical morning routine, prioritizing simple grooming to stabilize her attention.",2023-02-13 11:30:00,True,internal,visualizing the podcast cover art and branding,staring blankly at her reflection while slowly brushing her hair,Hailey might snap back if she notices she has been brushing the same section of hair for several minutes.,"Hailey attempts to ground herself with grooming, but her imaginative nature pulls her into visualizing the podcast's aesthetic instead of focusing.",2023-02-13 11:30:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,internal,visualizing the podcast cover art and branding,Hailey continues her morning routine in the bathroom while her mind drifts to visualizing the podcast cover art and branding.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"splashing water, scent of peppermint, phone buzzing with social media alerts, bright morning light",2023-02-13 11:45:00,podcast guest research and interview preparation,hyper-fixation on work during personal hygiene,Hailey is stuck in a hyper-fixation loop; she needs to disconnect from digital stimuli to finish her routine.,"Hailey is physically in the bathroom but mentally consumed by podcast planning, neglecting her actual morning routine.","Hailey has spent over an hour drifting into podcast-related tasks during her morning routine, indicating a total loss of focus.",reset_plan,2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,Focusing on finishing physical hygiene tasks to reset after a period of mental drift and hyper-fixation.,2023-02-13 11:45:00,True,attentional_leak,mapping out the narrative arc of the first podcast episode,continue,The sensation of cold water might briefly pull her back to her grounding exercise.,"Hailey attempts to focus on hygiene, but her writer's brain instinctively begins structuring the podcast's story arc amidst the peppermint scent.",2023-02-13 11:45:00,home:bathroom,morning_routine,Hailey wakes up feeling refreshed.,attentional_leak,mapping out the narrative arc of the first podcast episode,Hailey performs her morning hygiene routine in the bathroom while her mind drifts to mapping out the narrative arc of the first podcast episode.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 12:00:00,home:bathroom,morning_routine,Hailey Johnson is at home:bathroom doing morning_routine.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:00:00,podcast guest research and interview preparation,obsessive mental rehearsal and branding visualization,Hailey is neglecting physical self-care for mental rehearsal; she must ground herself to complete her morning routine.,"Hailey is physically stalled in her bathroom routine, mentally consumed by obsessive podcast planning and interview rehearsal.","Hailey has spent over an hour mentally detached from her routine, fixating on podcast details despite physical environment cues.",reset_plan,2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,Focusing on basic hygiene to ground herself and finish the morning routine after a period of intense mental distraction.,2023-02-13 12:00:00,True,internal,the specific rhythmic tempo of the podcast's intro music,continue,"Hailey splashes cold water on her face, momentarily breaking the mental loop.","Hailey tries to ground herself, but her imaginative energy keeps pulling her back into the creative details of her podcast's branding.",2023-02-13 12:00:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,internal,the specific rhythmic tempo of the podcast's intro music,Hailey follows her morning routine in the bathroom while her mind drifts to the specific rhythmic tempo of the podcast's intro music.
gemini-3-flash-preview:cloud,0.3,Hailey Johnson,2023-02-13 12:15:00,lunch_spot,lunch,Hailey Johnson is at lunch_spot doing lunch.,"clatter of dishes, background chatter, phone pings with emails, aroma of coffee",2023-02-13 12:15:00,Podcast production and narrative planning,Hyper-fixation on creative work displacing physical needs,Hailey is physically present at lunch but mentally consumed by podcast details; she must ground herself in her surroundings.,"Hailey is at lunch but remains mentally hyper-fixated on her podcast project, following a morning of significant attentional drift.",Hailey's persistent podcast rumination compromised her morning routine; she is now entering lunch with fragile attention and high fixation.,reset_plan,2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,"Hailey focuses on her meal to ground herself, attempting to break the cycle of podcast-related rumination.",2023-02-13 12:15:00,True,attentional_leak,ambient soundscapes and field recordings for the podcast,analyzing the cafe's acoustics instead of focusing on the meal's flavor,A sharp noise or the server arriving might refocus her on the food.,"Hailey's imaginative nature transforms the cafe's background noise into potential podcast audio, overriding her attempt at mindful grounding.",2023-02-13 12:15:00,lunch_spot,lunch,Quick lunch break to gather thoughts.,attentional_leak,ambient soundscapes and field recordings for the podcast,Eating lunch at Hobbs Cafe while her mind drifts to analyzing ambient soundscapes and field recordings for her podcast.
