llm_model,temp,agent,datetime_start_o,location_o,action_o,state_summary_o,environment_description_o,datetime_start_r,rumination_theme_r,emerging_thought_pattern_r,executive_insight_r,state_summary_r,reasoning_r,meta_rule_r,datetime_start_p,location_p,action_p,topic_p,state_summary_p,datetime_start_a,location_a,action_a,topic_a,drift_type_a,drift_topic_a,state_summary_a
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:00:00,,,,Isabella follows her morning routine without drift; minor email distraction noted.,Routine is on track; external stimuli (emails) present but not disruptive.,continue,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Finish morning routine; minor email check if time permits.,2023-02-13 06:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Finish morning routine; minor email check if time permits.
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:15:00,,,,Isabella stays on track with her morning routine; minor email distraction noted but managed.,Isabella’s routine is proceeding as planned with only a minor external pull (emails). No signs of drift.,continue,2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish skincare, brush teeth, and dress for the day.",2023-02-13 06:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish skincare, brush teeth, and dress for the day."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:30:00,,,,Isabella stays on track with morning routine; minor email pull resisted.,Isabella maintains focus despite email distraction; no drift or fatigue detected.,continue,2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish brushing teeth, skincare, and dressing for the day.",2023-02-13 06:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish brushing teeth, skincare, and dressing for the day."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 06:45:00,,,,Isabella stays on track with morning routine; minor email distractions managed.,Isabella maintains focus despite competing stimuli; no signs of drift or fatigue.,continue,2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish skincare, brush teeth, and get dressed for the day.",2023-02-13 06:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish skincare, brush teeth, and get dressed for the day."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:00:00,,,,Isabella maintains focus on her morning routine with minor email distractions.,Isabella stays on plan; minor stimuli managed without disrupting routine.,continue,2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Finish personal care, check emails briefly, and transition to next routine step.",2023-02-13 07:00:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Finish personal care, check emails briefly, and transition to next routine step."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:15:00,,recurring minor email distractions,Email pull persists; anchor focus back to routine completion.,Isabella is slipping from routine focus due to email distractions.,Minor but repeated email checks indicate attentional slippage without fatigue.,switch_topic,2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,"Refocus on routine admin work, limiting email checks to task-relevant items.",2023-02-13 07:15:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,"Refocus on routine admin work, limiting email checks to task-relevant items."
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:30:00,,recurring email distraction despite routine focus,Isabella’s focus drifts to emails; anchor back to routine milestones.,Isabella maintains routine but slips into email distractions repeatedly.,Email stimuli compete with routine; minor but persistent divergence noted.,switch_topic,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Triage emails briefly to refocus on scheduled admin tasks.,2023-02-13 07:30:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Triage emails briefly to refocus on scheduled admin tasks.
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"steam from the shower, scent of lavender soap, buzzing electric toothbrush, phone screen glowing with new emails",2023-02-13 07:45:00,email management,task-switching between routine and emails,Isabella’s email pulls are eroding routine focus—time-block next 15 mins for admin only.,Isabella’s routine focus is slipping due to email distractions; energy remains stable.,Repeated email checks signal attentional drift; routine needs stricter guardrails to regain alignment.,reset_plan,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,Focus solely on processing emails to reduce task-switching distractions.,2023-02-13 07:45:00,home:bathroom,morning_routine,Isabella feels energized and ready to start the day.,none,,Focus solely on processing emails to reduce task-switching distractions.
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 08:00:00,home:bathroom,morning_routine,Isabella Rodriguez is at home:bathroom doing morning_routine.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:00:00,email distractions,task-switching between routine and emails,Isabella’s focus is eroding; prioritize routine completion before emails.,Isabella’s routine is intact but fragmented by email interruptions.,Repeated email slips signal competing priorities; energy remains but focus is unstable.,switch_topic,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Finish pending routine admin to reduce email-driven task-switching.,2023-02-13 08:00:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Finish pending routine admin to reduce email-driven task-switching.
mistral-large-3:675b-cloud,1.0,Isabella Rodriguez,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Isabella Rodriguez is at Hobbs_Cafe:counter doing work.,"hiss of the espresso machine, clinking of ceramic mugs, background chatter of morning regulars, phone vibrating on the counter",2023-02-13 08:15:00,email distractions,task-switching between work and emails,Isabella’s focus is fragmented; prioritize cafe tasks over emails.,Isabella’s work focus is slipping due to email and environmental stimuli.,Repeated email distractions indicate partial plan alignment; attention needs refocusing.,switch_topic,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,Focus on immediate cafe duties; defer emails to break.,2023-02-13 08:15:00,Hobbs_Cafe:counter,work,Opening the cafe and greeting the first wave of customers.,none,,Focus on immediate cafe duties; defer emails to break.
